"","Unique_Unique_Object","Experiment","Aktnac","ERKnac","Condition","Concen"
"116",69,"20200122 P1",-0.1862,-0.0107,"PTx",0
"117",69,"20200122 P1",-0.1862,-0.0107,"YM",0
"118",69,"20200122 P1",-0.1862,-0.0107,"ymptx",0
"119",70,"20200122 P1",0.1593,0.4318,"DMSO",0
"120",70,"20200122 P1",0.1593,0.4318,"PTx",0
"121",70,"20200122 P1",0.1593,0.4318,"YM",0
"122",70,"20200122 P1",0.1593,0.4318,"ymptx",0
"123",71,"20200122 P1",-0.3058,-0.2695,"DMSO",0
"124",71,"20200122 P1",-0.3058,-0.2695,"PTx",0
"125",71,"20200122 P1",-0.3058,-0.2695,"YM",0
"126",71,"20200122 P1",-0.3058,-0.2695,"ymptx",0
"127",72,"20200122 P1",-0.0525000000000002,-0.2971,"DMSO",0
"128",72,"20200122 P1",-0.0525000000000002,-0.2971,"PTx",0
"129",72,"20200122 P1",-0.0525000000000002,-0.2971,"YM",0
"130",72,"20200122 P1",-0.0525000000000002,-0.2971,"ymptx",0
"131",73,"20200122 P1",0.00879999999999942,0.0154999999999997,"DMSO",0
"132",73,"20200122 P1",0.00879999999999942,0.0154999999999997,"PTx",0
"133",73,"20200122 P1",0.00879999999999942,0.0154999999999997,"YM",0
"134",73,"20200122 P1",0.00879999999999942,0.0154999999999997,"ymptx",0
"137",76,"20200122 P1",-0.1641,-0.354,"DMSO",0
"138",76,"20200122 P1",-0.1641,-0.354,"PTx",0
"139",76,"20200122 P1",-0.1641,-0.354,"YM",0
"140",76,"20200122 P1",-0.1641,-0.354,"ymptx",0
"141",78,"20200122 P1",-0.1552,-0.2954,"DMSO",0
"142",78,"20200122 P1",-0.1552,-0.2954,"PTx",0
"143",78,"20200122 P1",-0.1552,-0.2954,"YM",0
"144",78,"20200122 P1",-0.1552,-0.2954,"ymptx",0
"145",80,"20200122 P1",0.2689,0.4525,"DMSO",0
"146",80,"20200122 P1",0.2689,0.4525,"PTx",0
"147",80,"20200122 P1",0.2689,0.4525,"YM",0
"148",80,"20200122 P1",0.2689,0.4525,"ymptx",0
"150",81,"20200122 P1",0.00610000000000016,-0.2906,"DMSO",0
"151",81,"20200122 P1",0.00610000000000016,-0.2906,"PTx",0
"152",81,"20200122 P1",0.00610000000000016,-0.2906,"YM",0
"153",81,"20200122 P1",0.00610000000000016,-0.2906,"ymptx",0
"155",84,"20200122 P1",0.2184,0.2419,"DMSO",0
"156",84,"20200122 P1",0.2184,0.2419,"PTx",0
"157",84,"20200122 P1",0.2184,0.2419,"YM",0
"158",84,"20200122 P1",0.2184,0.2419,"ymptx",0
"160",85,"20200122 P1",-0.0143999999999999,0.369100000000001,"DMSO",0
"161",85,"20200122 P1",-0.0143999999999999,0.369100000000001,"PTx",0
"162",85,"20200122 P1",-0.0143999999999999,0.369100000000001,"YM",0
"163",85,"20200122 P1",-0.0143999999999999,0.369100000000001,"ymptx",0
"164",86,"20200122 P1",0.1914,0.4121,"DMSO",0
"165",86,"20200122 P1",0.1914,0.4121,"PTx",0
"166",86,"20200122 P1",0.1914,0.4121,"YM",0
"167",86,"20200122 P1",0.1914,0.4121,"ymptx",0
"168",89,"20200122 P1",0.0134,0.4622,"DMSO",0
"169",89,"20200122 P1",0.0134,0.4622,"PTx",0
"170",89,"20200122 P1",0.0134,0.4622,"YM",0
"171",89,"20200122 P1",0.0134,0.4622,"ymptx",0
"174",93,"20200122 P1",0.1371,0.00519999999999932,"DMSO",0
"175",93,"20200122 P1",0.1371,0.00519999999999932,"PTx",0
"176",93,"20200122 P1",0.1371,0.00519999999999932,"YM",0
"177",93,"20200122 P1",0.1371,0.00519999999999932,"ymptx",0
"179",96,"20200122 P1",0.1164,-0.241699999999999,"DMSO",0
"180",96,"20200122 P1",0.1164,-0.241699999999999,"PTx",0
"181",96,"20200122 P1",0.1164,-0.241699999999999,"YM",0
"182",96,"20200122 P1",0.1164,-0.241699999999999,"ymptx",0
"185",102,"20200122 P1",0.1804,0.3408,"DMSO",0
"186",102,"20200122 P1",0.1804,0.3408,"PTx",0
"187",102,"20200122 P1",0.1804,0.3408,"YM",0
"188",102,"20200122 P1",0.1804,0.3408,"ymptx",0
"191",105,"20200122 P1",0.0124999999999999,0.1598,"DMSO",0
"192",105,"20200122 P1",0.0124999999999999,0.1598,"PTx",0
"193",105,"20200122 P1",0.0124999999999999,0.1598,"YM",0
"194",105,"20200122 P1",0.0124999999999999,0.1598,"ymptx",0
"198",115,"20200122 P1",0.3455,-0.1148,"DMSO",0
"199",115,"20200122 P1",0.3455,-0.1148,"PTx",0
"200",115,"20200122 P1",0.3455,-0.1148,"YM",0
"201",115,"20200122 P1",0.3455,-0.1148,"ymptx",0
"202",118,"20200122 P1",0.1046,0.4488,"DMSO",0
"203",118,"20200122 P1",0.1046,0.4488,"PTx",0
"204",118,"20200122 P1",0.1046,0.4488,"YM",0
"205",118,"20200122 P1",0.1046,0.4488,"ymptx",0
"207",122,"20200122 P1",0.0396000000000001,0.4872,"DMSO",0
"208",122,"20200122 P1",0.0396000000000001,0.4872,"PTx",0
"209",122,"20200122 P1",0.0396000000000001,0.4872,"YM",0
"210",122,"20200122 P1",0.0396000000000001,0.4872,"ymptx",0
"211",124,"20200122 P1",0.1542,-0.5747,"DMSO",0
"212",124,"20200122 P1",0.1542,-0.5747,"PTx",0
"213",124,"20200122 P1",0.1542,-0.5747,"YM",0
"214",124,"20200122 P1",0.1542,-0.5747,"ymptx",0
"216",129,"20200122 P1",-0.2866,-0.2125,"DMSO",0
"217",129,"20200122 P1",-0.2866,-0.2125,"PTx",0
"218",129,"20200122 P1",-0.2866,-0.2125,"YM",0
"219",129,"20200122 P1",-0.2866,-0.2125,"ymptx",0
"220",133,"20200122 P1",-0.2153,0.0519000000000002,"DMSO",0
"221",133,"20200122 P1",-0.2153,0.0519000000000002,"PTx",0
"222",133,"20200122 P1",-0.2153,0.0519000000000002,"YM",0
"223",133,"20200122 P1",-0.2153,0.0519000000000002,"ymptx",0
"228",143,"20200122 P1",0.193,0.0953999999999998,"DMSO",0
"229",143,"20200122 P1",0.193,0.0953999999999998,"PTx",0
"230",143,"20200122 P1",0.193,0.0953999999999998,"YM",0
"231",143,"20200122 P1",0.193,0.0953999999999998,"ymptx",0
"235",150,"20200122 P1",0.1521,0.254,"DMSO",0
"236",150,"20200122 P1",0.1521,0.254,"PTx",0
"237",150,"20200122 P1",0.1521,0.254,"YM",0
"238",150,"20200122 P1",0.1521,0.254,"ymptx",0
"240",152,"20200122 P1",0.0377999999999995,0.1766,"DMSO",0
"241",152,"20200122 P1",0.0377999999999995,0.1766,"PTx",0
"242",152,"20200122 P1",0.0377999999999995,0.1766,"YM",0
"243",152,"20200122 P1",0.0377999999999995,0.1766,"ymptx",0
"247",156,"20200122 P1",0.0877999999999999,-0.1341,"DMSO",0
"248",156,"20200122 P1",0.0877999999999999,-0.1341,"PTx",0
"249",156,"20200122 P1",0.0877999999999999,-0.1341,"YM",0
"250",156,"20200122 P1",0.0877999999999999,-0.1341,"ymptx",0
"252",157,"20200122 P1",-0.2903,-0.385800000000001,"DMSO",0
"253",157,"20200122 P1",-0.2903,-0.385800000000001,"PTx",0
"254",157,"20200122 P1",-0.2903,-0.385800000000001,"YM",0
"255",157,"20200122 P1",-0.2903,-0.385800000000001,"ymptx",0
"256",160,"20200122 P1",-0.4173,0.00530000000000008,"DMSO",0
"257",160,"20200122 P1",-0.4173,0.00530000000000008,"PTx",0
"258",160,"20200122 P1",-0.4173,0.00530000000000008,"YM",0
"259",160,"20200122 P1",-0.4173,0.00530000000000008,"ymptx",0
