"","Time_in_min","Inhibitor","CN_ERK","Object","Slide"
"116",69,"DMSO",0.7623,105,"P1"
"117",72.5,"DMSO",0.7049,105,"P1"
"118",76,"DMSO",0.7297,105,"P1"
"119",79.5,"DMSO",0.7239,105,"P1"
"120",83,"DMSO",0.7156,105,"P1"
"121",2.5,"DMSO",0.3749,106,"P1"
"122",6,"DMSO",0.3682,106,"P1"
"123",9.5,"DMSO",0.3458,106,"P1"
"124",13,"DMSO",0.3561,106,"P1"
"125",16.5,"DMSO",0.3511,106,"P1"
"126",20,"DMSO",0.3537,106,"P1"
"127",23.5,"DMSO",0.372,106,"P1"
"128",27,"DMSO",0.4559,106,"P1"
"129",30.5,"DMSO",0.6889,106,"P1"
"130",34,"DMSO",0.7298,106,"P1"
"131",37.5,"DMSO",0.7069,106,"P1"
"132",41,"DMSO",0.637,106,"P1"
"133",44.5,"DMSO",0.5585,106,"P1"
"134",48,"DMSO",0.5516,106,"P1"
"135",51.5,"DMSO",0.5532,106,"P1"
"136",55,"DMSO",0.6074,106,"P1"
"137",58.5,"DMSO",0.6236,106,"P1"
"138",62,"DMSO",0.6445,106,"P1"
"139",65.5,"DMSO",0.6502,106,"P1"
"140",69,"DMSO",0.6449,106,"P1"
"141",72.5,"DMSO",0.6578,106,"P1"
"142",76,"DMSO",0.643,106,"P1"
"143",79.5,"DMSO",0.6809,106,"P1"
"144",83,"DMSO",0.6887,106,"P1"
"145",2.5,"DMSO",0.4026,107,"P1"
"146",6,"DMSO",0.3907,107,"P1"
"147",9.5,"DMSO",0.4218,107,"P1"
"148",13,"DMSO",0.4569,107,"P1"
"149",16.5,"DMSO",0.4371,107,"P1"
"150",20,"DMSO",0.4236,107,"P1"
"151",23.5,"DMSO",0.4226,107,"P1"
"152",27,"DMSO",0.8142,107,"P1"
"153",30.5,"DMSO",1.3466,107,"P1"
"154",34,"DMSO",1.4646,107,"P1"
"155",37.5,"DMSO",1.3087,107,"P1"
"156",41,"DMSO",1.1408,107,"P1"
"157",44.5,"DMSO",1.0405,107,"P1"
"158",48,"DMSO",1.0405,107,"P1"
"159",51.5,"DMSO",1.1204,107,"P1"
"160",55,"DMSO",1.2745,107,"P1"
"161",58.5,"DMSO",1.2365,107,"P1"
"162",62,"DMSO",1.1461,107,"P1"
"163",65.5,"DMSO",1.1396,107,"P1"
"164",69,"DMSO",1.2157,107,"P1"
"165",72.5,"DMSO",1.3102,107,"P1"
"166",76,"DMSO",1.1724,107,"P1"
"167",79.5,"DMSO",1.0973,107,"P1"
"168",83,"DMSO",0.9732,107,"P1"
"169",2.5,"DMSO",0.4734,109,"P1"
"170",6,"DMSO",0.492,109,"P1"
"171",9.5,"DMSO",0.4869,109,"P1"
"172",13,"DMSO",0.4799,109,"P1"
"173",16.5,"DMSO",0.48,109,"P1"
"174",20,"DMSO",0.4974,109,"P1"
"175",23.5,"DMSO",0.5248,109,"P1"
"176",27,"DMSO",0.5831,109,"P1"
"177",30.5,"DMSO",0.773,109,"P1"
"178",34,"DMSO",0.842,109,"P1"
"179",37.5,"DMSO",0.8541,109,"P1"
"180",41,"DMSO",0.7952,109,"P1"
"181",44.5,"DMSO",0.711,109,"P1"
"182",48,"DMSO",0.6469,109,"P1"
"183",51.5,"DMSO",0.6069,109,"P1"
"184",55,"DMSO",0.5524,109,"P1"
"185",58.5,"DMSO",0.541,109,"P1"
"186",62,"DMSO",0.5375,109,"P1"
"187",65.5,"DMSO",0.5504,109,"P1"
"188",69,"DMSO",0.6155,109,"P1"
"189",72.5,"DMSO",0.6557,109,"P1"
"190",76,"DMSO",0.6231,109,"P1"
"191",79.5,"DMSO",0.578,109,"P1"
"192",83,"DMSO",0.6296,109,"P1"
"193",2.5,"DMSO",0.4844,11,"P1"
"194",6,"DMSO",0.3999,11,"P1"
"195",9.5,"DMSO",0.3972,11,"P1"
"196",13,"DMSO",0.4208,11,"P1"
"197",16.5,"DMSO",0.4304,11,"P1"
"198",20,"DMSO",0.441,11,"P1"
"199",23.5,"DMSO",0.4319,11,"P1"
"200",27,"DMSO",0.7774,11,"P1"
"201",30.5,"DMSO",1.1221,11,"P1"
"202",34,"DMSO",1.1181,11,"P1"
"203",37.5,"DMSO",1.0978,11,"P1"
"204",41,"DMSO",1.0558,11,"P1"
"205",44.5,"DMSO",0.9205,11,"P1"
"206",48,"DMSO",0.8546,11,"P1"
"207",51.5,"DMSO",0.7998,11,"P1"
"208",55,"DMSO",0.813,11,"P1"
"209",58.5,"DMSO",0.8432,11,"P1"
"210",62,"DMSO",0.7956,11,"P1"
"211",65.5,"DMSO",0.7666,11,"P1"
"212",69,"DMSO",0.7756,11,"P1"
"213",72.5,"DMSO",0.8262,11,"P1"
"214",76,"DMSO",0.8653,11,"P1"
"215",79.5,"DMSO",0.807,11,"P1"
"216",83,"DMSO",0.7666,11,"P1"
"217",2.5,"DMSO",0.3706,110,"P1"
"218",6,"DMSO",0.3995,110,"P1"
"219",9.5,"DMSO",0.3959,110,"P1"
"220",13,"DMSO",0.4022,110,"P1"
"221",16.5,"DMSO",0.3767,110,"P1"
"222",20,"DMSO",0.3649,110,"P1"
"223",23.5,"DMSO",0.3585,110,"P1"
"224",27,"DMSO",0.2995,110,"P1"
"225",30.5,"DMSO",0.4356,110,"P1"
"226",34,"DMSO",0.5093,110,"P1"
"227",37.5,"DMSO",0.5255,110,"P1"
"228",41,"DMSO",0.5274,110,"P1"
"229",44.5,"DMSO",0.4997,110,"P1"
"230",48,"DMSO",0.4427,110,"P1"
"231",51.5,"DMSO",0.4128,110,"P1"
"232",55,"DMSO",0.3873,110,"P1"
"233",58.5,"DMSO",0.3593,110,"P1"
"234",62,"DMSO",0.3293,110,"P1"
"235",65.5,"DMSO",0.3033,110,"P1"
"236",69,"DMSO",0.3138,110,"P1"
"237",72.5,"DMSO",0.3188,110,"P1"
"238",76,"DMSO",0.3146,110,"P1"
"239",79.5,"DMSO",0.3224,110,"P1"
"240",83,"DMSO",0.3273,110,"P1"
"241",2.5,"DMSO",0.6359,111,"P1"
"242",6,"DMSO",0.6412,111,"P1"
"243",9.5,"DMSO",0.5811,111,"P1"
"244",13,"DMSO",0.5227,111,"P1"
"245",16.5,"DMSO",0.5742,111,"P1"
"246",20,"DMSO",0.5963,111,"P1"
"247",23.5,"DMSO",0.5281,111,"P1"
"248",27,"DMSO",0.6216,111,"P1"
"249",30.5,"DMSO",0.7815,111,"P1"
"250",34,"DMSO",0.7961,111,"P1"
"251",37.5,"DMSO",0.8645,111,"P1"
"252",41,"DMSO",0.8808,111,"P1"
"253",44.5,"DMSO",0.7346,111,"P1"
"254",48,"DMSO",0.7176,111,"P1"
"255",51.5,"DMSO",0.7616,111,"P1"
"256",55,"DMSO",0.7324,111,"P1"
