"","Time_in_min","Inhibitor","CN_ERK","Object","Slide"
"34025",58.5,"PTx",0.9563,517,"P4"
"34026",62,"PTx",0.9303,517,"P4"
"34027",65.5,"PTx",0.9355,517,"P4"
"34028",69,"PTx",0.9934,517,"P4"
"34029",72.5,"PTx",0.9927,517,"P4"
"34030",76,"PTx",0.9392,517,"P4"
"34031",79.5,"PTx",0.9309,517,"P4"
"34032",83,"PTx",0.9537,517,"P4"
"34033",2.5,"PTx",0.3479,519,"P4"
"34034",6,"PTx",0.3161,519,"P4"
"34035",9.5,"PTx",0.3537,519,"P4"
"34036",13,"PTx",0.3467,519,"P4"
"34037",16.5,"PTx",0.3345,519,"P4"
"34038",20,"PTx",0.3306,519,"P4"
"34039",23.5,"PTx",0.3542,519,"P4"
"34040",27,"PTx",0.3993,519,"P4"
"34041",30.5,"PTx",0.5054,519,"P4"
"34042",34,"PTx",0.5091,519,"P4"
"34043",37.5,"PTx",0.4932,519,"P4"
"34044",41,"PTx",0.506,519,"P4"
"34045",44.5,"PTx",0.5764,519,"P4"
"34046",48,"PTx",0.5633,519,"P4"
"34047",51.5,"PTx",0.5848,519,"P4"
"34048",55,"PTx",0.6396,519,"P4"
"34049",58.5,"PTx",0.6322,519,"P4"
"34050",62,"PTx",0.6019,519,"P4"
"34051",65.5,"PTx",0.5859,519,"P4"
"34052",69,"PTx",0.5853,519,"P4"
"34053",72.5,"PTx",0.6418,519,"P4"
"34054",76,"PTx",0.6418,519,"P4"
"34055",79.5,"PTx",0.6345,519,"P4"
"34056",83,"PTx",0.59,519,"P4"
"34057",2.5,"PTx",0.3805,52,"P4"
"34058",6,"PTx",0.3808,52,"P4"
"34059",9.5,"PTx",0.3811,52,"P4"
"34060",13,"PTx",0.3956,52,"P4"
"34061",16.5,"PTx",0.4026,52,"P4"
"34062",20,"PTx",0.4067,52,"P4"
"34063",23.5,"PTx",0.4154,52,"P4"
"34064",27,"PTx",0.5221,52,"P4"
"34065",30.5,"PTx",0.7562,52,"P4"
"34066",34,"PTx",0.9108,52,"P4"
"34067",37.5,"PTx",0.888,52,"P4"
"34068",41,"PTx",0.9042,52,"P4"
"34069",44.5,"PTx",0.9068,52,"P4"
"34070",48,"PTx",0.9216,52,"P4"
"34071",51.5,"PTx",0.8204,52,"P4"
"34072",55,"PTx",0.8614,52,"P4"
"34073",58.5,"PTx",0.8681,52,"P4"
"34074",62,"PTx",0.8157,52,"P4"
"34075",65.5,"PTx",0.8103,52,"P4"
"34076",69,"PTx",0.7978,52,"P4"
"34077",72.5,"PTx",0.776,52,"P4"
"34078",76,"PTx",0.8322,52,"P4"
"34079",79.5,"PTx",0.8619,52,"P4"
"34080",83,"PTx",0.8074,52,"P4"
"34081",2.5,"PTx",0.6254,525,"P4"
"34082",6,"PTx",0.6295,525,"P4"
"34083",9.5,"PTx",0.6081,525,"P4"
"34084",13,"PTx",0.6112,525,"P4"
"34085",16.5,"PTx",0.5966,525,"P4"
"34086",20,"PTx",0.5864,525,"P4"
"34087",23.5,"PTx",0.5745,525,"P4"
"34088",27,"PTx",0.5024,525,"P4"
"34089",30.5,"PTx",0.6338,525,"P4"
"34090",34,"PTx",0.7127,525,"P4"
"34091",37.5,"PTx",0.7763,525,"P4"
"34092",41,"PTx",0.8281,525,"P4"
"34093",44.5,"PTx",0.8711,525,"P4"
"34094",48,"PTx",0.8692,525,"P4"
"34095",51.5,"PTx",0.9253,525,"P4"
"34096",55,"PTx",0.9245,525,"P4"
"34097",58.5,"PTx",0.9376,525,"P4"
"34098",62,"PTx",0.9018,525,"P4"
"34099",65.5,"PTx",0.9045,525,"P4"
"34100",69,"PTx",0.8694,525,"P4"
"34101",72.5,"PTx",0.8696,525,"P4"
"34102",76,"PTx",0.856,525,"P4"
"34103",79.5,"PTx",0.8835,525,"P4"
"34104",83,"PTx",0.838,525,"P4"
"34105",2.5,"PTx",0.5282,528,"P4"
"34106",6,"PTx",0.5587,528,"P4"
"34107",9.5,"PTx",0.5485,528,"P4"
"34108",13,"PTx",0.5697,528,"P4"
"34109",16.5,"PTx",0.5649,528,"P4"
"34110",20,"PTx",0.6161,528,"P4"
"34111",23.5,"PTx",0.5883,528,"P4"
"34112",27,"PTx",0.6526,528,"P4"
"34113",30.5,"PTx",0.7297,528,"P4"
"34114",34,"PTx",0.7929,528,"P4"
"34115",37.5,"PTx",0.8121,528,"P4"
"34116",41,"PTx",0.951,528,"P4"
"34117",44.5,"PTx",0.9829,528,"P4"
"34118",48,"PTx",0.9886,528,"P4"
"34119",51.5,"PTx",0.9593,528,"P4"
"34120",55,"PTx",1.0318,528,"P4"
"34121",58.5,"PTx",0.9979,528,"P4"
"34122",62,"PTx",1.0398,528,"P4"
"34123",65.5,"PTx",1.0891,528,"P4"
"34124",69,"PTx",1.0003,528,"P4"
"34125",72.5,"PTx",1.0408,528,"P4"
"34126",76,"PTx",1.0062,528,"P4"
"34127",79.5,"PTx",1.0466,528,"P4"
"34128",83,"PTx",1.0522,528,"P4"
"34129",2.5,"PTx",0.2923,536,"P4"
"34130",6,"PTx",0.2904,536,"P4"
"34131",9.5,"PTx",0.3026,536,"P4"
"34132",13,"PTx",0.2883,536,"P4"
"34133",16.5,"PTx",0.2782,536,"P4"
"34134",20,"PTx",0.2819,536,"P4"
"34135",23.5,"PTx",0.2569,536,"P4"
"34136",27,"PTx",0.2773,536,"P4"
"34137",30.5,"PTx",0.3604,536,"P4"
"34138",34,"PTx",0.421,536,"P4"
"34139",37.5,"PTx",0.5139,536,"P4"
"34140",41,"PTx",0.5287,536,"P4"
"34141",44.5,"PTx",0.649,536,"P4"
"34142",48,"PTx",0.7276,536,"P4"
"34143",51.5,"PTx",0.7414,536,"P4"
"34144",55,"PTx",0.6909,536,"P4"
"34145",58.5,"PTx",0.6336,536,"P4"
"34146",62,"PTx",0.6424,536,"P4"
"34147",65.5,"PTx",0.6855,536,"P4"
"34148",69,"PTx",0.7666,536,"P4"
"34149",72.5,"PTx",0.7211,536,"P4"
"34150",76,"PTx",0.6742,536,"P4"
"34151",79.5,"PTx",0.6785,536,"P4"
"34152",83,"PTx",0.6583,536,"P4"
"34153",2.5,"PTx",0.3249,547,"P4"
"34154",6,"PTx",0.2946,547,"P4"
"34155",9.5,"PTx",0.2844,547,"P4"
"34156",13,"PTx",0.2971,547,"P4"
"34157",16.5,"PTx",0.2913,547,"P4"
"34158",20,"PTx",0.2898,547,"P4"
"34159",23.5,"PTx",0.324,547,"P4"
"34160",27,"PTx",0.4392,547,"P4"
"34161",30.5,"PTx",0.6289,547,"P4"
"34162",34,"PTx",0.6507,547,"P4"
"34163",37.5,"PTx",0.6344,547,"P4"
"34164",41,"PTx",0.7192,547,"P4"
"34165",44.5,"PTx",0.8311,547,"P4"
"34166",48,"PTx",0.7499,547,"P4"
"34167",51.5,"PTx",0.7637,547,"P4"
"34168",55,"PTx",0.8229,547,"P4"
"34169",58.5,"PTx",0.8065,547,"P4"
"34170",62,"PTx",0.769,547,"P4"
"34171",65.5,"PTx",0.777,547,"P4"
"34172",69,"PTx",0.731,547,"P4"
"34173",72.5,"PTx",0.7505,547,"P4"
"34174",76,"PTx",0.8367,547,"P4"
"34175",79.5,"PTx",0.8356,547,"P4"
"34176",83,"PTx",0.7766,547,"P4"
"34177",2.5,"PTx",0.8129,551,"P4"
"34178",6,"PTx",0.8358,551,"P4"
"34179",9.5,"PTx",0.8053,551,"P4"
"34180",13,"PTx",0.8147,551,"P4"
"34181",16.5,"PTx",0.7694,551,"P4"
"34182",20,"PTx",0.7614,551,"P4"
"34183",23.5,"PTx",0.7753,551,"P4"
"34184",27,"PTx",0.9983,551,"P4"
"34185",30.5,"PTx",1.0641,551,"P4"
"34186",34,"PTx",1.0775,551,"P4"
"34187",37.5,"PTx",1.0424,551,"P4"
"34188",41,"PTx",1.0276,551,"P4"
"34189",44.5,"PTx",1.0195,551,"P4"
"34190",48,"PTx",1.0634,551,"P4"
"34191",51.5,"PTx",1.0549,551,"P4"
"34192",55,"PTx",1.0144,551,"P4"
"34193",58.5,"PTx",0.9516,551,"P4"
"34194",62,"PTx",0.9406,551,"P4"
"34195",65.5,"PTx",0.9153,551,"P4"
"34196",69,"PTx",0.9491,551,"P4"
"34197",72.5,"PTx",0.9711,551,"P4"
"34198",76,"PTx",0.9487,551,"P4"
"34199",79.5,"PTx",0.9702,551,"P4"
"34200",83,"PTx",0.95,551,"P4"
"34201",2.5,"PTx",0.3686,552,"P4"
"34202",6,"PTx",0.3908,552,"P4"
"34203",9.5,"PTx",0.3828,552,"P4"
"34204",13,"PTx",0.3888,552,"P4"
"34205",16.5,"PTx",0.3648,552,"P4"
"34206",20,"PTx",0.3686,552,"P4"
"34207",23.5,"PTx",0.3671,552,"P4"
"34208",27,"PTx",0.3398,552,"P4"
"34209",30.5,"PTx",0.4171,552,"P4"
"34210",34,"PTx",0.4273,552,"P4"
"34211",37.5,"PTx",0.4305,552,"P4"
"34212",41,"PTx",0.4207,552,"P4"
"34213",44.5,"PTx",0.42,552,"P4"
"34214",48,"PTx",0.4245,552,"P4"
"34215",51.5,"PTx",0.4472,552,"P4"
"34216",55,"PTx",0.4229,552,"P4"
"34217",58.5,"PTx",0.4344,552,"P4"
"34218",62,"PTx",0.4393,552,"P4"
"34219",65.5,"PTx",0.4472,552,"P4"
"34220",69,"PTx",0.4272,552,"P4"
"34221",72.5,"PTx",0.4152,552,"P4"
"34222",76,"PTx",0.427,552,"P4"
"34223",79.5,"PTx",0.4362,552,"P4"
"34224",83,"PTx",0.4438,552,"P4"
"34225",2.5,"PTx",0.4959,553,"P4"
"34226",6,"PTx",0.5064,553,"P4"
"34227",9.5,"PTx",0.4783,553,"P4"
"34228",13,"PTx",0.5154,553,"P4"
"34229",16.5,"PTx",0.4247,553,"P4"
"34230",20,"PTx",0.4307,553,"P4"
"34231",23.5,"PTx",0.4627,553,"P4"
"34232",27,"PTx",0.5322,553,"P4"
"34233",30.5,"PTx",0.651,553,"P4"
"34234",34,"PTx",0.7151,553,"P4"
"34235",37.5,"PTx",0.6843,553,"P4"
"34236",41,"PTx",0.7173,553,"P4"
"34237",44.5,"PTx",0.8208,553,"P4"
"34238",48,"PTx",0.799,553,"P4"
"34239",51.5,"PTx",0.7487,553,"P4"
"34240",55,"PTx",0.7518,553,"P4"
"34241",58.5,"PTx",0.7894,553,"P4"
"34242",62,"PTx",0.79,553,"P4"
"34243",65.5,"PTx",0.7713,553,"P4"
"34244",69,"PTx",0.7598,553,"P4"
"34245",72.5,"PTx",0.7716,553,"P4"
"34246",76,"PTx",0.7644,553,"P4"
"34247",79.5,"PTx",0.7427,553,"P4"
"34248",83,"PTx",0.7476,553,"P4"
"34249",2.5,"PTx",0.4362,563,"P4"
"34250",6,"PTx",0.4262,563,"P4"
"34251",9.5,"PTx",0.4514,563,"P4"
"34252",13,"PTx",0.4057,563,"P4"
"34253",16.5,"PTx",0.3839,563,"P4"
"34254",20,"PTx",0.3839,563,"P4"
"34255",23.5,"PTx",0.3699,563,"P4"
"34256",27,"PTx",0.3943,563,"P4"
"34257",30.5,"PTx",0.5963,563,"P4"
"34258",34,"PTx",0.7269,563,"P4"
"34259",37.5,"PTx",0.7254,563,"P4"
"34260",41,"PTx",0.7435,563,"P4"
"34261",44.5,"PTx",0.9103,563,"P4"
"34262",48,"PTx",0.9523,563,"P4"
"34263",51.5,"PTx",0.8142,563,"P4"
"34264",55,"PTx",0.7298,563,"P4"
"34265",58.5,"PTx",0.8222,563,"P4"
"34266",62,"PTx",0.834,563,"P4"
"34267",65.5,"PTx",0.7505,563,"P4"
"34268",69,"PTx",0.6581,563,"P4"
"34269",72.5,"PTx",0.6494,563,"P4"
"34270",76,"PTx",0.6572,563,"P4"
"34271",79.5,"PTx",0.6368,563,"P4"
"34272",83,"PTx",0.6685,563,"P4"
"34273",2.5,"PTx",0.631,566,"P4"
"34274",6,"PTx",0.6277,566,"P4"
"34275",9.5,"PTx",0.6043,566,"P4"
"34276",13,"PTx",0.626,566,"P4"
"34277",16.5,"PTx",0.6491,566,"P4"
"34278",20,"PTx",0.6553,566,"P4"
"34279",23.5,"PTx",0.6611,566,"P4"
"34280",27,"PTx",0.6373,566,"P4"
"34281",30.5,"PTx",0.7073,566,"P4"
"34282",34,"PTx",0.7905,566,"P4"
"34283",37.5,"PTx",0.7626,566,"P4"
"34284",41,"PTx",0.8025,566,"P4"
"34285",44.5,"PTx",0.7998,566,"P4"
"34286",48,"PTx",0.7776,566,"P4"
"34287",51.5,"PTx",0.765,566,"P4"
"34288",55,"PTx",0.8269,566,"P4"
"34289",58.5,"PTx",0.8956,566,"P4"
"34290",62,"PTx",0.9329,566,"P4"
"34291",65.5,"PTx",1.047,566,"P4"
"34292",69,"PTx",0.7074,566,"P4"
"34293",72.5,"PTx",0.7271,566,"P4"
"34294",76,"PTx",0.7294,566,"P4"
"34295",79.5,"PTx",0.6704,566,"P4"
"34296",83,"PTx",0.6488,566,"P4"
"34297",2.5,"PTx",0.3275,567,"P4"
"34298",6,"PTx",0.3509,567,"P4"
"34299",9.5,"PTx",0.353,567,"P4"
"34300",13,"PTx",0.337,567,"P4"
"34301",16.5,"PTx",0.3352,567,"P4"
"34302",20,"PTx",0.3483,567,"P4"
"34303",23.5,"PTx",0.3695,567,"P4"
"34304",27,"PTx",0.4158,567,"P4"
"34305",30.5,"PTx",0.4277,567,"P4"
"34306",34,"PTx",0.4638,567,"P4"
"34307",37.5,"PTx",0.4999,567,"P4"
"34308",41,"PTx",0.5122,567,"P4"
"34309",44.5,"PTx",0.515,567,"P4"
"34310",48,"PTx",0.5144,567,"P4"
"34311",51.5,"PTx",0.548,567,"P4"
"34312",55,"PTx",0.5476,567,"P4"
"34313",58.5,"PTx",0.524,567,"P4"
"34314",62,"PTx",0.5442,567,"P4"
"34315",65.5,"PTx",0.531,567,"P4"
"34316",69,"PTx",0.5731,567,"P4"
"34317",72.5,"PTx",0.4929,567,"P4"
"34318",76,"PTx",0.4254,567,"P4"
"34319",79.5,"PTx",0.4237,567,"P4"
"34320",83,"PTx",0.4474,567,"P4"
"34321",2.5,"PTx",0.3726,568,"P4"
"34322",6,"PTx",0.3908,568,"P4"
"34323",9.5,"PTx",0.365,568,"P4"
"34324",13,"PTx",0.3601,568,"P4"
"34325",16.5,"PTx",0.3407,568,"P4"
"34326",20,"PTx",0.3488,568,"P4"
"34327",23.5,"PTx",0.3315,568,"P4"
"34328",27,"PTx",0.3829,568,"P4"
"34329",30.5,"PTx",0.5433,568,"P4"
"34330",34,"PTx",0.6257,568,"P4"
"34331",37.5,"PTx",0.6117,568,"P4"
"34332",41,"PTx",0.5946,568,"P4"
"34333",44.5,"PTx",0.6671,568,"P4"
"34334",48,"PTx",0.7628,568,"P4"
"34335",51.5,"PTx",0.7993,568,"P4"
"34336",55,"PTx",0.7512,568,"P4"
"34337",58.5,"PTx",0.7014,568,"P4"
"34338",62,"PTx",0.6358,568,"P4"
"34339",65.5,"PTx",0.656,568,"P4"
"34340",69,"PTx",0.657,568,"P4"
"34341",72.5,"PTx",0.6601,568,"P4"
"34342",76,"PTx",0.665,568,"P4"
"34343",79.5,"PTx",0.6125,568,"P4"
"34344",83,"PTx",0.6023,568,"P4"
"34345",2.5,"PTx",0.6923,570,"P4"
"34346",6,"PTx",0.7431,570,"P4"
"34347",9.5,"PTx",0.7569,570,"P4"
"34348",13,"PTx",0.7169,570,"P4"
"34349",16.5,"PTx",0.7094,570,"P4"
"34350",20,"PTx",0.7332,570,"P4"
"34351",23.5,"PTx",0.8232,570,"P4"
"34352",27,"PTx",0.9943,570,"P4"
"34353",30.5,"PTx",1.0641,570,"P4"
"34354",34,"PTx",1.2367,570,"P4"
"34355",37.5,"PTx",1.1934,570,"P4"
"34356",41,"PTx",1.1444,570,"P4"
"34357",44.5,"PTx",1.0654,570,"P4"
"34358",48,"PTx",1.0247,570,"P4"
"34359",51.5,"PTx",0.9637,570,"P4"
"34360",55,"PTx",0.9897,570,"P4"
"34361",58.5,"PTx",0.9946,570,"P4"
"34362",62,"PTx",0.9302,570,"P4"
"34363",65.5,"PTx",0.928,570,"P4"
"34364",69,"PTx",0.9456,570,"P4"
"34365",72.5,"PTx",0.9277,570,"P4"
"34366",76,"PTx",0.9007,570,"P4"
"34367",79.5,"PTx",0.8729,570,"P4"
"34368",83,"PTx",0.8305,570,"P4"
"34369",2.5,"PTx",0.4977,571,"P4"
"34370",6,"PTx",0.4979,571,"P4"
"34371",9.5,"PTx",0.5272,571,"P4"
"34372",13,"PTx",0.4959,571,"P4"
"34373",16.5,"PTx",0.492,571,"P4"
"34374",20,"PTx",0.4621,571,"P4"
"34375",23.5,"PTx",0.4827,571,"P4"
"34376",27,"PTx",0.5459,571,"P4"
"34377",30.5,"PTx",0.7912,571,"P4"
"34378",34,"PTx",0.8076,571,"P4"
"34379",37.5,"PTx",0.7372,571,"P4"
"34380",41,"PTx",0.7716,571,"P4"
"34381",44.5,"PTx",0.7516,571,"P4"
"34382",48,"PTx",0.8313,571,"P4"
"34383",51.5,"PTx",0.8428,571,"P4"
"34384",55,"PTx",0.8492,571,"P4"
"34385",58.5,"PTx",0.8289,571,"P4"
"34386",62,"PTx",0.8015,571,"P4"
"34387",65.5,"PTx",0.795,571,"P4"
"34388",69,"PTx",0.8481,571,"P4"
"34389",72.5,"PTx",0.8829,571,"P4"
"34390",76,"PTx",0.8452,571,"P4"
"34391",79.5,"PTx",0.8548,571,"P4"
"34392",83,"PTx",0.8357,571,"P4"
"34393",2.5,"PTx",0.743,572,"P4"
"34394",6,"PTx",0.7539,572,"P4"
"34395",9.5,"PTx",0.7561,572,"P4"
"34396",13,"PTx",0.7129,572,"P4"
"34397",16.5,"PTx",0.7315,572,"P4"
"34398",20,"PTx",0.697,572,"P4"
"34399",23.5,"PTx",0.738,572,"P4"
"34400",27,"PTx",0.806,572,"P4"
"34401",30.5,"PTx",0.9356,572,"P4"
"34402",34,"PTx",0.9816,572,"P4"
"34403",37.5,"PTx",0.9915,572,"P4"
"34404",41,"PTx",0.9245,572,"P4"
"34405",44.5,"PTx",1.0032,572,"P4"
"34406",48,"PTx",0.9437,572,"P4"
"34407",51.5,"PTx",0.9125,572,"P4"
"34408",55,"PTx",0.8638,572,"P4"
"34409",58.5,"PTx",0.8542,572,"P4"
"34410",62,"PTx",0.8866,572,"P4"
"34411",65.5,"PTx",0.8818,572,"P4"
"34412",69,"PTx",0.8869,572,"P4"
"34413",72.5,"PTx",0.8398,572,"P4"
"34414",76,"PTx",0.7435,572,"P4"
"34415",79.5,"PTx",0.7806,572,"P4"
"34416",83,"PTx",0.7749,572,"P4"
"34417",2.5,"PTx",0.4515,577,"P4"
"34418",6,"PTx",0.4447,577,"P4"
"34419",9.5,"PTx",0.4491,577,"P4"
"34420",13,"PTx",0.4251,577,"P4"
"34421",16.5,"PTx",0.4401,577,"P4"
"34422",20,"PTx",0.4339,577,"P4"
"34423",23.5,"PTx",0.4678,577,"P4"
"34424",27,"PTx",0.4046,577,"P4"
"34425",30.5,"PTx",0.4766,577,"P4"
"34426",34,"PTx",0.5082,577,"P4"
"34427",37.5,"PTx",0.5356,577,"P4"
"34428",41,"PTx",0.5894,577,"P4"
"34429",44.5,"PTx",0.6334,577,"P4"
"34430",48,"PTx",0.6484,577,"P4"
"34431",51.5,"PTx",0.6652,577,"P4"
"34432",55,"PTx",0.662,577,"P4"
"34433",58.5,"PTx",0.6583,577,"P4"
"34434",62,"PTx",0.6532,577,"P4"
"34435",65.5,"PTx",0.6181,577,"P4"
"34436",69,"PTx",0.6261,577,"P4"
"34437",72.5,"PTx",0.6378,577,"P4"
"34438",76,"PTx",0.3699,577,"P4"
"34439",79.5,"PTx",0.3866,577,"P4"
"34440",83,"PTx",0.3298,577,"P4"
"34441",2.5,"PTx",0.5963,578,"P4"
"34442",6,"PTx",0.6045,578,"P4"
"34443",9.5,"PTx",0.5843,578,"P4"
"34444",13,"PTx",0.5741,578,"P4"
"34445",16.5,"PTx",0.5669,578,"P4"
"34446",20,"PTx",0.5493,578,"P4"
"34447",23.5,"PTx",0.5039,578,"P4"
"34448",27,"PTx",0.6773,578,"P4"
"34449",30.5,"PTx",0.8091,578,"P4"
"34450",34,"PTx",0.8611,578,"P4"
"34451",37.5,"PTx",0.9048,578,"P4"
"34452",41,"PTx",1.0237,578,"P4"
"34453",44.5,"PTx",1.0257,578,"P4"
"34454",48,"PTx",1.0491,578,"P4"
"34455",51.5,"PTx",0.9654,578,"P4"
"34456",55,"PTx",1.0719,578,"P4"
"34457",58.5,"PTx",1.089,578,"P4"
"34458",62,"PTx",1.0807,578,"P4"
"34459",65.5,"PTx",1.1489,578,"P4"
"34460",69,"PTx",1.1679,578,"P4"
"34461",72.5,"PTx",1.0524,578,"P4"
"34462",76,"PTx",0.9911,578,"P4"
"34463",79.5,"PTx",1.0098,578,"P4"
"34464",83,"PTx",0.9964,578,"P4"
"34465",2.5,"PTx",0.5364,581,"P4"
"34466",6,"PTx",0.5631,581,"P4"
"34467",9.5,"PTx",0.5297,581,"P4"
"34468",13,"PTx",0.5399,581,"P4"
"34469",16.5,"PTx",0.5318,581,"P4"
"34470",20,"PTx",0.5529,581,"P4"
"34471",23.5,"PTx",0.564,581,"P4"
"34472",27,"PTx",0.646,581,"P4"
"34473",30.5,"PTx",0.7681,581,"P4"
"34474",34,"PTx",0.7492,581,"P4"
"34475",37.5,"PTx",0.7558,581,"P4"
"34476",41,"PTx",0.7765,581,"P4"
"34477",44.5,"PTx",0.7797,581,"P4"
"34478",48,"PTx",0.774,581,"P4"
"34479",51.5,"PTx",0.8137,581,"P4"
"34480",55,"PTx",0.8769,581,"P4"
"34481",58.5,"PTx",0.8645,581,"P4"
"34482",62,"PTx",0.7926,581,"P4"
"34483",65.5,"PTx",0.7525,581,"P4"
"34484",69,"PTx",0.7363,581,"P4"
"34485",72.5,"PTx",0.7537,581,"P4"
"34486",76,"PTx",0.7596,581,"P4"
"34487",79.5,"PTx",0.7941,581,"P4"
"34488",83,"PTx",0.7977,581,"P4"
"34489",2.5,"PTx",0.4812,582,"P4"
"34490",6,"PTx",0.4817,582,"P4"
"34491",9.5,"PTx",0.4452,582,"P4"
"34492",13,"PTx",0.4522,582,"P4"
"34493",16.5,"PTx",0.5145,582,"P4"
"34494",20,"PTx",0.5193,582,"P4"
"34495",23.5,"PTx",0.5038,582,"P4"
"34496",27,"PTx",0.5864,582,"P4"
"34497",30.5,"PTx",0.8948,582,"P4"
"34498",34,"PTx",1.1036,582,"P4"
"34499",37.5,"PTx",1.0228,582,"P4"
"34500",41,"PTx",0.9737,582,"P4"
"34501",44.5,"PTx",0.9448,582,"P4"
"34502",48,"PTx",1.0481,582,"P4"
"34503",51.5,"PTx",1.0366,582,"P4"
"34504",55,"PTx",0.9241,582,"P4"
"34505",58.5,"PTx",0.9706,582,"P4"
"34506",62,"PTx",1.0164,582,"P4"
"34507",65.5,"PTx",0.9218,582,"P4"
"34508",69,"PTx",0.8909,582,"P4"
"34509",72.5,"PTx",0.8487,582,"P4"
"34510",76,"PTx",0.8456,582,"P4"
"34511",79.5,"PTx",0.873,582,"P4"
"34512",83,"PTx",0.8413,582,"P4"
"34513",2.5,"PTx",0.345,585,"P4"
"34514",6,"PTx",0.3148,585,"P4"
"34515",9.5,"PTx",0.3355,585,"P4"
"34516",13,"PTx",0.3232,585,"P4"
"34517",16.5,"PTx",0.3512,585,"P4"
"34518",20,"PTx",0.3329,585,"P4"
"34519",23.5,"PTx",0.3654,585,"P4"
"34520",27,"PTx",0.3455,585,"P4"
"34521",30.5,"PTx",0.3912,585,"P4"
"34522",34,"PTx",0.4552,585,"P4"
"34523",37.5,"PTx",0.4749,585,"P4"
"34524",41,"PTx",0.5058,585,"P4"
"34525",44.5,"PTx",0.4942,585,"P4"
"34526",48,"PTx",0.5579,585,"P4"
"34527",51.5,"PTx",0.6168,585,"P4"
"34528",55,"PTx",0.6978,585,"P4"
"34529",58.5,"PTx",0.6957,585,"P4"
"34530",62,"PTx",0.659,585,"P4"
"34531",65.5,"PTx",0.6299,585,"P4"
"34532",69,"PTx",0.6482,585,"P4"
"34533",72.5,"PTx",0.7196,585,"P4"
"34534",76,"PTx",0.7083,585,"P4"
"34535",79.5,"PTx",0.6799,585,"P4"
"34536",83,"PTx",0.6502,585,"P4"
"34537",2.5,"PTx",0.5409,586,"P4"
"34538",6,"PTx",0.5633,586,"P4"
"34539",9.5,"PTx",0.5399,586,"P4"
"34540",13,"PTx",0.4972,586,"P4"
"34541",16.5,"PTx",0.512,586,"P4"
"34542",20,"PTx",0.5571,586,"P4"
"34543",23.5,"PTx",0.4513,586,"P4"
"34544",27,"PTx",0.5474,586,"P4"
"34545",30.5,"PTx",0.8724,586,"P4"
"34546",34,"PTx",0.9082,586,"P4"
"34547",37.5,"PTx",0.8522,586,"P4"
"34548",41,"PTx",0.8619,586,"P4"
"34549",44.5,"PTx",1.0324,586,"P4"
"34550",48,"PTx",1.1883,586,"P4"
"34551",51.5,"PTx",1.2216,586,"P4"
"34552",55,"PTx",1.0835,586,"P4"
"34553",58.5,"PTx",1.1409,586,"P4"
"34554",62,"PTx",0.9828,586,"P4"
"34555",65.5,"PTx",0.918,586,"P4"
"34556",69,"PTx",0.8592,586,"P4"
"34557",72.5,"PTx",0.8867,586,"P4"
"34558",76,"PTx",0.8177,586,"P4"
"34559",79.5,"PTx",0.7438,586,"P4"
"34560",83,"PTx",0.7039,586,"P4"
"34561",2.5,"PTx",0.27,589,"P4"
"34562",6,"PTx",0.2762,589,"P4"
"34563",9.5,"PTx",0.2768,589,"P4"
"34564",13,"PTx",0.2784,589,"P4"
"34565",16.5,"PTx",0.2691,589,"P4"
"34566",20,"PTx",0.2924,589,"P4"
"34567",23.5,"PTx",0.2304,589,"P4"
"34568",27,"PTx",0.3,589,"P4"
"34569",30.5,"PTx",0.389,589,"P4"
"34570",34,"PTx",0.4416,589,"P4"
"34571",37.5,"PTx",0.4384,589,"P4"
"34572",41,"PTx",0.4204,589,"P4"
"34573",44.5,"PTx",0.4445,589,"P4"
"34574",48,"PTx",0.4381,589,"P4"
"34575",51.5,"PTx",0.4549,589,"P4"
"34576",55,"PTx",0.4647,589,"P4"
"34577",58.5,"PTx",0.4541,589,"P4"
"34578",62,"PTx",0.4101,589,"P4"
"34579",65.5,"PTx",0.3935,589,"P4"
"34580",69,"PTx",0.377,589,"P4"
"34581",72.5,"PTx",0.3597,589,"P4"
"34582",76,"PTx",0.3597,589,"P4"
"34583",79.5,"PTx",0.3565,589,"P4"
"34584",83,"PTx",0.3649,589,"P4"
"34585",2.5,"PTx",0.3848,591,"P4"
"34586",6,"PTx",0.3851,591,"P4"
"34587",9.5,"PTx",0.3802,591,"P4"
"34588",13,"PTx",0.3635,591,"P4"
"34589",16.5,"PTx",0.4159,591,"P4"
"34590",20,"PTx",0.3591,591,"P4"
"34591",23.5,"PTx",0.398,591,"P4"
"34592",27,"PTx",0.3922,591,"P4"
"34593",30.5,"PTx",0.4729,591,"P4"
"34594",34,"PTx",0.483,591,"P4"
"34595",37.5,"PTx",0.4807,591,"P4"
"34596",41,"PTx",0.4454,591,"P4"
"34597",44.5,"PTx",0.4239,591,"P4"
"34598",48,"PTx",0.4436,591,"P4"
"34599",51.5,"PTx",0.4625,591,"P4"
"34600",55,"PTx",0.4465,591,"P4"
"34601",58.5,"PTx",0.4745,591,"P4"
"34602",62,"PTx",0.4556,591,"P4"
"34603",65.5,"PTx",0.4823,591,"P4"
"34604",69,"PTx",0.4717,591,"P4"
"34605",72.5,"PTx",0.4633,591,"P4"
"34606",76,"PTx",0.4314,591,"P4"
"34607",79.5,"PTx",0.4262,591,"P4"
"34608",83,"PTx",0.4284,591,"P4"
