"","Unique_Unique_Object","Experiment","Aktnac","ERKnac","Condition","Concen"
"95",275,"20200122 P1",0.0826999999999997,0.475799999999999,"PTx",0
"96",277,"20200122 P1",0.1746,-0.0171000000000001,"PTx",0
"97",278,"20200122 P1",-0.0990999999999996,0.14,"PTx",0
"98",280,"20200122 P1",-0.5322,-0.4706,"PTx",0
"99",286,"20200122 P1",0.2441,0.3226,"PTx",0
"100",287,"20200122 P1",0.0413000000000003,0.1709,"PTx",0
"101",288,"20200122 P1",-0.0868999999999999,0.17,"PTx",0
"102",295,"20200122 P1",0.3687,0.2614,"PTx",0
"103",296,"20200122 P1",0.0395000000000001,0.5648,"PTx",0
"104",297,"20200122 P1",-0.1471,-0.1392,"PTx",0
"105",304,"20200122 P1",0.0399999999999999,0.0205,"PTx",0
"106",305,"20200122 P1",0.1734,0.1169,"PTx",0
"107",306,"20200122 P1",0.2577,-0.303199999999999,"PTx",0
"108",308,"20200122 P1",0.000199999999999922,0.2385,"PTx",0
"109",309,"20200122 P1",-0.2152,0.437,"PTx",0
"110",310,"20200122 P1",0.0533000000000001,-0.1139,"PTx",0
"111",322,"20200122 P1",0.0298000000000002,-0.2663,"PTx",0
"112",323,"20200122 P1",0.0225000000000001,-0.0856000000000002,"PTx",0
"113",327,"20200122 P1",0.1089,0.2,"PTx",0
"114",328,"20200122 P1",-0.5421,-0.2579,"PTx",0
"115",330,"20200122 P1",0.0327999999999997,-0.0139999999999995,"PTx",0
"116",331,"20200122 P1",-0.2516,-0.0308000000000005,"PTx",0
"117",332,"20200122 P1",0.0303000000000004,0.0826999999999998,"PTx",0
"118",333,"20200122 P1",-0.0339000000000001,0.1113,"PTx",0
"119",335,"20200122 P1",0.0320999999999997,0.3042,"PTx",0
"120",336,"20200122 P1",-0.1028,0.3043,"PTx",0
"121",337,"20200122 P1",0.0618999999999997,0.3546,"PTx",0
"122",340,"20200122 P1",-0.0262000000000002,0.3179,"PTx",0
"123",344,"20200122 P1",-0.1271,-0.1349,"PTx",0
"124",354,"20200122 P1",0.1559,0.557,"PTx",0
"125",357,"20200122 P1",0.0575000000000002,-0.0366999999999997,"PTx",0
"126",359,"20200122 P1",0.1212,0.0833999999999998,"PTx",0
"127",361,"20200122 P1",-0.0909000000000004,0.211000000000001,"PTx",0
"128",363,"20200122 P1",0.0402999999999999,0.321599999999999,"PTx",0
"129",368,"20200122 P1",0.0408999999999998,-0.1814,"PTx",0
"130",369,"20200122 P1",0.0377,-0.2557,"PTx",0
"131",370,"20200122 P1",-0.1211,-0.1751,"PTx",0
"132",394,"20200122 P1",-0.3015,0.0482000000000003,"PTx",0
"133",398,"20200122 P1",-0.0129999999999997,-0.361700000000001,"PTx",0
"134",401,"20200122 P1",-0.0197000000000003,0.1555,"PTx",0
"135",402,"20200122 P1",0.1065,0.215,"PTx",0
"136",403,"20200122 P1",0.1064,0.638299999999999,"PTx",0
"137",406,"20200122 P1",0.1658,0.433500000000001,"PTx",0
"138",411,"20200122 P1",0.1196,0.2662,"PTx",0
"139",413,"20200122 P1",-0.3414,-0.6416,"PTx",0
"140",421,"20200122 P1",-0.2125,-0.3575,"PTx",0
"141",422,"20200122 P1",-0.3087,-0.414,"PTx",0
"142",423,"20200122 P1",-0.0317999999999998,-0.5111,"PTx",0
"143",424,"20200122 P1",-0.0189000000000001,-0.0865000000000002,"PTx",0
"144",425,"20200122 P1",-0.1006,0.2724,"PTx",0
"145",427,"20200122 P1",-0.0745,-0.0778000000000002,"PTx",0
"146",430,"20200122 P1",0.0936999999999999,0.2269,"PTx",0
"147",431,"20200122 P1",-0.2517,-0.5459,"PTx",0
"148",432,"20200122 P1",0.3251,0.2712,"PTx",0
"149",434,"20200122 P1",-0.00500000000000006,-0.0647999999999997,"PTx",0
"150",435,"20200122 P1",-0.0713000000000003,0.1952,"PTx",0
"151",436,"20200122 P1",0.0847000000000003,0.767499999999999,"PTx",0
"152",437,"20200122 P1",-0.0571,-0.2298,"PTx",0
"153",441,"20200122 P1",0.1307,0.388500000000001,"PTx",0
"154",446,"20200122 P1",-0.1204,0.0509999999999999,"PTx",0
"155",448,"20200122 P1",-0.0554000000000001,-0.0102999999999999,"PTx",0
"156",452,"20200122 P1",-0.1964,-0.4046,"PTx",0
"157",453,"20200122 P1",0.2201,-0.1255,"PTx",0
"158",457,"20200122 P1",0.1168,0.2405,"PTx",0
"159",458,"20200122 P1",0.0195000000000001,-0.3652,"PTx",0
"160",461,"20200122 P1",0.2327,0.4646,"PTx",0
"161",467,"20200122 P1",0.2059,0.265200000000001,"PTx",0
"162",481,"20200122 P1",0.0297999999999999,0.2014,"PTx",0
"163",483,"20200122 P1",0.1444,-0.1423,"PTx",0
"164",484,"20200122 P1",-0.0143999999999999,-0.2525,"PTx",0
"165",490,"20200122 P1",-0.0696999999999996,0.0480999999999999,"PTx",0
"166",491,"20200122 P1",-0.0488000000000001,0.0617000000000001,"PTx",0
"167",492,"20200122 P1",-0.45,-0.4267,"PTx",0
"168",494,"20200122 P1",0.2592,0.1617,"PTx",0
"169",496,"20200122 P1",-0.2346,-0.355999999999999,"PTx",0
"170",497,"20200122 P1",-0.0225,-0.1148,"PTx",0
"171",499,"20200122 P1",-0.4651,-0.3309,"PTx",0
"172",502,"20200122 P1",-0.1489,-0.3888,"PTx",0
"173",504,"20200122 P1",-0.6463,-0.5026,"PTx",0
"174",506,"20200122 P1",-0.0452000000000002,0.1269,"PTx",0
"175",508,"20200122 P1",-0.0923999999999998,0.0810000000000001,"PTx",0
"176",510,"20200122 P1",-0.0969,0.169,"PTx",0
"177",514,"20200122 P1",0.0246000000000002,0.1463,"PTx",0
"178",515,"20200122 P1",-0.0128000000000001,0.2013,"PTx",0
"179",517,"20200122 P1",0.1504,0.4977,"PTx",0
"180",519,"20200122 P1",0.00739999999999996,-0.1367,"PTx",0
"181",520,"20200122 P1",-0.8637,-0.5118,"PTx",0
"182",521,"20200122 P1",-0.0346000000000001,0.110500000000001,"PTx",0
"183",523,"20200122 P1",-0.3357,0.1464,"PTx",0
"184",525,"20200122 P1",0.0789000000000002,0.0458999999999998,"PTx",0
"185",526,"20200122 P1",0.1011,0.2653,"PTx",0
"186",527,"20200122 P1",0.109,0.1425,"PTx",0
"187",528,"20200122 P1",0.2746,0.3007,"PTx",0
"188",530,"20200122 P1",0.0692999999999998,-0.1188,"PTx",0
"189",531,"20200122 P1",-0.1376,-0.2086,"PTx",0
"190",533,"20200122 P1",-0.2657,-0.2096,"PTx",0
"191",537,"20200122 P1",-0.3528,-0.3184,"PTx",0
"192",538,"20200122 P1",0.1418,0.1652,"PTx",0
"193",543,"20200122 P1",0.0686000000000001,0.3564,"PTx",0
"194",544,"20200122 P1",0.2852,0.0073000000000002,"PTx",0
"195",546,"20200122 P1",0.14,0.2801,"PTx",0
"196",547,"20200122 P1",-0.1073,-0.4269,"PTx",0
"197",548,"20200122 P1",-0.3388,0.152,"PTx",0
"198",549,"20200122 P1",0.483699999999999,1.1201,"PTx",0
"199",553,"20200122 P1",-0.4254,-0.2495,"PTx",0
"200",554,"20200122 P1",-0.3047,-0.503699999999999,"PTx",0
"201",555,"20200122 P1",0.5444,0.2597,"PTx",0
"202",557,"20200122 P1",-0.2363,0.0217999999999998,"PTx",0
"203",559,"20200122 P1",-0.1782,-0.1165,"PTx",0
"204",560,"20200122 P1",-0.0187000000000003,0.6115,"PTx",0
"205",561,"20200122 P1",-0.0979,-0.3286,"PTx",0
"206",562,"20200122 P1",0.0304999999999996,0.1928,"PTx",0
"207",564,"20200122 P1",0.1755,-0.262999999999999,"PTx",0
"208",567,"20200122 P1",-0.0395,-0.4732,"PTx",0
"209",571,"20200122 P1",0.213100000000001,0.0709000000000003,"PTx",0
"210",572,"20200122 P1",-0.1629,-0.256,"PTx",0
"211",576,"20200122 P1",-0.0728000000000003,-0.3394,"PTx",0
"212",579,"20200122 P1",0.3359,0.6211,"PTx",0
"213",580,"20200122 P1",-0.2172,-0.0742,"PTx",0
"214",581,"20200122 P1",0.3608,-0.0601999999999998,"PTx",0
"215",583,"20200122 P1",-0.2343,-0.1118,"PTx",0
"216",584,"20200122 P1",0.00460000000000038,0.3163,"PTx",0
"217",585,"20200122 P1",-0.29,0.00169999999999998,"PTx",0
"218",586,"20200122 P1",0.00399999999999978,0.461099999999999,"PTx",0
"219",588,"20200122 P1",0.0129000000000001,-0.233700000000001,"PTx",0
"220",598,"20200122 P1",0.365,0.6999,"PTx",0
"221",599,"20200122 P1",0.486999999999999,-0.4519,"PTx",0
"222",601,"20200122 P1",0.0176000000000001,-0.0314999999999999,"PTx",0
"223",603,"20200122 P1",-0.0236000000000001,-0.1394,"PTx",0
"224",606,"20200122 P1",-0.0183000000000002,-0.173499999999999,"PTx",0
"225",608,"20200122 P1",0.2742,0.4589,"PTx",0
"226",611,"20200122 P1",0.2989,0.1619,"PTx",0
"227",612,"20200122 P1",-0.0529000000000002,0.1232,"PTx",0
"228",613,"20200122 P1",0.3143,-0.0768000000000003,"PTx",0
"229",614,"20200122 P1",0.165,-0.1076,"PTx",0
"230",615,"20200122 P1",-0.0394,-0.276099999999999,"PTx",0
"231",616,"20200122 P1",-0.190600000000001,-1.9147,"PTx",0
"232",619,"20200122 P1",-0.295,-0.2824,"PTx",0
"233",620,"20200122 P1",-0.313,0.1407,"PTx",0
"234",622,"20200122 P1",-0.3955,0.1327,"PTx",0
"235",623,"20200122 P1",-0.1374,-0.2284,"PTx",0
"236",626,"20200122 P1",0.2451,-0.2617,"PTx",0
"237",627,"20200122 P1",-0.1706,0.0370999999999998,"PTx",0
"238",628,"20200122 P1",0.5239,0.1459,"PTx",0
"239",631,"20200122 P1",0.0702999999999998,0.3669,"PTx",0
"240",632,"20200122 P1",-0.0582000000000002,0.2558,"PTx",0
"241",633,"20200122 P1",-0.1668,-0.6194,"PTx",0
"242",634,"20200122 P1",0.2156,-0.3335,"PTx",0
"243",636,"20200122 P1",-0.0866999999999999,-0.1293,"PTx",0
"244",638,"20200122 P1",-0.1044,-0.0578000000000003,"PTx",0
"245",639,"20200122 P1",0.356,0.477899999999999,"PTx",0
"246",640,"20200122 P1",0.1415,-0.6063,"PTx",0
"247",641,"20200122 P1",0.4789,0.0152999999999998,"PTx",0
"248",643,"20200122 P1",0.0547000000000002,0.2464,"PTx",0
"249",645,"20200122 P1",0.3125,0.1095,"PTx",0
"250",647,"20200122 P1",-0.1406,0.4488,"PTx",0
"251",649,"20200122 P1",0.2208,0.106199999999999,"PTx",0
"252",650,"20200122 P1",0.1795,-0.7016,"PTx",0
"253",651,"20200122 P1",-0.0875999999999996,-0.0333,"PTx",0
"254",652,"20200122 P1",0.169,0.3482,"PTx",0
"255",656,"20200122 P1",0.0127999999999995,-0.00359999999999988,"PTx",0
"256",657,"20200122 P1",0.6174,0.3399,"PTx",0
"257",658,"20200122 P1",-0.00930000000000009,-0.00039999999999929,"PTx",0
"258",664,"20200122 P1",-0.0281000000000001,-0.2322,"PTx",0
"259",665,"20200122 P1",0.0557000000000001,-0.292799999999999,"PTx",0
"260",667,"20200122 P1",0.2482,0.1884,"PTx",0
"261",669,"20200122 P1",-0.457,-0.3415,"PTx",0
"262",670,"20200122 P1",0.3932,0.4156,"PTx",0
"263",673,"20200122 P1",0.1574,0.0689000000000007,"PTx",0
"264",674,"20200122 P1",0.4321,0.177499999999999,"PTx",0
"265",676,"20200122 P1",0.3997,0.406899999999999,"PTx",0
"266",677,"20200122 P1",-0.00770000000000037,-0.1634,"PTx",0
"267",678,"20200122 P1",0.2562,0.434,"PTx",0
