"Wavelength","mEGFP EM","mEGFP EX"
623,0.0173,0.0041
624,0.0155,0.0028
625,0.0153,0.0032
626,0.0152,0.0026
627,0.0147,0.0035
628,0.0149,0.0037
629,0.0142,0.0038
630,0.0134,0.0041
631,0.0136,0.0037
632,0.0125,0.0045
633,0.0125,0.0032
634,0.012,0.0033
635,0.0118,0.003
636,0.0119,0.0034
637,0.0113,0.0027
638,0.0111,0.0023
639,0.0109,0.0022
640,0.0108,0.0031
641,0.0104,0.0022
642,0.0102,0.0028
643,0.0102,0.0019
644,0.0096,0.0023
645,0.0099,0.0023
646,0.0096,0.002
647,0.0087,0.003
648,0.0097,0.003
649,0.0088,0.0034
650,0.009,0.0043
651,0.0084,0.0033
652,0.0081,0.0038
653,0.0079,0.0031
654,0.0079,0.0038
655,0.008,0.0032
656,0.0076,0.0035
657,0.0076,0.0033
658,0.0079,0.0033
659,0.008,0.004
660,0.0071,0.0029
661,0.0078,0.0029
662,0.0075,0.0032
663,0.0073,0.0033
664,0.0071,0.0033
665,0.0073,0.0032
666,0.007,0.0027
667,0.007,0.0019
668,0.0069,0.0025
669,0.007,0.0026
670,0.0064,0.0034
671,0.0068,0.0028
672,0.0065,0.0036
673,0.0064,0.0041
674,0.0065,0.0036
675,0.0065,0.003
676,0.0067,0.0021
677,0.0067,0.001
678,0.0065,0.0004
679,0.0065,0.0022
680,0.0064,0.0009
681,0.0065,0.0015
682,0.0064,0.0004
683,0.0071,0.0007
684,0.0069,0.001
685,0.0066,0.0013
686,0.0068,0.0016
687,0.0061,0.0014
688,0.0069,0.0018
689,0.0061,0.0005
690,0.0065,0.0017
691,0.006,0.0004
692,0.0068,0.0012
693,0.0067,0.0012
694,0.0063,0.0002
695,0.0063,0.0011
696,0.0064,0.0021
697,0.0067,0.0022
698,0.0068,0.0023
699,0.0064,0.0022
700,0.0064,0.0017
