"Wavelength","mTurquoise2 EM","mTurquoise2 EX","mNeonGreen EM","mNeonGreen EX","mScarlet-I EM","mScarlet-I EX","miRFP670 EM","miRFP670 EX"
472,0.974,0.2375,0.0037,0.4261,,0.055
473,0.993,0.1983,0.0017,0.4399,,0.0574
474,0.999,0.1634,0.0015,0.4528,,0.06
475,1,0.1351,0.0015,0.464,,0.0628
476,0.993,0.1111,0.0017,0.4743,,0.0657
477,0.977,0.0915,0.0019,0.4838,,0.0689
478,0.957,0.0741,0.0023,0.4924,,0.0722
479,0.938,0.0588,0.0026,0.5007,,0.0757
480,0.915,0.0458,0.0031,0.5088,,0.0794
481,0.889,0.037,0.0037,0.5171,,0.0833
482,0.864,0.0305,0.0044,0.5264,,0.0873
483,0.841,0.024,0.0052,0.537,,0.0915
484,0.817,0.0196,0.0065,0.5492,,0.0959
485,0.796,0.0153,0.0079,0.5628,,0.1004
486,0.776,0.0131,0.0095,0.5784,,0.105
487,0.76,0.0087,0.0118,0.5958,,0.1098
488,0.749,0.0065,0.0147,0.6152,,0.1147
489,0.741,0.0065,0.0181,0.6363,,0.1198
490,0.738,0.0065,0.0224,0.6589,,0.125
491,0.737,0.0044,0.0277,0.6831,,0.1303
492,0.739,0.0022,0.0341,0.7093,,0.1357
493,0.745,0.0022,0.0424,0.7365,,0.1411
494,0.751,0.0022,0.0531,0.7649,,0.1466
495,0.758,0.0022,0.065,0.7945,,0.1519
496,0.768,,0.0796,0.8246,,0.157
497,0.775,,0.0977,0.8548,,0.1618
498,0.78,,0.1195,0.8847,,0.1663
499,0.787,,0.1456,0.9131,,0.1704
500,0.792,,0.1768,0.9397,,0.1742
501,0.792,,0.2127,0.9625,,0.1779
502,0.795,,0.2526,0.9814,,0.1818
503,0.792,,0.2996,0.9941,,0.1862
504,0.786,,0.3505,1,,0.1914
505,0.779,,0.4066,0.9983,,0.1975
506,0.769,,0.4683,0.9879,,0.2044
507,0.752,,0.5319,0.9676,,0.2118
508,0.736,,0.5959,0.9378,,0.2195
509,0.72,,0.664,0.8983,,0.2275
510,0.699,,0.731,0.85,,0.2354
511,0.68,,0.7927,0.7935,,0.2434
512,0.658,,0.8533,0.7302,,0.2512
513,0.637,,0.9064,0.6627,,0.2591
514,0.615,,0.9475,0.5931,,0.2672
515,0.594,,0.9767,0.5229,,0.276
516,0.572,,0.9945,0.4548,,0.2858
517,0.553,,1,0.3905,,0.297
518,0.531,,0.9928,0.3311,,0.3097
519,0.511,,0.976,0.278,,0.3237
520,0.494,,0.954,0.2307,,0.339,,0.0572
521,0.476,,0.924,0.1904,,0.355,,0.06
522,0.46,,0.8887,0.1562,,0.3715,,0.0629
523,0.443,,0.8491,0.1271,,0.3882,,0.0657
524,0.43,,0.8077,0.1031,,0.4045,,0.0686
525,0.417,,0.7647,0.0833,,0.4202,,0.0714
526,0.403,,0.7233,0.0675,,0.4348,,0.0743
527,0.391,,0.6846,0.0547,,0.4478,,0.0771
528,0.381,,0.6481,0.0441,,0.4591,,0.08
529,0.371,,0.6131,0.0361,,0.4686,,0.0828
530,0.363,,0.5814,0.0292,,0.4762,,0.0857
531,0.354,,0.5527,0.024,,0.4823,,0.0885
532,0.346,,0.5236,0.0195,,0.4867,,0.0914
533,0.338,,0.499,0.0158,,0.4898,,0.0942
534,0.332,,0.4767,0.013,,0.4917,,0.0979
535,0.326,,0.4546,0.0105,,0.4928,,0.1015
536,0.318,,0.4336,0.0089,,0.4933,,0.1052
537,0.313,,0.4145,0.0072,,0.4937,,0.1089
538,0.306,,0.3973,0.0059,,0.4945,,0.1126
539,0.299,,0.3816,0.0049,0.0047,0.4956,,0.1163
540,0.294,,0.3671,0.0043,0.0041,0.4971,,0.12
541,0.288,,0.3554,0.0033,0.0038,0.4989,,0.1237
542,0.28,,0.344,0.003,0.0039,0.5013,,0.1273
543,0.273,,0.3331,0.0023,0.0043,0.5047,,0.1313
544,0.267,,0.3234,0.0021,0.005,0.5094,,0.1353
545,0.26,,0.3147,0.0019,0.0061,0.5156,,0.1394
546,0.253,,0.3061,0.0015,0.0076,0.5234,,0.1434
547,0.246,,0.2997,0.0014,0.0093,0.5327,,0.1474
548,0.238,,0.2931,0.0012,0.0113,0.5431,,0.1514
549,0.23,,0.2873,0.0008,0.0137,0.5547,,0.1555
550,0.224,,0.281,0.0009,0.0165,0.568,,0.1595
551,0.216,,0.2747,0.0007,0.0197,0.5825,,0.1635
552,0.208,,0.2681,0.0005,0.0234,0.5978,,0.1675
553,0.201,,0.2615,0.0006,0.0274,0.6142,,0.1716
554,0.193,,0.2533,0.0005,0.0319,0.6325,,0.1767
555,0.187,,0.2462,0.0003,0.0368,0.6534,,0.183
556,0.18,,0.2384,0.0004,0.0422,0.6766,,0.1894
557,0.173,,0.2307,0.0002,0.0481,0.7015,,0.1957
558,0.166,,0.2228,0.0001,0.0548,0.7282,,0.2021
559,0.159,,0.2153,0.0001,0.0625,0.7574,,0.2094
560,0.153,,0.2067,0.0002,0.0721,0.7882,,0.217
561,0.147,,0.1979,0.0001,0.0838,0.8193,,0.2245
562,0.141,,0.1888,0.0002,0.098,0.8502,,0.232
563,0.135,,0.18,0,0.1148,0.8803,,0.2401
564,0.131,,0.171,0,0.1343,0.9089,,0.2482
565,0.125,,0.1634,0,0.1569,0.9343,,0.2564
566,0.122,,0.1552,0.0002,0.1832,0.9558,,0.2651
567,0.117,,0.1477,0,0.2131,0.9732,,0.2743
568,0.113,,0.1408,0,0.2466,0.9877,,0.2836
569,0.11,,0.1334,0,0.2836,0.9974,,0.2928
570,0.106,,0.126,0,0.3237,1,,0.302
571,0.103,,0.1204,0,0.3663,0.996,,0.3112
572,0.0993,,0.1144,0,0.4111,0.987,,0.3205
