"Condition","Treatment","Time","object","activity"
"Cdc42","S1P",10.5,"Cell 02",1.054723
"Cdc42","S1P",10.5,"Cell 03",0.9675301
"Cdc42","S1P",10.5,"Cell 04",1.008038
"Cdc42","S1P",10.5,"Cell 05",1.02219
"Cdc42","S1P",10.5,"Cell 06",0.9951237
"Cdc42","S1P",10.5,"Cell 07",0.9655151
"Cdc42","S1P",10.5,"Cell 08",1.02714
"Cdc42","S1P",10.5,"Cell 09",0.9933702
"Cdc42","S1P",10.5,"Cell 10",1.035163
"Cdc42","S1P",10.5,"Cell 11",1.00916
"Cdc42","S1P",10.5,"Cell 12",0.9645867
"Cdc42","S1P",10.5,"Cell 13",0.9878927
"Cdc42","S1P",10.5,"Cell 14",1.038904
"Cdc42","S1P",10.5,"Cell 15",1.0943
"Cdc42","S1P",10.5,"Cell 16",1.02604
"Cdc42","S1P",10.5,"Cell 17",1.027278
"Cdc42","S1P",10.5,"Cell 18",1.009222
"Cdc42","S1P",10.5,"Cell 19",1.032755
"Cdc42","S1P",10.5,"Cell 20",NA
"Cdc42","S1P",10.5,"Cell 21",NA
"Cdc42","S1P",10.5,"Cell 22",NA
"Cdc42","S1P",10.5,"Cell 23",NA
"Cdc42","S1P",10.5,"Cell 24",NA
"Cdc42","S1P",10.5,"Cell 25",NA
"Cdc42","S1P",10.5,"Cell 26",NA
"Cdc42","S1P",10.5,"Cell 27",NA
"Cdc42","S1P",10.5,"Cell 28",NA
"Cdc42","S1P",10.5,"Cell 29",NA
"Cdc42","S1P",10.5,"Cell 30",NA
"Cdc42","S1P",10.5,"Cell 31",NA
"Cdc42","S1P",10.5,"Cell 32",NA
"Cdc42","S1P",10.66667,"Cell 01",1.078096
"Cdc42","S1P",10.66667,"Cell 02",1.063018
"Cdc42","S1P",10.66667,"Cell 03",0.9797635
"Cdc42","S1P",10.66667,"Cell 04",1.028467
"Cdc42","S1P",10.66667,"Cell 05",1.018639
"Cdc42","S1P",10.66667,"Cell 06",0.9787844
"Cdc42","S1P",10.66667,"Cell 07",0.9501899
"Cdc42","S1P",10.66667,"Cell 08",1.034065
"Cdc42","S1P",10.66667,"Cell 09",1.000379
"Cdc42","S1P",10.66667,"Cell 10",1.03654
"Cdc42","S1P",10.66667,"Cell 11",1.015003
"Cdc42","S1P",10.66667,"Cell 12",0.969169
"Cdc42","S1P",10.66667,"Cell 13",0.9943055
"Cdc42","S1P",10.66667,"Cell 14",1.04731
"Cdc42","S1P",10.66667,"Cell 15",1.098309
"Cdc42","S1P",10.66667,"Cell 16",1.015884
"Cdc42","S1P",10.66667,"Cell 17",1.028486
"Cdc42","S1P",10.66667,"Cell 18",1.010217
"Cdc42","S1P",10.66667,"Cell 19",1.028113
"Cdc42","S1P",10.66667,"Cell 20",NA
"Cdc42","S1P",10.66667,"Cell 21",NA
"Cdc42","S1P",10.66667,"Cell 22",NA
"Cdc42","S1P",10.66667,"Cell 23",NA
"Cdc42","S1P",10.66667,"Cell 24",NA
"Cdc42","S1P",10.66667,"Cell 25",NA
"Cdc42","S1P",10.66667,"Cell 26",NA
"Cdc42","S1P",10.66667,"Cell 27",NA
"Cdc42","S1P",10.66667,"Cell 28",NA
"Cdc42","S1P",10.66667,"Cell 29",NA
"Cdc42","S1P",10.66667,"Cell 30",NA
"Cdc42","S1P",10.66667,"Cell 31",NA
"Cdc42","S1P",10.66667,"Cell 32",NA
"Cdc42","S1P",10.83333,"Cell 01",1.089696
"Cdc42","S1P",10.83333,"Cell 02",1.072283
"Cdc42","S1P",10.83333,"Cell 03",0.9861507
"Cdc42","S1P",10.83333,"Cell 04",1.02731
"Cdc42","S1P",10.83333,"Cell 05",1.014026
"Cdc42","S1P",10.83333,"Cell 06",0.9871237
"Cdc42","S1P",10.83333,"Cell 07",0.9647565
"Cdc42","S1P",10.83333,"Cell 08",1.030461
"Cdc42","S1P",10.83333,"Cell 09",0.9994032
"Cdc42","S1P",10.83333,"Cell 10",1.038675
"Cdc42","S1P",10.83333,"Cell 11",1.015245
"Cdc42","S1P",10.83333,"Cell 12",0.9667646
"Cdc42","S1P",10.83333,"Cell 13",0.9937878
"Cdc42","S1P",10.83333,"Cell 14",1.040495
"Cdc42","S1P",10.83333,"Cell 15",1.085207
"Cdc42","S1P",10.83333,"Cell 16",1.016554
"Cdc42","S1P",10.83333,"Cell 17",1.027987
"Cdc42","S1P",10.83333,"Cell 18",1.005082
"Cdc42","S1P",10.83333,"Cell 19",1.024996
"Cdc42","S1P",10.83333,"Cell 20",NA
"Cdc42","S1P",10.83333,"Cell 21",NA
"Cdc42","S1P",10.83333,"Cell 22",NA
"Cdc42","S1P",10.83333,"Cell 23",NA
"Cdc42","S1P",10.83333,"Cell 24",NA
"Cdc42","S1P",10.83333,"Cell 25",NA
"Cdc42","S1P",10.83333,"Cell 26",NA
"Cdc42","S1P",10.83333,"Cell 27",NA
"Cdc42","S1P",10.83333,"Cell 28",NA
"Cdc42","S1P",10.83333,"Cell 29",NA
"Cdc42","S1P",10.83333,"Cell 30",NA
"Cdc42","S1P",10.83333,"Cell 31",NA
"Cdc42","S1P",10.83333,"Cell 32",NA
"Cdc42","S1P",11,"Cell 01",1.077557
"Cdc42","S1P",11,"Cell 02",1.064274
"Cdc42","S1P",11,"Cell 03",0.9729722
"Cdc42","S1P",11,"Cell 04",1.017253
"Cdc42","S1P",11,"Cell 05",1.014982
"Cdc42","S1P",11,"Cell 06",0.9928935
"Cdc42","S1P",11,"Cell 07",0.9696906
"Cdc42","S1P",11,"Cell 08",1.026511
"Cdc42","S1P",11,"Cell 09",0.9930403
"Cdc42","S1P",11,"Cell 10",1.037304
"Cdc42","S1P",11,"Cell 11",1.014017
"Cdc42","S1P",11,"Cell 12",0.9672805
"Cdc42","S1P",11,"Cell 13",0.9915837
"Cdc42","S1P",11,"Cell 14",1.040032
"Cdc42","S1P",11,"Cell 15",1.079684
"Cdc42","S1P",11,"Cell 16",1.028582
"Cdc42","S1P",11,"Cell 17",1.030881
"Cdc42","S1P",11,"Cell 18",1.008937
"Cdc42","S1P",11,"Cell 19",1.032368
"Cdc42","S1P",11,"Cell 20",NA
"Cdc42","S1P",11,"Cell 21",NA
"Cdc42","S1P",11,"Cell 22",NA
"Cdc42","S1P",11,"Cell 23",NA
"Cdc42","S1P",11,"Cell 24",NA
"Cdc42","S1P",11,"Cell 25",NA
"Cdc42","S1P",11,"Cell 26",NA
"Cdc42","S1P",11,"Cell 27",NA
"Cdc42","S1P",11,"Cell 28",NA
"Cdc42","S1P",11,"Cell 29",NA
"Cdc42","S1P",11,"Cell 30",NA
"Cdc42","S1P",11,"Cell 31",NA
"Cdc42","S1P",11,"Cell 32",NA
"Cdc42","S1P",11.16667,"Cell 01",1.084299
"Cdc42","S1P",11.16667,"Cell 02",1.069221
"Cdc42","S1P",11.16667,"Cell 03",0.9773104
"Cdc42","S1P",11.16667,"Cell 04",1.016368
"Cdc42","S1P",11.16667,"Cell 05",1.014136
"Cdc42","S1P",11.16667,"Cell 06",0.9870799
"Cdc42","S1P",11.16667,"Cell 07",0.9638227
"Cdc42","S1P",11.16667,"Cell 08",1.022887
"Cdc42","S1P",11.16667,"Cell 09",0.9908282
"Cdc42","S1P",11.16667,"Cell 10",1.033932
"Cdc42","S1P",11.16667,"Cell 11",1.011636
"Cdc42","S1P",11.16667,"Cell 12",0.9716842
"Cdc42","S1P",11.16667,"Cell 13",1.007438
"Cdc42","S1P",11.16667,"Cell 14",1.030545
"Cdc42","S1P",11.16667,"Cell 15",1.070402
"Cdc42","S1P",11.16667,"Cell 16",1.026976
"Cdc42","S1P",11.16667,"Cell 17",1.033427
"Cdc42","S1P",11.16667,"Cell 18",1.006896
"Cdc42","S1P",11.16667,"Cell 19",1.032026
"Cdc42","S1P",11.16667,"Cell 20",NA
"Cdc42","S1P",11.16667,"Cell 21",NA
"Cdc42","S1P",11.16667,"Cell 22",NA
"Cdc42","S1P",11.16667,"Cell 23",NA
"Cdc42","S1P",11.16667,"Cell 24",NA
"Cdc42","S1P",11.16667,"Cell 25",NA
"Cdc42","S1P",11.16667,"Cell 26",NA
"Cdc42","S1P",11.16667,"Cell 27",NA
"Cdc42","S1P",11.16667,"Cell 28",NA
"Cdc42","S1P",11.16667,"Cell 29",NA
"Cdc42","S1P",11.16667,"Cell 30",NA
"Cdc42","S1P",11.16667,"Cell 31",NA
"Cdc42","S1P",11.16667,"Cell 32",NA
"Cdc42","S1P",11.33333,"Cell 01",1.084363
"Cdc42","S1P",11.33333,"Cell 02",1.063064
"Cdc42","S1P",11.33333,"Cell 03",0.9724854
"Cdc42","S1P",11.33333,"Cell 04",1.024085
"Cdc42","S1P",11.33333,"Cell 05",1.022422
"Cdc42","S1P",11.33333,"Cell 06",0.9760734
"Cdc42","S1P",11.33333,"Cell 07",0.9549806
"Cdc42","S1P",11.33333,"Cell 08",1.030837
"Cdc42","S1P",11.33333,"Cell 09",1.000243
"Cdc42","S1P",11.33333,"Cell 10",1.041208
"Cdc42","S1P",11.33333,"Cell 11",1.014898
"Cdc42","S1P",11.33333,"Cell 12",0.9640798
"Cdc42","S1P",11.33333,"Cell 13",0.9843714
"Cdc42","S1P",11.33333,"Cell 14",1.035884
"Cdc42","S1P",11.33333,"Cell 15",1.072008
"Cdc42","S1P",11.33333,"Cell 16",1.033942
"Cdc42","S1P",11.33333,"Cell 17",1.034593
"Cdc42","S1P",11.33333,"Cell 18",1.005579
"Cdc42","S1P",11.33333,"Cell 19",1.028847
"Cdc42","S1P",11.33333,"Cell 20",NA
"Cdc42","S1P",11.33333,"Cell 21",NA
"Cdc42","S1P",11.33333,"Cell 22",NA
"Cdc42","S1P",11.33333,"Cell 23",NA
"Cdc42","S1P",11.33333,"Cell 24",NA
"Cdc42","S1P",11.33333,"Cell 25",NA
"Cdc42","S1P",11.33333,"Cell 26",NA
"Cdc42","S1P",11.33333,"Cell 27",NA
"Cdc42","S1P",11.33333,"Cell 28",NA
"Cdc42","S1P",11.33333,"Cell 29",NA
"Cdc42","S1P",11.33333,"Cell 30",NA
"Cdc42","S1P",11.33333,"Cell 31",NA
"Cdc42","S1P",11.33333,"Cell 32",NA
"Cdc42","S1P",11.5,"Cell 01",1.092469
"Cdc42","S1P",11.5,"Cell 02",1.069405
"Cdc42","S1P",11.5,"Cell 03",0.9661639
"Cdc42","S1P",11.5,"Cell 04",1.01402
"Cdc42","S1P",11.5,"Cell 05",1.019214
"Cdc42","S1P",11.5,"Cell 06",0.9808369
"Cdc42","S1P",11.5,"Cell 07",0.9582649
"Cdc42","S1P",11.5,"Cell 08",1.032972
"Cdc42","S1P",11.5,"Cell 09",1.00234
"Cdc42","S1P",11.5,"Cell 10",1.040352
"Cdc42","S1P",11.5,"Cell 11",1.014997
"Cdc42","S1P",11.5,"Cell 12",0.9694122
"Cdc42","S1P",11.5,"Cell 13",1.000251
"Cdc42","S1P",11.5,"Cell 14",1.026614
"Cdc42","S1P",11.5,"Cell 15",1.063808
"Cdc42","S1P",11.5,"Cell 16",1.03021
"Cdc42","S1P",11.5,"Cell 17",1.026682
"Cdc42","S1P",11.5,"Cell 18",0.998909
"Cdc42","S1P",11.5,"Cell 19",1.018002
"Cdc42","S1P",11.5,"Cell 20",NA
"Cdc42","S1P",11.5,"Cell 21",NA
"Cdc42","S1P",11.5,"Cell 22",NA
"Cdc42","S1P",11.5,"Cell 23",NA
"Cdc42","S1P",11.5,"Cell 24",NA
"Cdc42","S1P",11.5,"Cell 25",NA
"Cdc42","S1P",11.5,"Cell 26",NA
"Cdc42","S1P",11.5,"Cell 27",NA
"Cdc42","S1P",11.5,"Cell 28",NA
"Cdc42","S1P",11.5,"Cell 29",NA
"Cdc42","S1P",11.5,"Cell 30",NA
"Cdc42","S1P",11.5,"Cell 31",NA
"Cdc42","S1P",11.5,"Cell 32",NA
"Cdc42","S1P",11.66667,"Cell 01",1.086172
"Cdc42","S1P",11.66667,"Cell 02",1.058107
"Cdc42","S1P",11.66667,"Cell 03",0.9778785
"Cdc42","S1P",11.66667,"Cell 04",1.021041
"Cdc42","S1P",11.66667,"Cell 05",1.01501
"Cdc42","S1P",11.66667,"Cell 06",0.9856257
"Cdc42","S1P",11.66667,"Cell 07",0.9595674
"Cdc42","S1P",11.66667,"Cell 08",1.031405
"Cdc42","S1P",11.66667,"Cell 09",1.003483
"Cdc42","S1P",11.66667,"Cell 10",1.041113
"Cdc42","S1P",11.66667,"Cell 11",1.014887
"Cdc42","S1P",11.66667,"Cell 12",0.9707542
"Cdc42","S1P",11.66667,"Cell 13",1.007187
"Cdc42","S1P",11.66667,"Cell 14",1.023355
"Cdc42","S1P",11.66667,"Cell 15",1.063353
"Cdc42","S1P",11.66667,"Cell 16",1.026754
"Cdc42","S1P",11.66667,"Cell 17",1.017339
"Cdc42","S1P",11.66667,"Cell 18",1.017991
"Cdc42","S1P",11.66667,"Cell 19",1.044023
"Cdc42","S1P",11.66667,"Cell 20",NA
"Cdc42","S1P",11.66667,"Cell 21",NA
"Cdc42","S1P",11.66667,"Cell 22",NA
"Cdc42","S1P",11.66667,"Cell 23",NA
"Cdc42","S1P",11.66667,"Cell 24",NA
"Cdc42","S1P",11.66667,"Cell 25",NA
"Cdc42","S1P",11.66667,"Cell 26",NA
"Cdc42","S1P",11.66667,"Cell 27",NA
"Cdc42","S1P",11.66667,"Cell 28",NA
"Cdc42","S1P",11.66667,"Cell 29",NA
"Cdc42","S1P",11.66667,"Cell 30",NA
"Cdc42","S1P",11.66667,"Cell 31",NA
"Cdc42","S1P",11.66667,"Cell 32",NA
"Cdc42","S1P",11.83333,"Cell 01",1.072208
"Cdc42","S1P",11.83333,"Cell 02",1.046783
"Cdc42","S1P",11.83333,"Cell 03",0.9563422
"Cdc42","S1P",11.83333,"Cell 04",1.000416
"Cdc42","S1P",11.83333,"Cell 05",1.020907
"Cdc42","S1P",11.83333,"Cell 06",0.968991
"Cdc42","S1P",11.83333,"Cell 07",0.9423549
"Cdc42","S1P",11.83333,"Cell 08",1.020744
"Cdc42","S1P",11.83333,"Cell 09",0.9975616
"Cdc42","S1P",11.83333,"Cell 10",1.034883
"Cdc42","S1P",11.83333,"Cell 11",1.009456
"Cdc42","S1P",11.83333,"Cell 12",0.9691548
"Cdc42","S1P",11.83333,"Cell 13",0.9979312
"Cdc42","S1P",11.83333,"Cell 14",1.018651
"Cdc42","S1P",11.83333,"Cell 15",1.059009
"Cdc42","S1P",11.83333,"Cell 16",1.026662
"Cdc42","S1P",11.83333,"Cell 17",1.021071
"Cdc42","S1P",11.83333,"Cell 18",1.008031
"Cdc42","S1P",11.83333,"Cell 19",1.032496
"Cdc42","S1P",11.83333,"Cell 20",NA
"Cdc42","S1P",11.83333,"Cell 21",NA
"Cdc42","S1P",11.83333,"Cell 22",NA
"Cdc42","S1P",11.83333,"Cell 23",NA
"Cdc42","S1P",11.83333,"Cell 24",NA
"Cdc42","S1P",11.83333,"Cell 25",NA
"Cdc42","S1P",11.83333,"Cell 26",NA
"Cdc42","S1P",11.83333,"Cell 27",NA
"Cdc42","S1P",11.83333,"Cell 28",NA
"Cdc42","S1P",11.83333,"Cell 29",NA
"Cdc42","S1P",11.83333,"Cell 30",NA
"Cdc42","S1P",11.83333,"Cell 31",NA
"Cdc42","S1P",11.83333,"Cell 32",NA
"Cdc42","S1P",12,"Cell 01",1.070998
"Cdc42","S1P",12,"Cell 02",1.052567
"Cdc42","S1P",12,"Cell 03",0.9743491
"Cdc42","S1P",12,"Cell 04",1.014411
"Cdc42","S1P",12,"Cell 05",1.018614
"Cdc42","S1P",12,"Cell 06",0.9894462
"Cdc42","S1P",12,"Cell 07",0.9594241
"Cdc42","S1P",12,"Cell 08",1.026471
"Cdc42","S1P",12,"Cell 09",1.00414
"Cdc42","S1P",12,"Cell 10",1.038079
"Cdc42","S1P",12,"Cell 11",1.015935
"Cdc42","S1P",12,"Cell 12",0.9687882
"Cdc42","S1P",12,"Cell 13",0.99567
"Cdc42","S1P",12,"Cell 14",1.016954
"Cdc42","S1P",12,"Cell 15",1.058355
"Cdc42","S1P",12,"Cell 16",1.022165
"Cdc42","S1P",12,"Cell 17",1.01559
"Cdc42","S1P",12,"Cell 18",1.00755
"Cdc42","S1P",12,"Cell 19",1.026544
"Cdc42","S1P",12,"Cell 20",NA
"Cdc42","S1P",12,"Cell 21",NA
"Cdc42","S1P",12,"Cell 22",NA
"Cdc42","S1P",12,"Cell 23",NA
"Cdc42","S1P",12,"Cell 24",NA
"Cdc42","S1P",12,"Cell 25",NA
"Cdc42","S1P",12,"Cell 26",NA
"Cdc42","S1P",12,"Cell 27",NA
"Cdc42","S1P",12,"Cell 28",NA
"Cdc42","S1P",12,"Cell 29",NA
"Cdc42","S1P",12,"Cell 30",NA
"Cdc42","S1P",12,"Cell 31",NA
"Cdc42","S1P",12,"Cell 32",NA
"Cdc42","S1P",12.16667,"Cell 01",1.068741
"Cdc42","S1P",12.16667,"Cell 02",1.046069
"Cdc42","S1P",12.16667,"Cell 03",0.9653014
"Cdc42","S1P",12.16667,"Cell 04",1.006341
"Cdc42","S1P",12.16667,"Cell 05",1.017116
"Cdc42","S1P",12.16667,"Cell 06",0.9692423
"Cdc42","S1P",12.16667,"Cell 07",0.9435097
"Cdc42","S1P",12.16667,"Cell 08",1.023909
"Cdc42","S1P",12.16667,"Cell 09",1.001885
"Cdc42","S1P",12.16667,"Cell 10",1.035475
"Cdc42","S1P",12.16667,"Cell 11",1.017068
"Cdc42","S1P",12.16667,"Cell 12",0.9649792
"Cdc42","S1P",12.16667,"Cell 13",0.9945614
"Cdc42","S1P",12.16667,"Cell 14",1.012876
"Cdc42","S1P",12.16667,"Cell 15",1.057572
"Cdc42","S1P",12.16667,"Cell 16",1.028592
"Cdc42","S1P",12.16667,"Cell 17",1.022337
"Cdc42","S1P",12.16667,"Cell 18",1.011704
"Cdc42","S1P",12.16667,"Cell 19",1.032585
"Cdc42","S1P",12.16667,"Cell 20",NA
"Cdc42","S1P",12.16667,"Cell 21",NA
"Cdc42","S1P",12.16667,"Cell 22",NA
"Cdc42","S1P",12.16667,"Cell 23",NA
"Cdc42","S1P",12.16667,"Cell 24",NA
"Cdc42","S1P",12.16667,"Cell 25",NA
"Cdc42","S1P",12.16667,"Cell 26",NA
"Cdc42","S1P",12.16667,"Cell 27",NA
"Cdc42","S1P",12.16667,"Cell 28",NA
"Cdc42","S1P",12.16667,"Cell 29",NA
"Cdc42","S1P",12.16667,"Cell 30",NA
"Cdc42","S1P",12.16667,"Cell 31",NA
"Cdc42","S1P",12.16667,"Cell 32",NA
"Cdc42","S1P",12.33333,"Cell 01",1.062739
"Cdc42","S1P",12.33333,"Cell 02",1.040968
"Cdc42","S1P",12.33333,"Cell 03",0.9628204
"Cdc42","S1P",12.33333,"Cell 04",1.008291
"Cdc42","S1P",12.33333,"Cell 05",1.013864
"Cdc42","S1P",12.33333,"Cell 06",0.980381
"Cdc42","S1P",12.33333,"Cell 07",0.9548289
"Cdc42","S1P",12.33333,"Cell 08",1.02398
"Cdc42","S1P",12.33333,"Cell 09",1.00497
"Cdc42","S1P",12.33333,"Cell 10",1.035532
"Cdc42","S1P",12.33333,"Cell 11",1.020818
"Cdc42","S1P",12.33333,"Cell 12",0.9612794
"Cdc42","S1P",12.33333,"Cell 13",0.9915804
"Cdc42","S1P",12.33333,"Cell 14",1.023068
"Cdc42","S1P",12.33333,"Cell 15",1.063334
"Cdc42","S1P",12.33333,"Cell 16",1.031331
"Cdc42","S1P",12.33333,"Cell 17",1.022439
"Cdc42","S1P",12.33333,"Cell 18",0.9906755
"Cdc42","S1P",12.33333,"Cell 19",1.013092
"Cdc42","S1P",12.33333,"Cell 20",NA
"Cdc42","S1P",12.33333,"Cell 21",NA
"Cdc42","S1P",12.33333,"Cell 22",NA
"Cdc42","S1P",12.33333,"Cell 23",NA
"Cdc42","S1P",12.33333,"Cell 24",NA
"Cdc42","S1P",12.33333,"Cell 25",NA
"Cdc42","S1P",12.33333,"Cell 26",NA
"Cdc42","S1P",12.33333,"Cell 27",NA
"Cdc42","S1P",12.33333,"Cell 28",NA
"Cdc42","S1P",12.33333,"Cell 29",NA
"Cdc42","S1P",12.33333,"Cell 30",NA
"Cdc42","S1P",12.33333,"Cell 31",NA
"Cdc42","S1P",12.33333,"Cell 32",NA
"Cdc42","S1P",12.5,"Cell 01",1.073089
"Cdc42","S1P",12.5,"Cell 02",1.053946
"Cdc42","S1P",12.5,"Cell 03",0.9756448
"Cdc42","S1P",12.5,"Cell 04",1.018728
"Cdc42","S1P",12.5,"Cell 05",1.009733
"Cdc42","S1P",12.5,"Cell 06",0.9745769
"Cdc42","S1P",12.5,"Cell 07",0.9594543
"Cdc42","S1P",12.5,"Cell 08",1.021679
"Cdc42","S1P",12.5,"Cell 09",0.9954681
"Cdc42","S1P",12.5,"Cell 10",1.02992
"Cdc42","S1P",12.5,"Cell 11",1.016238
"Cdc42","S1P",12.5,"Cell 12",0.9584038
"Cdc42","S1P",12.5,"Cell 13",0.9822565
"Cdc42","S1P",12.5,"Cell 14",1.016152
"Cdc42","S1P",12.5,"Cell 15",1.055222
"Cdc42","S1P",12.5,"Cell 16",1.01927
"Cdc42","S1P",12.5,"Cell 17",1.016697
"Cdc42","S1P",12.5,"Cell 18",1.008966
"Cdc42","S1P",12.5,"Cell 19",1.023087
"Cdc42","S1P",12.5,"Cell 20",NA
"Cdc42","S1P",12.5,"Cell 21",NA
"Cdc42","S1P",12.5,"Cell 22",NA
"Cdc42","S1P",12.5,"Cell 23",NA
"Cdc42","S1P",12.5,"Cell 24",NA
"Cdc42","S1P",12.5,"Cell 25",NA
"Cdc42","S1P",12.5,"Cell 26",NA
"Cdc42","S1P",12.5,"Cell 27",NA
"Cdc42","S1P",12.5,"Cell 28",NA
"Cdc42","S1P",12.5,"Cell 29",NA
"Cdc42","S1P",12.5,"Cell 30",NA
"Cdc42","S1P",12.5,"Cell 31",NA
"Cdc42","S1P",12.5,"Cell 32",NA
"Cdc42","S1P",12.66667,"Cell 01",1.066113
"Cdc42","S1P",12.66667,"Cell 02",1.04828
"Cdc42","S1P",12.66667,"Cell 03",0.9680921
"Cdc42","S1P",12.66667,"Cell 04",1.012598
"Cdc42","S1P",12.66667,"Cell 05",1.011117
"Cdc42","S1P",12.66667,"Cell 06",0.9861994
"Cdc42","S1P",12.66667,"Cell 07",0.9643616
"Cdc42","S1P",12.66667,"Cell 08",1.026648
"Cdc42","S1P",12.66667,"Cell 09",0.9966059
"Cdc42","S1P",12.66667,"Cell 10",1.034315
"Cdc42","S1P",12.66667,"Cell 11",1.020564
"Cdc42","S1P",12.66667,"Cell 12",0.9642056
"Cdc42","S1P",12.66667,"Cell 13",0.996162
"Cdc42","S1P",12.66667,"Cell 14",1.024512
"Cdc42","S1P",12.66667,"Cell 15",1.065723
"Cdc42","S1P",12.66667,"Cell 16",1.025463
"Cdc42","S1P",12.66667,"Cell 17",1.021131
"Cdc42","S1P",12.66667,"Cell 18",1.004534
"Cdc42","S1P",12.66667,"Cell 19",1.019026
"Cdc42","S1P",12.66667,"Cell 20",NA
"Cdc42","S1P",12.66667,"Cell 21",NA
"Cdc42","S1P",12.66667,"Cell 22",NA
"Cdc42","S1P",12.66667,"Cell 23",NA
"Cdc42","S1P",12.66667,"Cell 24",NA
"Cdc42","S1P",12.66667,"Cell 25",NA
"Cdc42","S1P",12.66667,"Cell 26",NA
"Cdc42","S1P",12.66667,"Cell 27",NA
"Cdc42","S1P",12.66667,"Cell 28",NA
"Cdc42","S1P",12.66667,"Cell 29",NA
"Cdc42","S1P",12.66667,"Cell 30",NA
"Cdc42","S1P",12.66667,"Cell 31",NA
"Cdc42","S1P",12.66667,"Cell 32",NA
"Cdc42","S1P",12.83333,"Cell 01",1.070947
"Cdc42","S1P",12.83333,"Cell 02",1.048758
"Cdc42","S1P",12.83333,"Cell 03",0.9743978
"Cdc42","S1P",12.83333,"Cell 04",1.013526
"Cdc42","S1P",12.83333,"Cell 05",1.003748
"Cdc42","S1P",12.83333,"Cell 06",0.9590621
"Cdc42","S1P",12.83333,"Cell 07",0.948595
"Cdc42","S1P",12.83333,"Cell 08",1.024838
"Cdc42","S1P",12.83333,"Cell 09",0.9968503
"Cdc42","S1P",12.83333,"Cell 10",1.035244
"Cdc42","S1P",12.83333,"Cell 11",1.020906
"Cdc42","S1P",12.83333,"Cell 12",0.962181
"Cdc42","S1P",12.83333,"Cell 13",0.9860097
"Cdc42","S1P",12.83333,"Cell 14",1.010862
"Cdc42","S1P",12.83333,"Cell 15",1.058866
"Cdc42","S1P",12.83333,"Cell 16",1.028735
"Cdc42","S1P",12.83333,"Cell 17",1.0297
"Cdc42","S1P",12.83333,"Cell 18",1.002723
"Cdc42","S1P",12.83333,"Cell 19",1.017784
"Cdc42","S1P",12.83333,"Cell 20",NA
"Cdc42","S1P",12.83333,"Cell 21",NA
"Cdc42","S1P",12.83333,"Cell 22",NA
"Cdc42","S1P",12.83333,"Cell 23",NA
"Cdc42","S1P",12.83333,"Cell 24",NA
"Cdc42","S1P",12.83333,"Cell 25",NA
"Cdc42","S1P",12.83333,"Cell 26",NA
"Cdc42","S1P",12.83333,"Cell 27",NA
"Cdc42","S1P",12.83333,"Cell 28",NA
"Cdc42","S1P",12.83333,"Cell 29",NA
"Cdc42","S1P",12.83333,"Cell 30",NA
"Cdc42","S1P",12.83333,"Cell 31",NA
"Cdc42","S1P",12.83333,"Cell 32",NA
"Cdc42","S1P",13,"Cell 01",1.06508
"Cdc42","S1P",13,"Cell 02",1.043159
"Cdc42","S1P",13,"Cell 03",0.970558
"Cdc42","S1P",13,"Cell 04",1.00754
"Cdc42","S1P",13,"Cell 05",1.006246
"Cdc42","S1P",13,"Cell 06",0.966282
"Cdc42","S1P",13,"Cell 07",0.9461335
"Cdc42","S1P",13,"Cell 08",1.018724
"Cdc42","S1P",13,"Cell 09",0.9931535
"Cdc42","S1P",13,"Cell 10",1.036364
"Cdc42","S1P",13,"Cell 11",1.018474
"Cdc42","S1P",13,"Cell 12",0.9633523
"Cdc42","S1P",13,"Cell 13",0.9936866
"Cdc42","S1P",13,"Cell 14",1.014911
"Cdc42","S1P",13,"Cell 15",1.06257
"Cdc42","S1P",13,"Cell 16",1.029892
"Cdc42","S1P",13,"Cell 17",1.024822
"Cdc42","S1P",13,"Cell 18",1.005586
"Cdc42","S1P",13,"Cell 19",1.022811
"Cdc42","S1P",13,"Cell 20",NA
"Cdc42","S1P",13,"Cell 21",NA
"Cdc42","S1P",13,"Cell 22",NA
"Cdc42","S1P",13,"Cell 23",NA
"Cdc42","S1P",13,"Cell 24",NA
"Cdc42","S1P",13,"Cell 25",NA
"Cdc42","S1P",13,"Cell 26",NA
"Cdc42","S1P",13,"Cell 27",NA
"Cdc42","S1P",13,"Cell 28",NA
"Cdc42","S1P",13,"Cell 29",NA
"Cdc42","S1P",13,"Cell 30",NA
"Cdc42","S1P",13,"Cell 31",NA
"Cdc42","S1P",13,"Cell 32",NA
"Cdc42","S1P",13.16667,"Cell 01",1.070906
"Cdc42","S1P",13.16667,"Cell 02",1.046158
"Cdc42","S1P",13.16667,"Cell 03",0.9839105
"Cdc42","S1P",13.16667,"Cell 04",1.012223
"Cdc42","S1P",13.16667,"Cell 05",1.000276
"Cdc42","S1P",13.16667,"Cell 06",0.9687973
"Cdc42","S1P",13.16667,"Cell 07",0.9496504
"Cdc42","S1P",13.16667,"Cell 08",1.016248
"Cdc42","S1P",13.16667,"Cell 09",0.9855874
"Cdc42","S1P",13.16667,"Cell 10",1.031752
"Cdc42","S1P",13.16667,"Cell 11",1.01541
"Cdc42","S1P",13.16667,"Cell 12",0.9598144
"Cdc42","S1P",13.16667,"Cell 13",0.9964058
