"Condition","Treatment","Time","object","activity"
"Cdc42","S1P",0.5,"Cell 07",1.0016
"Cdc42","S1P",0.5,"Cell 08",1.000072
"Cdc42","S1P",0.5,"Cell 09",1.003508
"Cdc42","S1P",0.5,"Cell 10",1.000595
"Cdc42","S1P",0.5,"Cell 11",1.001776
"Cdc42","S1P",0.5,"Cell 12",1.003522
"Cdc42","S1P",0.5,"Cell 13",1.010215
"Cdc42","S1P",0.5,"Cell 14",0.9910634
"Cdc42","S1P",0.5,"Cell 15",0.994302
"Cdc42","S1P",0.5,"Cell 16",0.9942904
"Cdc42","S1P",0.5,"Cell 17",0.9932356
"Cdc42","S1P",0.5,"Cell 18",1.005905
"Cdc42","S1P",0.5,"Cell 19",1.004311
"Cdc42","S1P",0.5,"Cell 20",NA
"Cdc42","S1P",0.5,"Cell 21",NA
"Cdc42","S1P",0.5,"Cell 22",NA
"Cdc42","S1P",0.5,"Cell 23",NA
"Cdc42","S1P",0.5,"Cell 24",NA
"Cdc42","S1P",0.5,"Cell 25",NA
"Cdc42","S1P",0.5,"Cell 26",NA
"Cdc42","S1P",0.5,"Cell 27",NA
"Cdc42","S1P",0.5,"Cell 28",NA
"Cdc42","S1P",0.5,"Cell 29",NA
"Cdc42","S1P",0.5,"Cell 30",NA
"Cdc42","S1P",0.5,"Cell 31",NA
"Cdc42","S1P",0.5,"Cell 32",NA
"Cdc42","S1P",0.6666667,"Cell 01",0.9943522
"Cdc42","S1P",0.6666667,"Cell 02",0.9933341
"Cdc42","S1P",0.6666667,"Cell 03",1.016822
"Cdc42","S1P",0.6666667,"Cell 04",1.004554
"Cdc42","S1P",0.6666667,"Cell 05",0.9988462
"Cdc42","S1P",0.6666667,"Cell 06",0.9921757
"Cdc42","S1P",0.6666667,"Cell 07",0.9898673
"Cdc42","S1P",0.6666667,"Cell 08",0.9993021
"Cdc42","S1P",0.6666667,"Cell 09",1.002301
"Cdc42","S1P",0.6666667,"Cell 10",1.000192
"Cdc42","S1P",0.6666667,"Cell 11",0.9989264
"Cdc42","S1P",0.6666667,"Cell 12",0.999366
"Cdc42","S1P",0.6666667,"Cell 13",0.9974161
"Cdc42","S1P",0.6666667,"Cell 14",0.9829283
"Cdc42","S1P",0.6666667,"Cell 15",0.9912844
"Cdc42","S1P",0.6666667,"Cell 16",1.003713
"Cdc42","S1P",0.6666667,"Cell 17",1.004556
"Cdc42","S1P",0.6666667,"Cell 18",0.9959676
"Cdc42","S1P",0.6666667,"Cell 19",1.000094
"Cdc42","S1P",0.6666667,"Cell 20",NA
"Cdc42","S1P",0.6666667,"Cell 21",NA
"Cdc42","S1P",0.6666667,"Cell 22",NA
"Cdc42","S1P",0.6666667,"Cell 23",NA
"Cdc42","S1P",0.6666667,"Cell 24",NA
"Cdc42","S1P",0.6666667,"Cell 25",NA
"Cdc42","S1P",0.6666667,"Cell 26",NA
"Cdc42","S1P",0.6666667,"Cell 27",NA
"Cdc42","S1P",0.6666667,"Cell 28",NA
"Cdc42","S1P",0.6666667,"Cell 29",NA
"Cdc42","S1P",0.6666667,"Cell 30",NA
"Cdc42","S1P",0.6666667,"Cell 31",NA
"Cdc42","S1P",0.6666667,"Cell 32",NA
"Cdc42","S1P",0.8333333,"Cell 01",1.004624
"Cdc42","S1P",0.8333333,"Cell 02",1.007178
"Cdc42","S1P",0.8333333,"Cell 03",1.014021
"Cdc42","S1P",0.8333333,"Cell 04",1.004258
"Cdc42","S1P",0.8333333,"Cell 05",0.9920673
"Cdc42","S1P",0.8333333,"Cell 06",1.008146
"Cdc42","S1P",0.8333333,"Cell 07",1.00757
"Cdc42","S1P",0.8333333,"Cell 08",0.9985681
"Cdc42","S1P",0.8333333,"Cell 09",1.00138
"Cdc42","S1P",0.8333333,"Cell 10",1.001741
"Cdc42","S1P",0.8333333,"Cell 11",0.9989417
"Cdc42","S1P",0.8333333,"Cell 12",1.002809
"Cdc42","S1P",0.8333333,"Cell 13",1.007035
"Cdc42","S1P",0.8333333,"Cell 14",0.9790479
"Cdc42","S1P",0.8333333,"Cell 15",0.9861535
"Cdc42","S1P",0.8333333,"Cell 16",1.00596
"Cdc42","S1P",0.8333333,"Cell 17",1.00653
"Cdc42","S1P",0.8333333,"Cell 18",1.007057
"Cdc42","S1P",0.8333333,"Cell 19",1.004947
"Cdc42","S1P",0.8333333,"Cell 20",NA
"Cdc42","S1P",0.8333333,"Cell 21",NA
"Cdc42","S1P",0.8333333,"Cell 22",NA
"Cdc42","S1P",0.8333333,"Cell 23",NA
"Cdc42","S1P",0.8333333,"Cell 24",NA
"Cdc42","S1P",0.8333333,"Cell 25",NA
"Cdc42","S1P",0.8333333,"Cell 26",NA
"Cdc42","S1P",0.8333333,"Cell 27",NA
"Cdc42","S1P",0.8333333,"Cell 28",NA
"Cdc42","S1P",0.8333333,"Cell 29",NA
"Cdc42","S1P",0.8333333,"Cell 30",NA
"Cdc42","S1P",0.8333333,"Cell 31",NA
"Cdc42","S1P",0.8333333,"Cell 32",NA
"Cdc42","S1P",1,"Cell 01",1.000443
"Cdc42","S1P",1,"Cell 02",1.002458
"Cdc42","S1P",1,"Cell 03",1.027202
"Cdc42","S1P",1,"Cell 04",1.008615
"Cdc42","S1P",1,"Cell 05",0.9893247
"Cdc42","S1P",1,"Cell 06",1.009174
"Cdc42","S1P",1,"Cell 07",1.011224
"Cdc42","S1P",1,"Cell 08",1.000363
"Cdc42","S1P",1,"Cell 09",1.004435
"Cdc42","S1P",1,"Cell 10",1.003669
"Cdc42","S1P",1,"Cell 11",0.998541
"Cdc42","S1P",1,"Cell 12",0.9999263
"Cdc42","S1P",1,"Cell 13",1.001225
"Cdc42","S1P",1,"Cell 14",0.9800358
"Cdc42","S1P",1,"Cell 15",0.9840785
"Cdc42","S1P",1,"Cell 16",1.003667
"Cdc42","S1P",1,"Cell 17",1.005808
"Cdc42","S1P",1,"Cell 18",0.9987986
"Cdc42","S1P",1,"Cell 19",0.9978497
"Cdc42","S1P",1,"Cell 20",NA
"Cdc42","S1P",1,"Cell 21",NA
"Cdc42","S1P",1,"Cell 22",NA
"Cdc42","S1P",1,"Cell 23",NA
"Cdc42","S1P",1,"Cell 24",NA
"Cdc42","S1P",1,"Cell 25",NA
"Cdc42","S1P",1,"Cell 26",NA
"Cdc42","S1P",1,"Cell 27",NA
"Cdc42","S1P",1,"Cell 28",NA
"Cdc42","S1P",1,"Cell 29",NA
"Cdc42","S1P",1,"Cell 30",NA
"Cdc42","S1P",1,"Cell 31",NA
"Cdc42","S1P",1,"Cell 32",NA
"Cdc42","S1P",1.166667,"Cell 01",0.9968996
"Cdc42","S1P",1.166667,"Cell 02",0.9960636
"Cdc42","S1P",1.166667,"Cell 03",1.016901
"Cdc42","S1P",1.166667,"Cell 04",1.005091
"Cdc42","S1P",1.166667,"Cell 05",0.9899809
"Cdc42","S1P",1.166667,"Cell 06",0.9912574
"Cdc42","S1P",1.166667,"Cell 07",0.9950281
"Cdc42","S1P",1.166667,"Cell 08",1.003729
"Cdc42","S1P",1.166667,"Cell 09",1.006275
"Cdc42","S1P",1.166667,"Cell 10",1.005965
"Cdc42","S1P",1.166667,"Cell 11",1.001087
"Cdc42","S1P",1.166667,"Cell 12",1.005946
"Cdc42","S1P",1.166667,"Cell 13",1.007878
"Cdc42","S1P",1.166667,"Cell 14",0.9917637
"Cdc42","S1P",1.166667,"Cell 15",0.9964815
"Cdc42","S1P",1.166667,"Cell 16",1.002034
"Cdc42","S1P",1.166667,"Cell 17",1.003388
"Cdc42","S1P",1.166667,"Cell 18",0.9949598
"Cdc42","S1P",1.166667,"Cell 19",0.9930686
"Cdc42","S1P",1.166667,"Cell 20",NA
"Cdc42","S1P",1.166667,"Cell 21",NA
"Cdc42","S1P",1.166667,"Cell 22",NA
"Cdc42","S1P",1.166667,"Cell 23",NA
"Cdc42","S1P",1.166667,"Cell 24",NA
"Cdc42","S1P",1.166667,"Cell 25",NA
"Cdc42","S1P",1.166667,"Cell 26",NA
"Cdc42","S1P",1.166667,"Cell 27",NA
"Cdc42","S1P",1.166667,"Cell 28",NA
"Cdc42","S1P",1.166667,"Cell 29",NA
"Cdc42","S1P",1.166667,"Cell 30",NA
"Cdc42","S1P",1.166667,"Cell 31",NA
"Cdc42","S1P",1.166667,"Cell 32",NA
"Cdc42","S1P",1.333333,"Cell 01",1.010229
"Cdc42","S1P",1.333333,"Cell 02",1.005313
"Cdc42","S1P",1.333333,"Cell 03",1.027051
"Cdc42","S1P",1.333333,"Cell 04",1.013834
"Cdc42","S1P",1.333333,"Cell 05",0.9875027
"Cdc42","S1P",1.333333,"Cell 06",1.014395
"Cdc42","S1P",1.333333,"Cell 07",1.015013
"Cdc42","S1P",1.333333,"Cell 08",1.002943
"Cdc42","S1P",1.333333,"Cell 09",1.002466
"Cdc42","S1P",1.333333,"Cell 10",1.005503
"Cdc42","S1P",1.333333,"Cell 11",0.999691
"Cdc42","S1P",1.333333,"Cell 12",1.011135
"Cdc42","S1P",1.333333,"Cell 13",1.016964
"Cdc42","S1P",1.333333,"Cell 14",0.9874356
"Cdc42","S1P",1.333333,"Cell 15",0.9934517
"Cdc42","S1P",1.333333,"Cell 16",1.003389
"Cdc42","S1P",1.333333,"Cell 17",1.005391
"Cdc42","S1P",1.333333,"Cell 18",1.007319
"Cdc42","S1P",1.333333,"Cell 19",1.004798
"Cdc42","S1P",1.333333,"Cell 20",NA
"Cdc42","S1P",1.333333,"Cell 21",NA
"Cdc42","S1P",1.333333,"Cell 22",NA
"Cdc42","S1P",1.333333,"Cell 23",NA
"Cdc42","S1P",1.333333,"Cell 24",NA
"Cdc42","S1P",1.333333,"Cell 25",NA
"Cdc42","S1P",1.333333,"Cell 26",NA
"Cdc42","S1P",1.333333,"Cell 27",NA
"Cdc42","S1P",1.333333,"Cell 28",NA
"Cdc42","S1P",1.333333,"Cell 29",NA
"Cdc42","S1P",1.333333,"Cell 30",NA
"Cdc42","S1P",1.333333,"Cell 31",NA
"Cdc42","S1P",1.333333,"Cell 32",NA
"Cdc42","S1P",1.5,"Cell 01",1.005364
"Cdc42","S1P",1.5,"Cell 02",0.9971062
"Cdc42","S1P",1.5,"Cell 03",1.019896
"Cdc42","S1P",1.5,"Cell 04",1.013544
"Cdc42","S1P",1.5,"Cell 05",0.9872078
"Cdc42","S1P",1.5,"Cell 06",1.005697
