"id","Time","Cell.1","Cell.2","Cell.3","Cell.4","Cell.5","Cell.6","Cell.7","Cell.8","Cell.9","Cell.10","Cell.11","Cell.12","Cell.13","Cell.14","Cell.15","Cell.16","Cell.17","Cell.18","Cell.19","Cell.20","Cell.21","Cell.22","Cell.23","Cell.24","Cell.25","Cell.26","Cell.27","Cell.28","Cell.29","Cell.30","Cell.31","Cell.32"
"Cdc42_S1P",1.833333,1.0102,0.9981672,1.015757,1.014384,0.9943925,1.016697,1.010144,0.9987314,0.9992303,1.004805,0.999886,1.005417,1.003481,0.9936553,0.9996405,1.003302,1.006971,1.016843,1.009595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cdc42_S1P",2,1.010517,0.9940639,1.061331,1.052581,0.9989334,1.069849,1.078897,1.015138,1.019576,1.020904,1.013372,1.014327,1.026766,1.034135,1.027137,0.9999792,1.003706,1.037629,1.034043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cdc42_S1P",2.166667,1.071965,1.05218,1.169031,1.153867,1.024297,1.119524,1.129541,1.073687,1.070687,1.071681,1.040544,1.057266,1.114249,1.112273,1.08802,1.009683,1.014391,1.066922,1.062937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cdc42_S1P",2.333333,1.131878,1.108258,1.176923,1.197352,1.041851,1.150723,1.139203,1.104553,1.081407,1.10283,1.048964,1.072204,1.136723,1.136349,1.108829,1.012091,1.015534,1.067787,1.067833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cdc42_S1P",2.5,1.154203,1.127899,1.158042,1.18563,1.030048,1.161533,1.149471,1.102548,1.075843,1.102509,1.049942,1.066595,1.14192,1.142235,1.118407,1.01384,1.022438,1.064194,1.057865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cdc42_S1P",2.666667,1.191653,1.167981,1.133008,1.170894,1.019376,1.147546,1.14169,1.098158,1.070334,1.095298,1.040685,1.046963,1.113705,1.135846,1.121253,1.023433,1.037203,1.044876,1.034922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cdc42_S1P",2.833333,1.1963,1.176143,1.089268,1.128782,1.000059,1.132376,1.125881,1.080183,1.05071,1.082234,1.025953,1.034807,1.113164,1.108033,1.10534,1.034367,1.060696,1.041212,1.028238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cdc42_S1P",3,1.214383,1.198892,1.085522,1.118325,0.9918364,1.11126,1.108454,1.068026,1.033601,1.068696,1.009268,1.02357,1.114279,1.111103,1.111424,1.058126,1.079324,1.027142,1.010683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cdc42_S1P",3.166667,1.236062,1.226358,1.074406,1.109018,0.9879398,1.101203,1.093371,1.060668,1.028402,1.064736,1.000532,1.020465,1.104354,1.109565,1.11548,1.047686,1.069274,1.011205,0.9962031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cdc42_S1P",3.333333,1.25193,1.245035,1.059631,1.099581,0.9818735,1.090687,1.07725,1.071339,1.031457,1.074442,1.002513,1.009561,1.08335,1.10018,1.115719,1.040278,1.059618,1.011041,0.9982739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
