"time","Cell","Roundness"
170,"neutro 11",0.27
170,"neutro 12",0.48
180,"neutro 1",0.29
180,"neutro 2",0.7
180,"neutro 3",0.47
180,"neutro 4",0.52
180,"neutro 5",0.47
180,"neutro 6",0.37
180,"neutro 7",0.25
180,"neutro 8",0.62
180,"neutro 9",0.35
180,"neutro 10",0.19
180,"neutro 11",0.26
180,"neutro 12",0.38
190,"neutro 1",0.3
190,"neutro 2",0.74
190,"neutro 3",0.39
190,"neutro 4",0.54
190,"neutro 5",0.49
190,"neutro 6",0.44
190,"neutro 7",0.23
190,"neutro 8",0.7
190,"neutro 9",0.24
190,"neutro 10",0.16
190,"neutro 11",0.34
190,"neutro 12",0.56
200,"neutro 1",0.29
200,"neutro 2",0.63
200,"neutro 3",0.54
200,"neutro 4",0.43
200,"neutro 5",0.52
200,"neutro 6",0.38
200,"neutro 7",0.2
200,"neutro 8",0.6
200,"neutro 9",0.26
200,"neutro 10",0.18
200,"neutro 11",0.35
200,"neutro 12",0.57
210,"neutro 1",0.27
210,"neutro 2",0.58
210,"neutro 3",0.5
210,"neutro 4",0.46
210,"neutro 5",0.46
210,"neutro 6",0.38
210,"neutro 7",0.18
210,"neutro 8",0.56
210,"neutro 9",0.24
210,"neutro 10",0.39
210,"neutro 11",0.38
210,"neutro 12",0.47
220,"neutro 1",0.27
220,"neutro 2",0.44
220,"neutro 3",0.36
220,"neutro 4",0.62
220,"neutro 5",0.36
220,"neutro 6",0.36
220,"neutro 7",0.22
220,"neutro 8",0.63
220,"neutro 9",0.23
220,"neutro 10",0.38
220,"neutro 11",0.33
220,"neutro 12",0.43
230,"neutro 1",0.36
230,"neutro 2",0.37
230,"neutro 3",0.55
230,"neutro 4",0.46
230,"neutro 5",0.37
230,"neutro 6",0.4
230,"neutro 7",0.24
230,"neutro 8",0.65
230,"neutro 9",0.23
230,"neutro 10",0.37
230,"neutro 11",0.3
230,"neutro 12",0.45
240,"neutro 1",0.32
240,"neutro 2",0.51
240,"neutro 3",0.46
240,"neutro 4",0.49
240,"neutro 5",0.26
240,"neutro 6",0.32
240,"neutro 7",0.26
240,"neutro 8",0.55
240,"neutro 9",0.24
240,"neutro 10",0.44
240,"neutro 11",0.29
240,"neutro 12",0.44
250,"neutro 1",0.32
250,"neutro 2",0.49
250,"neutro 3",0.54
250,"neutro 4",0.47
250,"neutro 5",0.42
250,"neutro 6",0.36
250,"neutro 7",0.35
250,"neutro 8",0.61
250,"neutro 9",0.35
250,"neutro 10",0.44
250,"neutro 11",0.35
250,"neutro 12",0.52
260,"neutro 1",0.37
260,"neutro 2",0.37
260,"neutro 3",0.53
260,"neutro 4",0.52
260,"neutro 5",0.35
260,"neutro 6",0.42
260,"neutro 7",0.39
260,"neutro 8",0.65
260,"neutro 9",0.52
260,"neutro 10",0.49
260,"neutro 11",0.38
260,"neutro 12",0.47
270,"neutro 1",0.3
270,"neutro 2",0.41
270,"neutro 3",0.44
270,"neutro 4",0.55
270,"neutro 5",0.5
270,"neutro 6",0.41
270,"neutro 7",0.33
270,"neutro 8",0.66
270,"neutro 9",0.35
270,"neutro 10",0.43
270,"neutro 11",0.36
270,"neutro 12",0.52
280,"neutro 1",0.26
280,"neutro 2",0.41
280,"neutro 3",0.39
280,"neutro 4",0.52
280,"neutro 5",0.49
280,"neutro 6",0.44
280,"neutro 7",0.3
280,"neutro 8",0.63
280,"neutro 9",0.5
280,"neutro 10",0.32
280,"neutro 11",0.36
280,"neutro 12",0.64
290,"neutro 1",0.29
290,"neutro 2",0.4
290,"neutro 3",0.4
