Tijdstempel,Groep,"Resultaten van de 10 metingen (in µm), van de celkleuring (methyleenblauw)","Resultaten van de 10 metingen (in µm), van de kernkleuring (DAPI)"
11/03/2021 15:38:27,C,"5.89, 5.49 4.28, 4.96, 6.22, 5.67, 5.17, 5.26 4.54, 4.85","1.05, 0.96, 1.13, 1.13, 0.80, 1.13, 1.01, 0.86, 0.96, 0.84"
11/03/2021 18:06:19,C,"58.9 54.9, 42.8, 49.6, 62.2, 56.7, 51.7, 52.6, 45.4, 48.5","10.5, 9.6, 11.3, 11.25, 8.04, 11.3, 10.1, 8.6, 9.6, 8.4"
12/03/2021 14:20:13,D,"66.798,58.518,66.062,84.551,65.647,88.952,53.554,64.024,69.924,54.771","12.401,8.224,10.298,9.045,12.429,7.023,11.665,10.980,10.829,9.347"
13/03/2021 15:14:33,D,"71.218, 75.738, 83.782, 88.666, 90.164, 87.773, 69.940, 76.740, 43.852, 54.523","13.141, 11.721, 11.526, 13.291, 12.865, 13.615, 10.975, 11.691, 12.374, 12.330"
13/03/2021 16:24:37,D,"61.62,59.14,62.18,85.28,48.62,64.28,63.30,53.80,61.66,52.55","10.21,9.05,8.00,7.71,9.11,9.53,7.81,10.27,9.51,6.65"
14/03/2021 00:33:25,D,"90.785, 118.306, 84.091, 78.462, 78.816, 97.536, 111.865, 95.700, 73.502, 77.208","14.126, 10.349, 6.619, 8.070, 14.500, 12.207, 13.793, 16.621, 12.207, 14.089"
14/03/2021 15:49:24,C,"53.362, 56.391, 50.758, 63.360, 68.426, 65.424, 54.848, 47.733, 56.763, 48.607","8.405, 9.345, 11.648, 10.509, 10.584, 7.417, 8.231, 8.786, 8.559, 9.470"
14/03/2021 16:50:51,D,"53.97,56.33,70.75,76.55,62.78,72.32,83.04,67.89,58.19,43.47","10.51,9.67,10.48,12.69,10.94,7.91,9.86,10.22,9.67,8.38"
14/03/2021 20:47:21,D,"90.785, 118.306, 84.091, 78.462, 78.816, 97.536, 111.865, 95.700, 73.502, 77.208, 90.627","14.126, 10.349, 11.909, 10.660, 14.500, 12.207, 13.793, 16.621, 12.207, 14.089, 12.787"
15/03/2021 09:23:13,C,"67.665, 72.503, 75.079, 76.074, 50.674, 69.678, 58.286, 74.501, 63.261, 64.729","13.409, 7.899, 13.519, 11.722, 12.279, 11.899, 11.025, 11.141, 10.054 ,14.067"
15/03/2021 13:41:19,C," 51.96,49.98,63.43,45.97,65.75,56.78,71.84,62.57,67.44,69.01","30.27,34.71,29.81,26.40,29.39,25.06,31.66,30.39,28.89,30.94"
15/03/2021 14:16:38,C,"70,71,83,89,63,63,76,55,53,67","9,10,12,11,9,11,11,12,10,10"
