"Analysis","n","category","percentage","ID"
"automated analysis",130,"S",40.8575615384615,"1"
"automated analysis",130,"non-S",59.1424384615385,"2"
"manual analysis",132,"S",39.4872121212121,"3"
"manual analysis",132,"non-S",60.5127878787879,"4"
