"Time","System","n","mean"
108.78,"rapamycin",11,2.274668551
111.37,"magnets",12,0.903709598666667
111.37,"iLID",17,1.02030137529412
111.37,"rapamycin",11,2.19572911454545
113.96,"magnets",12,0.85352820725
113.96,"iLID",17,1.026188417
113.96,"rapamycin",11,2.27022957681818
116.55,"magnets",12,0.869532105666667
116.55,"iLID",17,1.02232784835294
116.55,"rapamycin",11,2.29849992827273
119.14,"magnets",12,0.868673118166667
119.14,"iLID",17,1.00869108476471
119.14,"rapamycin",11,2.31262118172727
121.73,"magnets",12,0.807804328583333
121.73,"iLID",17,0.954489342
121.73,"rapamycin",11,2.26882083354545
124.32,"magnets",12,0.796841523333333
124.32,"iLID",17,0.909156775176471
124.32,"rapamycin",11,2.28963914509091
126.91,"magnets",12,0.745775426916667
126.91,"iLID",17,0.882965923588235
126.91,"rapamycin",11,2.32186655018182
129.5,"magnets",12,0.730049407666667
129.5,"iLID",17,0.867669733647059
129.5,"rapamycin",11,2.33285043272727
132.09,"magnets",12,0.709961710166667
132.09,"iLID",17,0.835567580705882
132.09,"rapamycin",11,2.28481691009091
134.68,"magnets",12,0.711264787083333
134.68,"iLID",17,0.811894850941177
134.68,"rapamycin",11,2.35622769545455
137.27,"magnets",12,0.686265812833333
137.27,"iLID",17,0.797118996352941
137.27,"rapamycin",11,2.36037611045455
139.86,"magnets",12,0.688702130416667
139.86,"iLID",17,0.784325060294118
139.86,"rapamycin",11,2.37326874254545
142.45,"magnets",12,0.651186185833333
142.45,"iLID",17,0.762778904294118
142.45,"rapamycin",11,2.32635708836364
145.04,"magnets",12,0.654048762583333
145.04,"iLID",17,0.739482268588235
145.04,"rapamycin",11,2.39544151463636
147.63,"magnets",12,0.634574998
147.63,"iLID",17,0.733824830176471
147.63,"rapamycin",11,2.40254831354545
150.22,"magnets",12,0.645099498416667
150.22,"iLID",17,0.739044681470588
150.22,"rapamycin",11,2.31052468354545
152.81,"magnets",12,0.63332400625
152.81,"iLID",17,0.718791100588235
152.81,"rapamycin",11,2.374617848
155.4,"magnets",12,0.619267461166667
155.4,"iLID",17,0.704697081176471
155.4,"rapamycin",11,2.34784637781818
157.99,"magnets",12,0.620010045666667
157.99,"iLID",17,0.690738535117647
157.99,"rapamycin",11,2.38644476045455
160.58,"magnets",12,0.592294412666667
160.58,"iLID",17,0.692661470588235
160.58,"rapamycin",11,2.42377286190909
163.17,"magnets",12,0.60420339825
163.17,"iLID",17,0.691104904411765
163.17,"rapamycin",11,2.40911555945455
165.76,"magnets",12,0.58520060675
165.76,"iLID",17,0.688309907
165.76,"rapamycin",11,2.37676731036364
168.35,"magnets",12,0.5942279435
168.35,"iLID",17,0.683286048235294
168.35,"rapamycin",11,2.43254171645455
170.94,"magnets",12,0.58597007425
170.94,"iLID",17,0.676999948352941
170.94,"rapamycin",11,2.50435985963636
173.53,"magnets",12,0.594189569666667
173.53,"iLID",17,0.666466119764706
173.53,"rapamycin",11,2.42203631145455
176.12,"magnets",12,0.571152684333333
176.12,"iLID",17,0.654209580529412
176.12,"rapamycin",11,2.46729056327273
178.71,"magnets",12,0.579928656166667
178.71,"iLID",17,0.654337078764706
178.71,"rapamycin",11,2.38345502154545
181.3,"magnets",12,0.579689717916667
181.3,"iLID",17,0.669109607294118
181.3,"rapamycin",11,2.44824537763636
183.89,"magnets",12,0.58086205225
183.89,"iLID",17,0.649063957117647
183.89,"rapamycin",11,2.44813797290909
186.48,"magnets",12,0.566371047
186.48,"iLID",17,0.632998888470588
186.48,"rapamycin",11,2.37742776863636
189.07,"magnets",12,0.5736832675
189.07,"iLID",17,0.649234176941176
189.07,"rapamycin",11,2.42078852590909
191.66,"magnets",12,0.5647735985
191.66,"iLID",17,0.654740362705882
191.66,"rapamycin",11,2.41303607409091
194.25,"magnets",12,0.56251983975
194.25,"iLID",17,0.641035649235294
194.25,"rapamycin",11,2.46110592736364
196.84,"magnets",12,0.5707730905
196.84,"iLID",17,0.631722397176471
196.84,"rapamycin",11,2.40185451090909
199.43,"magnets",12,0.55730343
199.43,"iLID",17,0.634044378117647
199.43,"rapamycin",11,2.40844295972727
202.02,"magnets",12,0.554802792333333
202.02,"iLID",17,0.633902727235294
202.02,"rapamycin",11,2.39492933745455
204.61,"magnets",12,0.569909544416667
204.61,"iLID",17,0.624974784941176
204.61,"rapamycin",11,2.45929105836364
207.2,"magnets",12,0.568988294416667
207.2,"iLID",17,0.614926641647059
207.2,"rapamycin",11,2.43639128963636
209.79,"magnets",12,0.563482960666667
209.79,"iLID",17,0.620124537117647
209.79,"rapamycin",11,2.44542763509091
212.38,"magnets",12,0.548523367833333
212.38,"iLID",17,0.618954175823529
212.38,"rapamycin",11,2.46689836572727
214.97,"magnets",12,0.54563365825
214.97,"iLID",17,0.623658541647059
214.97,"rapamycin",11,2.52773418981818
217.56,"magnets",12,0.556480951833333
217.56,"iLID",17,0.616934660352941
217.56,"rapamycin",11,2.44457696372727
220.15,"magnets",12,0.543853556916667
220.15,"iLID",17,0.610641213705882
220.15,"rapamycin",11,2.51052535418182
222.74,"magnets",12,0.54961649075
222.74,"iLID",17,0.615940654411765
222.74,"rapamycin",11,2.44799087718182
225.33,"magnets",12,0.553378385083333
225.33,"iLID",17,0.607870135882353
225.33,"rapamycin",11,2.46275824463636
227.92,"magnets",12,0.559250505833333
227.92,"iLID",17,0.609464152882353
227.92,"rapamycin",11,2.51758458663636
230.51,"magnets",12,0.5516719035
230.51,"iLID",17,0.611588506058824
233.1,"magnets",12,0.5532758935
233.1,"iLID",17,0.603646414294118
235.69,"magnets",12,0.544305568583333
235.69,"iLID",17,0.602181837705882
238.28,"magnets",12,0.5323407385
238.28,"iLID",17,0.605642121117647
240.87,"magnets",12,0.538984264583333
240.87,"iLID",17,0.611672170235294
