"Time","Cell","Activity","amplitude","rank"
0.3333333,"Cell.27",0.9935282,46.9168102,0.129032258064516
0.3333333,"Cell.28",0.9976221,49.1636775,0.451612903225806
0.3333333,"Cell.29",1.001023,44.3182663,0
0.3333333,"Cell.30",0.9998598,46.8093946,0.0645161290322581
0.3333333,"Cell.31",1.002921,45.612368,0.032258064516129
0.3333333,"Cell.32",0.998534,47.128056,0.161290322580645
0.5,"Cell.1",0.9991967,50.315458,0.741935483870968
0.5,"Cell.2",0.9972504,49.0784891,0.387096774193548
0.5,"Cell.3",0.9972806,49.1608432,0.419354838709677
0.5,"Cell.4",1.007425,54.72428,1
0.5,"Cell.5",1.006051,53.9923307,0.967741935483871
0.5,"Cell.6",1.006239,51.4303486,0.870967741935484
0.5,"Cell.7",1.003971,52.5428662,0.935483870967742
0.5,"Cell.8",1.004684,51.187307,0.838709677419355
0.5,"Cell.9",0.997619,49.881537,0.67741935483871
0.5,"Cell.10",0.9971925,50.8529285,0.806451612903226
0.5,"Cell.11",1.000834,49.7917974,0.645161290322581
0.5,"Cell.12",0.9975954,50.3284978,0.774193548387097
0.5,"Cell.13",1.005023,49.6419659,0.548387096774194
0.5,"Cell.14",1.00078,49.4013006,0.483870967741935
0.5,"Cell.15",0.9995486,51.9740685,0.903225806451613
0.5,"Cell.16",1.001886,49.7225102,0.580645161290323
0.5,"Cell.17",1.006476,49.5812456,0.516129032258065
0.5,"Cell.18",1.007341,49.9310024,0.709677419354839
0.5,"Cell.19",0.9959588,47.4779692,0.193548387096774
0.5,"Cell.20",0.998437,47.4997003,0.225806451612903
0.5,"Cell.21",0.9969226,47.8125827,0.258064516129032
0.5,"Cell.22",0.995603,49.0180877,0.354838709677419
0.5,"Cell.23",1.00203,48.0714543,0.290322580645161
0.5,"Cell.24",1.006325,48.5968825,0.32258064516129
0.5,"Cell.25",1.00367,46.9078372,0.0967741935483871
0.5,"Cell.26",1.005647,49.7401503,0.612903225806452
0.5,"Cell.27",1.006554,46.9168102,0.129032258064516
0.5,"Cell.28",1.006809,49.1636775,0.451612903225806
0.5,"Cell.29",1.013999,44.3182663,0
0.5,"Cell.30",0.996888,46.8093946,0.0645161290322581
0.5,"Cell.31",1.002606,45.612368,0.032258064516129
0.5,"Cell.32",1.003967,47.128056,0.161290322580645
0.6666667,"Cell.1",1.009345,50.315458,0.741935483870968
0.6666667,"Cell.2",1.010991,49.0784891,0.387096774193548
0.6666667,"Cell.3",1.010359,49.1608432,0.419354838709677
0.6666667,"Cell.4",1.008408,54.72428,1
0.6666667,"Cell.5",1.002213,53.9923307,0.967741935483871
0.6666667,"Cell.6",0.9982496,51.4303486,0.870967741935484
0.6666667,"Cell.7",0.9979655,52.5428662,0.935483870967742
0.6666667,"Cell.8",0.993089,51.187307,0.838709677419355
0.6666667,"Cell.9",1.001299,49.881537,0.67741935483871
0.6666667,"Cell.10",0.9997435,50.8529285,0.806451612903226
0.6666667,"Cell.11",0.9865567,49.7917974,0.645161290322581
0.6666667,"Cell.12",0.9944269,50.3284978,0.774193548387097
0.6666667,"Cell.13",0.9907017,49.6419659,0.548387096774194
0.6666667,"Cell.14",0.9930816,49.4013006,0.483870967741935
0.6666667,"Cell.15",1.001804,51.9740685,0.903225806451613
