"Wavelength","Fluorescent Protein","Spectrum","Intensity"
542,"mTurquoise2","EM",0.28
542,"mNeonGreen","EM",0.344
542,"mNeonGreen","EX",0.003
542,"mScarlet-I","EM",0.0039
542,"mScarlet-I","EX",0.5013
542,"miRFP670","EX",0.1273
543,"mTurquoise2","EM",0.273
543,"mNeonGreen","EM",0.3331
543,"mNeonGreen","EX",0.0023
543,"mScarlet-I","EM",0.0043
543,"mScarlet-I","EX",0.5047
543,"miRFP670","EX",0.1313
544,"mTurquoise2","EM",0.267
544,"mNeonGreen","EM",0.3234
544,"mNeonGreen","EX",0.0021
544,"mScarlet-I","EM",0.005
544,"mScarlet-I","EX",0.5094
544,"miRFP670","EX",0.1353
545,"mTurquoise2","EM",0.26
545,"mNeonGreen","EM",0.3147
545,"mNeonGreen","EX",0.0019
545,"mScarlet-I","EM",0.0061
545,"mScarlet-I","EX",0.5156
545,"miRFP670","EX",0.1394
546,"mTurquoise2","EM",0.253
546,"mNeonGreen","EM",0.3061
546,"mNeonGreen","EX",0.0015
546,"mScarlet-I","EM",0.0076
546,"mScarlet-I","EX",0.5234
546,"miRFP670","EX",0.1434
547,"mTurquoise2","EM",0.246
547,"mNeonGreen","EM",0.2997
547,"mNeonGreen","EX",0.0014
547,"mScarlet-I","EM",0.0093
547,"mScarlet-I","EX",0.5327
547,"miRFP670","EX",0.1474
548,"mTurquoise2","EM",0.238
548,"mNeonGreen","EM",0.2931
548,"mNeonGreen","EX",0.0012
548,"mScarlet-I","EM",0.0113
548,"mScarlet-I","EX",0.5431
548,"miRFP670","EX",0.1514
549,"mTurquoise2","EM",0.23
549,"mNeonGreen","EM",0.2873
549,"mNeonGreen","EX",8e-04
549,"mScarlet-I","EM",0.0137
549,"mScarlet-I","EX",0.5547
549,"miRFP670","EX",0.1555
550,"mTurquoise2","EM",0.224
550,"mNeonGreen","EM",0.281
550,"mNeonGreen","EX",9e-04
550,"mScarlet-I","EM",0.0165
550,"mScarlet-I","EX",0.568
550,"miRFP670","EX",0.1595
551,"mTurquoise2","EM",0.216
551,"mNeonGreen","EM",0.2747
551,"mNeonGreen","EX",7e-04
551,"mScarlet-I","EM",0.0197
551,"mScarlet-I","EX",0.5825
551,"miRFP670","EX",0.1635
552,"mTurquoise2","EM",0.208
552,"mNeonGreen","EM",0.2681
552,"mNeonGreen","EX",5e-04
552,"mScarlet-I","EM",0.0234
552,"mScarlet-I","EX",0.5978
552,"miRFP670","EX",0.1675
553,"mTurquoise2","EM",0.201
553,"mNeonGreen","EM",0.2615
553,"mNeonGreen","EX",6e-04
553,"mScarlet-I","EM",0.0274
553,"mScarlet-I","EX",0.6142
553,"miRFP670","EX",0.1716
554,"mTurquoise2","EM",0.193
554,"mNeonGreen","EM",0.2533
554,"mNeonGreen","EX",5e-04
554,"mScarlet-I","EM",0.0319
554,"mScarlet-I","EX",0.6325
554,"miRFP670","EX",0.1767
555,"mTurquoise2","EM",0.187
555,"mNeonGreen","EM",0.2462
555,"mNeonGreen","EX",3e-04
555,"mScarlet-I","EM",0.0368
555,"mScarlet-I","EX",0.6534
555,"miRFP670","EX",0.183
556,"mTurquoise2","EM",0.18
556,"mNeonGreen","EM",0.2384
556,"mNeonGreen","EX",4e-04
556,"mScarlet-I","EM",0.0422
556,"mScarlet-I","EX",0.6766
556,"miRFP670","EX",0.1894
557,"mTurquoise2","EM",0.173
557,"mNeonGreen","EM",0.2307
557,"mNeonGreen","EX",2e-04
557,"mScarlet-I","EM",0.0481
557,"mScarlet-I","EX",0.7015
557,"miRFP670","EX",0.1957
558,"mTurquoise2","EM",0.166
558,"mNeonGreen","EM",0.2228
558,"mNeonGreen","EX",1e-04
558,"mScarlet-I","EM",0.0548
558,"mScarlet-I","EX",0.7282
558,"miRFP670","EX",0.2021
559,"mTurquoise2","EM",0.159
559,"mNeonGreen","EM",0.2153
559,"mNeonGreen","EX",1e-04
559,"mScarlet-I","EM",0.0625
559,"mScarlet-I","EX",0.7574
559,"miRFP670","EX",0.2094
560,"mTurquoise2","EM",0.153
560,"mNeonGreen","EM",0.2067
560,"mNeonGreen","EX",2e-04
560,"mScarlet-I","EM",0.0721
560,"mScarlet-I","EX",0.7882
560,"miRFP670","EX",0.217
561,"mTurquoise2","EM",0.147
561,"mNeonGreen","EM",0.1979
561,"mNeonGreen","EX",1e-04
561,"mScarlet-I","EM",0.0838
561,"mScarlet-I","EX",0.8193
561,"miRFP670","EX",0.2245
562,"mTurquoise2","EM",0.141
562,"mNeonGreen","EM",0.1888
562,"mNeonGreen","EX",2e-04
562,"mScarlet-I","EM",0.098
562,"mScarlet-I","EX",0.8502
562,"miRFP670","EX",0.232
563,"mTurquoise2","EM",0.135
563,"mNeonGreen","EM",0.18
563,"mNeonGreen","EX",0
563,"mScarlet-I","EM",0.1148
563,"mScarlet-I","EX",0.8803
563,"miRFP670","EX",0.2401
564,"mTurquoise2","EM",0.131
564,"mNeonGreen","EM",0.171
564,"mNeonGreen","EX",0
564,"mScarlet-I","EM",0.1343
564,"mScarlet-I","EX",0.9089
564,"miRFP670","EX",0.2482
565,"mTurquoise2","EM",0.125
565,"mNeonGreen","EM",0.1634
565,"mNeonGreen","EX",0
565,"mScarlet-I","EM",0.1569
565,"mScarlet-I","EX",0.9343
565,"miRFP670","EX",0.2564
566,"mTurquoise2","EM",0.122
566,"mNeonGreen","EM",0.1552
566,"mNeonGreen","EX",2e-04
566,"mScarlet-I","EM",0.1832
566,"mScarlet-I","EX",0.9558
566,"miRFP670","EX",0.2651
567,"mTurquoise2","EM",0.117
567,"mNeonGreen","EM",0.1477
567,"mNeonGreen","EX",0
567,"mScarlet-I","EM",0.2131
567,"mScarlet-I","EX",0.9732
567,"miRFP670","EX",0.2743
568,"mTurquoise2","EM",0.113
568,"mNeonGreen","EM",0.1408
568,"mNeonGreen","EX",0
568,"mScarlet-I","EM",0.2466
568,"mScarlet-I","EX",0.9877
568,"miRFP670","EX",0.2836
569,"mTurquoise2","EM",0.11
569,"mNeonGreen","EM",0.1334
569,"mNeonGreen","EX",0
569,"mScarlet-I","EM",0.2836
569,"mScarlet-I","EX",0.9974
569,"miRFP670","EX",0.2928
570,"mTurquoise2","EM",0.106
570,"mNeonGreen","EM",0.126
570,"mNeonGreen","EX",0
570,"mScarlet-I","EM",0.3237
570,"mScarlet-I","EX",1
570,"miRFP670","EX",0.302
571,"mTurquoise2","EM",0.103
571,"mNeonGreen","EM",0.1204
571,"mNeonGreen","EX",0
571,"mScarlet-I","EM",0.3663
571,"mScarlet-I","EX",0.996
571,"miRFP670","EX",0.3112
572,"mTurquoise2","EM",0.0993
572,"mNeonGreen","EM",0.1144
572,"mNeonGreen","EX",0
572,"mScarlet-I","EM",0.4111
572,"mScarlet-I","EX",0.987
572,"miRFP670","EX",0.3205
573,"mTurquoise2","EM",0.0967
573,"mNeonGreen","EM",0.1081
573,"mNeonGreen","EX",0
573,"mScarlet-I","EM",0.4579
573,"mScarlet-I","EX",0.9731
573,"miRFP670","EX",0.3311
574,"mTurquoise2","EM",0.0934
574,"mNeonGreen","EM",0.1026
574,"mNeonGreen","EX",0
574,"mScarlet-I","EM",0.506
574,"mScarlet-I","EX",0.9519
574,"miRFP670","EX",0.342
575,"mTurquoise2","EM",0.091
575,"mNeonGreen","EM",0.097
575,"mNeonGreen","EX",1e-04
575,"mScarlet-I","EM",0.5541
575,"mScarlet-I","EX",0.9236
575,"miRFP670","EX",0.3528
576,"mTurquoise2","EM",0.0883
576,"mNeonGreen","EM",0.0918
576,"mNeonGreen","EX",0
576,"mScarlet-I","EM",0.6015
576,"mScarlet-I","EX",0.8915
576,"miRFP670","EX",0.3637
577,"mTurquoise2","EM",0.0854
577,"mNeonGreen","EM",0.0868
577,"mNeonGreen","EX",0
577,"mScarlet-I","EM",0.6473
577,"mScarlet-I","EX",0.8548
577,"miRFP670","EX",0.3745
578,"mTurquoise2","EM",0.0832
578,"mNeonGreen","EM",0.0823
578,"mNeonGreen","EX",0
578,"mScarlet-I","EM",0.6912
578,"mScarlet-I","EX",0.8117
578,"miRFP670","EX",0.385
579,"mTurquoise2","EM",0.0809
579,"mNeonGreen","EM",0.0783
579,"mNeonGreen","EX",0
579,"mScarlet-I","EM",0.7332
579,"mScarlet-I","EX",0.7637
579,"miRFP670","EX",0.3952
580,"mTurquoise2","EM",0.0791
580,"mNeonGreen","EM",0.0744
580,"mNeonGreen","EX",0
580,"mScarlet-I","EM",0.7729
580,"mScarlet-I","EX",0.7129
580,"miRFP670","EX",0.4054
581,"mTurquoise2","EM",0.0768
581,"mNeonGreen","EM",0.0707
581,"mNeonGreen","EX",0
581,"mScarlet-I","EM",0.8101
581,"mScarlet-I","EX",0.6614
581,"miRFP670","EX",0.4174
582,"mTurquoise2","EM",0.0747
582,"mNeonGreen","EM",0.0673
582,"mNeonGreen","EX",0
582,"mScarlet-I","EM",0.8443
582,"mScarlet-I","EX",0.6109
582,"miRFP670","EX",0.4296
583,"mTurquoise2","EM",0.0728
583,"mNeonGreen","EM",0.0642
583,"mNeonGreen","EX",0
583,"mScarlet-I","EM",0.8754
583,"mScarlet-I","EX",0.5608
583,"miRFP670","EX",0.4411
584,"mTurquoise2","EM",0.0705
584,"mNeonGreen","EM",0.0616
584,"mNeonGreen","EX",0
584,"mScarlet-I","EM",0.903
584,"mScarlet-I","EX",0.5118
584,"miRFP670","EX",0.4506
585,"mTurquoise2","EM",0.0683
585,"mNeonGreen","EM",0.0591
585,"mNeonGreen","EX",0
585,"mScarlet-I","EM",0.9269
585,"mScarlet-I","EX",0.4658
585,"miRFP670","EX",0.4601
586,"mTurquoise2","EM",0.0668
586,"mNeonGreen","EM",0.0562
586,"mNeonGreen","EX",0
586,"mScarlet-I","EM",0.9475
586,"mScarlet-I","EX",0.4231
586,"miRFP670","EX",0.47
587,"mTurquoise2","EM",0.0647
587,"mNeonGreen","EM",0.0533
587,"mNeonGreen","EX",0
587,"mScarlet-I","EM",0.9646
587,"mScarlet-I","EX",0.3828
587,"miRFP670","EX",0.4802
588,"mTurquoise2","EM",0.0629
588,"mNeonGreen","EM",0.0512
588,"mNeonGreen","EX",0
588,"mScarlet-I","EM",0.978
588,"mScarlet-I","EX",0.3443
588,"miRFP670","EX",0.4904
589,"mTurquoise2","EM",0.0615
589,"mNeonGreen","EM",0.0488
589,"mNeonGreen","EX",0
589,"mScarlet-I","EM",0.9878
589,"mScarlet-I","EX",0.3092
589,"miRFP670","EX",0.4997
590,"mTurquoise2","EM",0.0599
590,"mNeonGreen","EM",0.0467
590,"mNeonGreen","EX",0
590,"mScarlet-I","EM",0.9945
590,"mScarlet-I","EX",0.2786
590,"miRFP670","EX",0.5089
591,"mTurquoise2","EM",0.0578
591,"mNeonGreen","EM",0.0449
591,"mNeonGreen","EX",0
591,"mScarlet-I","EM",0.9985
591,"mScarlet-I","EX",0.2499
591,"miRFP670","EX",0.5182
592,"mTurquoise2","EM",0.0557
592,"mNeonGreen","EM",0.0433
592,"mNeonGreen","EX",1e-04
592,"mScarlet-I","EM",1
592,"mScarlet-I","EX",0.2217
592,"miRFP670","EX",0.5269
593,"mTurquoise2","EM",0.0542
593,"mNeonGreen","EM",0.0416
593,"mNeonGreen","EX",0
593,"mScarlet-I","EM",0.9994
593,"mScarlet-I","EX",0.1959
593,"miRFP670","EX",0.5354
594,"mTurquoise2","EM",0.0527
594,"mNeonGreen","EM",0.0398
594,"mNeonGreen","EX",0
594,"mScarlet-I","EM",0.997
594,"mScarlet-I","EX",0.1731
594,"miRFP670","EX",0.5438
595,"mTurquoise2","EM",0.0511
595,"mNeonGreen","EM",0.0382
595,"mNeonGreen","EX",0
595,"mScarlet-I","EM",0.993
595,"mScarlet-I","EX",0.1531
595,"miRFP670","EX",0.5523
596,"mTurquoise2","EM",0.0501
596,"mNeonGreen","EM",0.0365
596,"mNeonGreen","EX",0
596,"mScarlet-I","EM",0.9876
596,"mScarlet-I","EX",0.1354
596,"miRFP670","EX",0.5604
597,"mTurquoise2","EM",0.048
597,"mNeonGreen","EM",0.0351
597,"mNeonGreen","EX",0
597,"mScarlet-I","EM",0.9809
597,"mScarlet-I","EX",0.1198
597,"miRFP670","EX",0.5682
598,"mTurquoise2","EM",0.0464
598,"mNeonGreen","EM",0.0336
598,"mNeonGreen","EX",0
598,"mScarlet-I","EM",0.973
598,"mScarlet-I","EX",0.1058
598,"miRFP670","EX",0.5761
599,"mTurquoise2","EM",0.045
599,"mNeonGreen","EM",0.0323
599,"mNeonGreen","EX",0
599,"mScarlet-I","EM",0.9643
599,"mScarlet-I","EX",0.0931
599,"miRFP670","EX",0.5839
600,"mTurquoise2","EM",0.0434
600,"mNeonGreen","EM",0.0312
600,"mNeonGreen","EX",0
600,"mScarlet-I","EM",0.9549
600,"mScarlet-I","EX",0.0817
600,"miRFP670","EX",0.5914
601,"mTurquoise2","EM",0.0416
601,"mNeonGreen","EM",0.0303
601,"mScarlet-I","EM",0.9449
601,"mScarlet-I","EX",0.0716
601,"miRFP670","EX",0.5986
602,"mTurquoise2","EM",0.0407
602,"mNeonGreen","EM",0.029
602,"mScarlet-I","EM",0.9344
602,"mScarlet-I","EX",0.0629
602,"miRFP670","EX",0.6059
603,"mTurquoise2","EM",0.0388
603,"mNeonGreen","EM",0.0279
603,"mScarlet-I","EM",0.9235
603,"mScarlet-I","EX",0.0556
603,"miRFP670","EX",0.6131
604,"mTurquoise2","EM",0.0376
604,"mNeonGreen","EM",0.0267
604,"mScarlet-I","EM",0.9123
604,"mScarlet-I","EX",0.0498
604,"miRFP670","EX",0.6206
605,"mTurquoise2","EM",0.0361
605,"mNeonGreen","EM",0.0256
605,"mScarlet-I","EM",0.9008
605,"mScarlet-I","EX",0.0449
605,"miRFP670","EX",0.6282
606,"mTurquoise2","EM",0.0348
606,"mNeonGreen","EM",0.0243
606,"mScarlet-I","EM",0.8888
606,"mScarlet-I","EX",0.0407
606,"miRFP670","EM",0.0098
606,"miRFP670","EX",0.6358
607,"mTurquoise2","EM",0.0338
607,"mNeonGreen","EM",0.0233
607,"mScarlet-I","EM",0.8764
607,"mScarlet-I","EX",0.0368
607,"miRFP670","EM",0.0111
607,"miRFP670","EX",0.6439
608,"mTurquoise2","EM",0.0328
608,"mNeonGreen","EM",0.0222
608,"mScarlet-I","EM",0.8637
608,"mScarlet-I","EX",0.0332
608,"miRFP670","EM",0.0124
608,"miRFP670","EX",0.6534
609,"mTurquoise2","EM",0.0319
609,"mNeonGreen","EM",0.0215
609,"mScarlet-I","EM",0.8507
609,"mScarlet-I","EX",0.0298
609,"miRFP670","EM",0.0137
609,"miRFP670","EX",0.6629
610,"mTurquoise2","EM",0.0304
610,"mNeonGreen","EM",0.0205
610,"mScarlet-I","EM",0.8375
610,"mScarlet-I","EX",0.0267
610,"miRFP670","EM",0.015
610,"miRFP670","EX",0.6742
611,"mTurquoise2","EM",0.0291
611,"mNeonGreen","EM",0.0197
611,"mScarlet-I","EM",0.8243
611,"mScarlet-I","EX",0.024
611,"miRFP670","EM",0.0163
611,"miRFP670","EX",0.6864
612,"mTurquoise2","EM",0.0283
612,"mNeonGreen","EM",0.0189
612,"mScarlet-I","EM",0.8113
612,"mScarlet-I","EX",0.0216
612,"miRFP670","EM",0.0176
612,"miRFP670","EX",0.6986
613,"mTurquoise2","EM",0.0275
613,"mNeonGreen","EM",0.0181
613,"mScarlet-I","EM",0.7986
613,"mScarlet-I","EX",0.0194
613,"miRFP670","EM",0.0189
613,"miRFP670","EX",0.7114
614,"mTurquoise2","EM",0.0265
614,"mNeonGreen","EM",0.0173
614,"mScarlet-I","EM",0.7866
614,"mScarlet-I","EX",0.0176
614,"miRFP670","EM",0.0202
614,"miRFP670","EX",0.7243
615,"mTurquoise2","EM",0.0258
615,"mNeonGreen","EM",0.0166
615,"mScarlet-I","EM",0.7751
615,"mScarlet-I","EX",0.016
615,"miRFP670","EM",0.0215
615,"miRFP670","EX",0.7376
616,"mTurquoise2","EM",0.0247
616,"mNeonGreen","EM",0.0157
616,"mScarlet-I","EM",0.7643
616,"mScarlet-I","EX",0.0146
616,"miRFP670","EM",0.0232
616,"miRFP670","EX",0.7518
617,"mTurquoise2","EM",0.0244
617,"mNeonGreen","EM",0.0149
617,"mScarlet-I","EM",0.7542
617,"mScarlet-I","EX",0.0133
617,"miRFP670","EM",0.0249
617,"miRFP670","EX",0.7661
618,"mTurquoise2","EM",0.0232
618,"mNeonGreen","EM",0.0143
618,"mScarlet-I","EM",0.7445
618,"mScarlet-I","EX",0.0122
618,"miRFP670","EM",0.0266
618,"miRFP670","EX",0.7799
619,"mTurquoise2","EM",0.0227
619,"mNeonGreen","EM",0.0136
619,"mScarlet-I","EM",0.7351
619,"mScarlet-I","EX",0.0112
619,"miRFP670","EM",0.0283
619,"miRFP670","EX",0.7934
620,"mTurquoise2","EM",0.0221
620,"mNeonGreen","EM",0.0128
620,"mScarlet-I","EM",0.7258
620,"mScarlet-I","EX",0.0103
620,"miRFP670","EM",0.03
620,"miRFP670","EX",0.807
621,"mTurquoise2","EM",0.0215
621,"mNeonGreen","EM",0.0122
621,"mScarlet-I","EM",0.7164
621,"mScarlet-I","EX",0.0094
621,"miRFP670","EM",0.0317
621,"miRFP670","EX",0.8179
622,"mTurquoise2","EM",0.0206
622,"mNeonGreen","EM",0.0117
622,"mScarlet-I","EM",0.7068
622,"mScarlet-I","EX",0.0087
622,"miRFP670","EM",0.0334
622,"miRFP670","EX",0.8287
623,"mTurquoise2","EM",0.0201
623,"mNeonGreen","EM",0.011
623,"mScarlet-I","EM",0.6968
623,"mScarlet-I","EX",0.008
623,"miRFP670","EM",0.0367
623,"miRFP670","EX",0.8405
624,"mTurquoise2","EM",0.0193
624,"mNeonGreen","EM",0.0105
624,"mScarlet-I","EM",0.6864
624,"mScarlet-I","EX",0.0074
624,"miRFP670","EM",0.0406
624,"miRFP670","EX",0.854
625,"mTurquoise2","EM",0.019
625,"mNeonGreen","EM",0.0101
625,"mScarlet-I","EM",0.6757
625,"mScarlet-I","EX",0.0069
625,"miRFP670","EM",0.0445
625,"miRFP670","EX",0.8676
626,"mTurquoise2","EM",0.0184
626,"mNeonGreen","EM",0.0095
626,"mScarlet-I","EM",0.6647
626,"mScarlet-I","EX",0.0064
626,"miRFP670","EM",0.0484
626,"miRFP670","EX",0.8794
627,"mTurquoise2","EM",0.0182
627,"mNeonGreen","EM",0.009
627,"mScarlet-I","EM",0.6535
627,"mScarlet-I","EX",0.0061
627,"miRFP670","EM",0.0523
627,"miRFP670","EX",0.8902
628,"mTurquoise2","EM",0.0178
628,"mNeonGreen","EM",0.0084
628,"mScarlet-I","EM",0.6423
628,"mScarlet-I","EX",0.0059
628,"miRFP670","EM",0.0569
628,"miRFP670","EX",0.9011
629,"mTurquoise2","EM",0.0171
629,"mNeonGreen","EM",0.0079
629,"mScarlet-I","EM",0.6312
629,"mScarlet-I","EX",0.0057
629,"miRFP670","EM",0.064
629,"miRFP670","EX",0.9126
630,"mTurquoise2","EM",0.0165
630,"mNeonGreen","EM",0.0075
630,"mScarlet-I","EM",0.6202
630,"mScarlet-I","EX",0.0057
630,"miRFP670","EM",0.0711
630,"miRFP670","EX",0.9241
631,"mTurquoise2","EM",0.016
631,"mNeonGreen","EM",0.0072
631,"mScarlet-I","EM",0.6094
631,"mScarlet-I","EX",0.0057
631,"miRFP670","EM",0.0782
631,"miRFP670","EX",0.9352
632,"mTurquoise2","EM",0.0158
632,"mNeonGreen","EM",0.0069
632,"mScarlet-I","EM",0.5988
632,"mScarlet-I","EX",0.0057
632,"miRFP670","EM",0.0861
632,"miRFP670","EX",0.9456
633,"mTurquoise2","EM",0.0156
633,"mNeonGreen","EM",0.0066
633,"mScarlet-I","EM",0.5885
633,"mScarlet-I","EX",0.0058
633,"miRFP670","EM",0.0962
633,"miRFP670","EX",0.9559
634,"mTurquoise2","EM",0.0151
634,"mNeonGreen","EM",0.0063
634,"mScarlet-I","EM",0.5784
634,"mScarlet-I","EX",0.0059
634,"miRFP670","EM",0.1063
634,"miRFP670","EX",0.9662
635,"mTurquoise2","EM",0.0147
635,"mNeonGreen","EM",0.0061
635,"mScarlet-I","EM",0.5685
635,"mScarlet-I","EX",0.006
635,"miRFP670","EM",0.1205
635,"miRFP670","EX",0.9732
636,"mTurquoise2","EM",0.0144
636,"mNeonGreen","EM",0.0058
636,"mScarlet-I","EM",0.5587
636,"mScarlet-I","EX",0.006
636,"miRFP670","EM",0.1352
636,"miRFP670","EX",0.9803
637,"mTurquoise2","EM",0.014
637,"mNeonGreen","EM",0.0056
637,"mScarlet-I","EM",0.549
637,"mScarlet-I","EX",0.006
637,"miRFP670","EM",0.1517
637,"miRFP670","EX",0.9873
638,"mTurquoise2","EM",0.0139
638,"mNeonGreen","EM",0.0054
638,"mScarlet-I","EM",0.5391
638,"mScarlet-I","EX",0.0058
638,"miRFP670","EM",0.1686
638,"miRFP670","EX",0.9907
639,"mTurquoise2","EM",0.0134
639,"mNeonGreen","EM",0.0051
639,"mScarlet-I","EM",0.529
639,"mScarlet-I","EX",0.0056
639,"miRFP670","EM",0.187
639,"miRFP670","EX",0.9923
640,"mTurquoise2","EM",0.0133
640,"mNeonGreen","EM",0.0048
640,"mScarlet-I","EM",0.5187
640,"mScarlet-I","EX",0.0053
640,"miRFP670","EM",0.2064
640,"miRFP670","EX",0.9939
641,"mTurquoise2","EM",0.0131
641,"mNeonGreen","EM",0.0047
641,"mScarlet-I","EM",0.5081
641,"mScarlet-I","EX",0.005
641,"miRFP670","EM",0.2278
641,"miRFP670","EX",0.9956
642,"mTurquoise2","EM",0.0126
642,"mNeonGreen","EM",0.0045
642,"mScarlet-I","EM",0.4972
642,"mScarlet-I","EX",0.0046
642,"miRFP670","EM",0.25
642,"miRFP670","EX",0.9972
643,"mTurquoise2","EM",0.0124
643,"mNeonGreen","EM",0.0042
643,"mScarlet-I","EM",0.4862
643,"mScarlet-I","EX",0.0041
643,"miRFP670","EM",0.2736
643,"miRFP670","EX",0.9988
644,"mTurquoise2","EM",0.0122
644,"mNeonGreen","EM",0.0041
644,"mScarlet-I","EM",0.475
644,"mScarlet-I","EX",0.0035
644,"miRFP670","EM",0.3008
644,"miRFP670","EX",1
645,"mTurquoise2","EM",0.0121
645,"mNeonGreen","EM",0.004
645,"mScarlet-I","EM",0.4639
645,"miRFP670","EM",0.3288
645,"miRFP670","EX",0.9923
646,"mTurquoise2","EM",0.0121
646,"mNeonGreen","EM",0.0037
646,"mScarlet-I","EM",0.453
646,"miRFP670","EM",0.3598
646,"miRFP670","EX",0.9845
647,"mTurquoise2","EM",0.0116
647,"mNeonGreen","EM",0.0035
647,"mScarlet-I","EM",0.4424
647,"miRFP670","EM",0.3895
647,"miRFP670","EX",0.9768
648,"mTurquoise2","EM",0.0115
648,"mNeonGreen","EM",0.0033
648,"mScarlet-I","EM",0.4321
648,"miRFP670","EM",0.4199
648,"miRFP670","EX",0.9685
649,"mTurquoise2","EM",0.011
649,"mNeonGreen","EM",0.0031
649,"mScarlet-I","EM",0.4223
649,"miRFP670","EM",0.453
649,"miRFP670","EX",0.9548
650,"mTurquoise2","EM",0.0108
650,"mNeonGreen","EM",0.003
650,"mScarlet-I","EM",0.4128
650,"miRFP670","EM",0.4862
650,"miRFP670","EX",0.9412
651,"mNeonGreen","EM",0.0029
651,"mScarlet-I","EM",0.4036
651,"miRFP670","EM",0.5235
651,"miRFP670","EX",0.923
652,"mNeonGreen","EM",0.0028
652,"mScarlet-I","EM",0.3947
652,"miRFP670","EM",0.5579
652,"miRFP670","EX",0.8992
653,"mNeonGreen","EM",0.0027
653,"mScarlet-I","EM",0.3858
653,"miRFP670","EM",0.5977
653,"miRFP670","EX",0.878
654,"mNeonGreen","EM",0.0026
654,"mScarlet-I","EM",0.377
654,"miRFP670","EM",0.6335
654,"miRFP670","EX",0.8597
655,"mNeonGreen","EM",0.0025
655,"mScarlet-I","EM",0.3681
655,"miRFP670","EM",0.6715
655,"miRFP670","EX",0.826
656,"mNeonGreen","EM",0.0025
656,"mScarlet-I","EM",0.3592
656,"miRFP670","EM",0.7031
656,"miRFP670","EX",0.8018
657,"mNeonGreen","EM",0.0023
657,"mScarlet-I","EM",0.3503
657,"miRFP670","EM",0.7415
657,"miRFP670","EX",0.7783
658,"mNeonGreen","EM",0.0022
658,"mScarlet-I","EM",0.3415
658,"miRFP670","EM",0.7758
658,"miRFP670","EX",0.7493
659,"mNeonGreen","EM",0.0022
659,"mScarlet-I","EM",0.3328
659,"miRFP670","EM",0.806
659,"miRFP670","EX",0.7149
660,"mNeonGreen","EM",0.0021
660,"mScarlet-I","EM",0.3242
660,"miRFP670","EM",0.8343
660,"miRFP670","EX",0.6867
661,"mNeonGreen","EM",0.0019
661,"mScarlet-I","EM",0.3158
661,"miRFP670","EM",0.8654
661,"miRFP670","EX",0.6559
662,"mNeonGreen","EM",0.0019
662,"mScarlet-I","EM",0.3076
662,"miRFP670","EM",0.8911
662,"miRFP670","EX",0.6244
663,"mNeonGreen","EM",0.0019
663,"mScarlet-I","EM",0.2996
663,"miRFP670","EM",0.9161
663,"miRFP670","EX",0.5969
664,"mNeonGreen","EM",0.0018
664,"mScarlet-I","EM",0.2918
664,"miRFP670","EM",0.9355
664,"miRFP670","EX",0.5641
665,"mNeonGreen","EM",0.0018
665,"mScarlet-I","EM",0.2842
665,"miRFP670","EM",0.9541
665,"miRFP670","EX",0.531
666,"mNeonGreen","EM",0.0017
666,"mScarlet-I","EM",0.2767
666,"miRFP670","EM",0.9686
666,"miRFP670","EX",0.498
667,"mNeonGreen","EM",0.0016
667,"mScarlet-I","EM",0.2694
667,"miRFP670","EM",0.9831
667,"miRFP670","EX",0.465
668,"mNeonGreen","EM",0.0015
668,"mScarlet-I","EM",0.2623
668,"miRFP670","EM",0.9897
668,"miRFP670","EX",0.4375
669,"mNeonGreen","EM",0.0014
669,"mScarlet-I","EM",0.2553
669,"miRFP670","EM",0.9948
669,"miRFP670","EX",0.4061
670,"mNeonGreen","EM",0.0013
670,"mScarlet-I","EM",0.2484
670,"miRFP670","EM",1
670,"miRFP670","EX",0.3774
671,"mNeonGreen","EM",0.0013
671,"mScarlet-I","EM",0.2416
671,"miRFP670","EM",0.9995
671,"miRFP670","EX",0.3551
672,"mNeonGreen","EM",0.0012
672,"mScarlet-I","EM",0.2351
672,"miRFP670","EM",0.9951
672,"miRFP670","EX",0.329
673,"mNeonGreen","EM",0.0012
673,"mScarlet-I","EM",0.2287
673,"miRFP670","EM",0.9907
673,"miRFP670","EX",0.306
674,"mNeonGreen","EM",0.0011
674,"mScarlet-I","EM",0.2224
674,"miRFP670","EM",0.984
674,"miRFP670","EX",0.2841
675,"mNeonGreen","EM",0.0011
675,"mScarlet-I","EM",0.2164
675,"miRFP670","EM",0.9728
675,"miRFP670","EX",0.2625
676,"mNeonGreen","EM",0.0011
676,"mScarlet-I","EM",0.2105
676,"miRFP670","EM",0.9616
676,"miRFP670","EX",0.2433
677,"mNeonGreen","EM",0.001
677,"mScarlet-I","EM",0.2047
677,"miRFP670","EM",0.9487
677,"miRFP670","EX",0.2241
678,"mNeonGreen","EM",0.001
678,"mScarlet-I","EM",0.1991
678,"miRFP670","EM",0.9342
678,"miRFP670","EX",0.2049
679,"mNeonGreen","EM",0.0011
679,"mScarlet-I","EM",0.1937
679,"miRFP670","EM",0.9191
679,"miRFP670","EX",0.1903
680,"mNeonGreen","EM",0.001
680,"mScarlet-I","EM",0.1884
680,"miRFP670","EM",0.9016
680,"miRFP670","EX",0.1766
681,"mNeonGreen","EM",9e-04
681,"mScarlet-I","EM",0.1832
681,"miRFP670","EM",0.8839
681,"miRFP670","EX",0.1635
682,"mNeonGreen","EM",9e-04
682,"mScarlet-I","EM",0.1781
