"Experimental day","Replicate no.","Neutrophil no.","Batch no. neutrophils","Stage","dF/F0","Calcium (uM)","Replicate","n","mean","n_rep","mean_rep","sd_rep","sem","95%CI_lo","95%CI_hi"
1,1,1,1,"before","9.2163432424556407E-3",0.0487627086871994,"1",38,0.0305244689194488,4,0.0300924670910581,0.00414437563673567,0.00239275638949227,0.0224776483598745,0.0377072858222418
1,1,1,1,"before","-1.4197021394130101E-2",0.0353470629391035,"1",38,0.0305244689194488,4,0.0300924670910581,0.00414437563673567,0.00239275638949227,0.0224776483598745,0.0377072858222418
1,1,1,1,"before","4.9806781516745597E-3",0.0516774279839055,"1",38,0.0305244689194488,4,0.0300924670910581,0.00414437563673567,0.00239275638949227,0.0224776483598745,0.0377072858222418
1,1,1,1,"before","7.5848029984870897E-3",0.051209696020295,"1",38,0.0305244689194488,4,0.0300924670910581,0.00414437563673567,0.00239275638949227,0.0224776483598745,0.0377072858222418
1,1,1,1,"before","1.3300337728165501E-2",0.0402405503847345,"1",38,0.0305244689194488,4,0.0300924670910581,0.00414437563673567,0.00239275638949227,0.0224776483598745,0.0377072858222418
1,1,1,1,"before","5.1152637484452399E-3",0.0354906742459106,"1",38,0.0305244689194488,4,0.0300924670910581,0.00414437563673567,0.00239275638949227,0.0224776483598745,0.0377072858222418
1,1,1,1,"before","9.1788319195922792E-3",0.035493813033282,"1",38,0.0305244689194488,4,0.0300924670910581,0.00414437563673567,0.00239275638949227,0.0224776483598745,0.0377072858222418
1,1,1,1,"before","5.6613937367743002E-3",0.0403512512072199,"1",38,0.0305244689194488,4,0.0300924670910581,0.00414437563673567,0.00239275638949227,0.0224776483598745,0.0377072858222418
1,1,1,1,"before","-1.03659842600327E-2",0.0334790516208373,"1",38,0.0305244689194488,4,0.0300924670910581,0.00414437563673567,0.00239275638949227,0.0224776483598745,0.0377072858222418
1,1,1,1,"before","-2.6095853435387499E-2",0.0399980877213024,"1",38,0.0305244689194488,4,0.0300924670910581,0.00414437563673567,0.00239275638949227,0.0224776483598745,0.0377072858222418
1,1,1,1,"before","-2.10492617781073E-2",0.0435788427744807,"1",38,0.0305244689194488,4,0.0300924670910581,0.00414437563673567,0.00239275638949227,0.0224776483598745,0.0377072858222418
1,1,1,1,"before","-1.99496090857781E-2",0.040906155910691,"1",38,0.0305244689194488,4,0.0300924670910581,0.00414437563673567,0.00239275638949227,0.0224776483598745,0.0377072858222418
1,1,1,1,"before","-1.9477521330166302E-2",0.0439726713321867,"1",38,0.0305244689194488,4,0.0300924670910581,0.00414437563673567,0.00239275638949227,0.0224776483598745,0.0377072858222418
1,1,1,1,"before","-2.2654145842418701E-2",0.039810169325592,"1",38,0.0305244689194488,4,0.0300924670910581,0.00414437563673567,0.00239275638949227,0.0224776483598745,0.0377072858222418
1,1,1,1,"before","-2.6066110930257302E-2",0.0394109486234536,"1",38,0.0305244689194488,4,0.0300924670910581,0.00414437563673567,0.00239275638949227,0.0224776483598745,0.0377072858222418
1,1,1,1,"before","-1.55220239922353E-2",0.0447313842306007,"1",38,0.0305244689194488,4,0.0300924670910581,0.00414437563673567,0.00239275638949227,0.0224776483598745,0.0377072858222418
1,1,1,1,"before","-1.7199572399850201E-2",0.0363932908421169,"1",38,0.0305244689194488,4,0.0300924670910581,0.00414437563673567,0.00239275638949227,0.0224776483598745,0.0377072858222418
1,1,1,1,"before","-2.9048439865128901E-2",0.0332955779506057,"1",38,0.0305244689194488,4,0.0300924670910581,0.00414437563673567,0.00239275638949227,0.0224776483598745,0.0377072858222418
1,1,1,1,"crawling","-5.4930104433621098E-2",0.0364135336777832,"1",7,0.0295565043677587,4,0.0317360323323344,0.00338681257062597,0.00195537714934571,0.0255131495479629,0.0379589151167058
1,1,1,1,"crawling","-5.9584599187673198E-2",0.045937590905369,"1",7,0.0295565043677587,4,0.0317360323323344,0.00338681257062597,0.00195537714934571,0.0255131495479629,0.0379589151167058
1,1,1,1,"crawling","-8.7726662870639197E-2",0.0417170247130788,"1",7,0.0295565043677587,4,0.0317360323323344,0.00338681257062597,0.00195537714934571,0.0255131495479629,0.0379589151167058
1,1,1,1,"diapedesis","-7.1416678811270895E-2",0.0361251157105892,"1",2,0.0284159805150546,4,0.0309196152531278,0.00861262894522535,0.00497250363995622,0.0150948894161394,0.0467443410901163
1,1,1,1,"post-diapedesis","-9.2276973859369796E-2",0.0458536967178199,"1",39,0.0331980419434535,4,0.0345496919402026,0.00550891047066277,0.0031805709431787,0.0244276956933909,0.0446716881870144
1,1,1,1,"post-diapedesis","-7.8515535763913097E-2",0.0413109656719557,"1",39,0.0331980419434535,4,0.0345496919402026,0.00550891047066277,0.0031805709431787,0.0244276956933909,0.0446716881870144
1,1,1,1,"post-diapedesis","-2.8511648342730799E-2",0.0288725844929397,"1",39,0.0331980419434535,4,0.0345496919402026,0.00550891047066277,0.0031805709431787,0.0244276956933909,0.0446716881870144
1,1,1,1,"post-diapedesis","-7.5059000069620796E-3",0.0492576807759406,"1",39,0.0331980419434535,4,0.0345496919402026,0.00550891047066277,0.0031805709431787,0.0244276956933909,0.0446716881870144
1,1,1,1,"post-diapedesis","2.4793592191977E-2",0.0315100554548228,"1",39,0.0331980419434535,4,0.0345496919402026,0.00550891047066277,0.0031805709431787,0.0244276956933909,0.0446716881870144
1,1,1,1,"post-diapedesis","7.9047577683727097E-2",0.0346908088426101,"1",39,0.0331980419434535,4,0.0345496919402026,0.00550891047066277,0.0031805709431787,0.0244276956933909,0.0446716881870144
