"System","Order","YFP","CFP"
" Dual-promotor","YFP first",766.83,852.05
" Dual-promotor","YFP first",770.6,477.24
" Dual-promotor","YFP first",771.62,917.98
" Dual-promotor","YFP first",774.32,517.39
" Dual-promotor","YFP first",781.86,625.03
" Dual-promotor","YFP first",783.91,626.07
" Dual-promotor","YFP first",793.18,1442.2
" Dual-promotor","YFP first",810.36,1857.6
" Dual-promotor","YFP first",814.65,1474.4
" Dual-promotor","YFP first",814.94,1256.7
" Dual-promotor","YFP first",822.2,1449.8
" Dual-promotor","YFP first",830.26,1213.8
" Dual-promotor","YFP first",835.13,1538.3
" Dual-promotor","YFP first",843.3,822.75
" Dual-promotor","YFP first",843.97,976.07
" Dual-promotor","YFP first",880.95,1579.5
" Dual-promotor","YFP first",889.89,1096.9
" Dual-promotor","YFP first",894.88,638.7
" Dual-promotor","YFP first",895.3,1700.1
" Dual-promotor","YFP first",895.73,643.07
" Dual-promotor","YFP first",905.1,785.27
" Dual-promotor","YFP first",909.9,2031.6
" Dual-promotor","YFP first",914.53,673.84
" Dual-promotor","YFP first",916.15,1270.1
" Dual-promotor","YFP first",916.95,986.22
" Dual-promotor","YFP first",917.54,780.37
" Dual-promotor","YFP first",926.94,1921.2
" Dual-promotor","YFP first",943.16,694.48
" Dual-promotor","YFP first",956.2,918.84
" Dual-promotor","YFP first",958.89,921.95
" Dual-promotor","YFP first",964.65,539.06
" Dual-promotor","YFP first",978.09,1594
" Dual-promotor","YFP first",981.55,1723.2
" Dual-promotor","YFP first",988.12,872.76
" Dual-promotor","YFP first",993.94,1398.2
" Dual-promotor","YFP first",996.71,941.75
" Dual-promotor","YFP first",1012.9,1848.9
" Dual-promotor","YFP first",1016.1,1212
" Dual-promotor","YFP first",1034.8,1222.6
" Dual-promotor","YFP first",1050.5,2035.1
" Dual-promotor","YFP first",1055.3,1191.7
" Dual-promotor","YFP first",1063.2,1899.3
" Dual-promotor","YFP first",1065.7,1403.5
" Dual-promotor","YFP first",1082.9,1153.2
" Dual-promotor","YFP first",1094.1,1291.5
" Dual-promotor","YFP first",1100.8,1803.7
" Dual-promotor","YFP first",1106.3,1545.4
" Dual-promotor","YFP first",1107.1,1367
" Dual-promotor","YFP first",1125.2,399.32
" Dual-promotor","YFP first",1128.2,2118.3
" Dual-promotor","YFP first",1134.2,1002.4
" Dual-promotor","YFP first",1135.6,1231.3
" Dual-promotor","YFP first",1136.5,955.63
" Dual-promotor","YFP first",1149.3,1530.8
" Dual-promotor","YFP first",1162.4,1566.2
" Dual-promotor","YFP first",1168,1470
" Dual-promotor","YFP first",1175.4,1225.5
" Dual-promotor","YFP first",1188.6,857.41
" Dual-promotor","YFP first",1202.2,1323.2
" Dual-promotor","YFP first",1209.7,537.04
" Dual-promotor","YFP first",1227.9,925.16
" Dual-promotor","YFP first",1239.9,1371.5
" Dual-promotor","YFP first",1286.5,1087.3
" Dual-promotor","YFP first",1293.4,1429.4
" Dual-promotor","YFP first",1297.7,1558.1
" Dual-promotor","YFP first",1305.2,1336.3
" Dual-promotor","YFP first",1310.9,423.65
" Dual-promotor","YFP first",1317.8,1396.9
" Dual-promotor","YFP first",1324.4,1600.8
" Dual-promotor","YFP first",1337.1,592.1
" Dual-promotor","YFP first",1338.9,1375.9
" Dual-promotor","YFP first",1344.3,1715.4
" Dual-promotor","YFP first",1346.5,1403.4
" Dual-promotor","YFP first",1360.8,1300.9
" Dual-promotor","YFP first",1365.8,1680.3
" Dual-promotor","YFP first",1367.5,1921.6
" Dual-promotor","YFP first",1403.8,1688.6
" Dual-promotor","YFP first",1411.7,974.78
" Dual-promotor","YFP first",1428.2,1848.5
" Dual-promotor","YFP first",1443.2,1934.8
" Dual-promotor","YFP first",1464.4,2718.6
" Dual-promotor","YFP first",1467.1,1895.3
" Dual-promotor","YFP first",1510.8,1483.1
" Dual-promotor","YFP first",1523.7,2290.1
" Dual-promotor","YFP first",1525.6,2043.3
" Dual-promotor","YFP first",1540.2,1938.9
" Dual-promotor","YFP first",1542.9,1609.1
" Dual-promotor","YFP first",1559.1,1728.3
" Dual-promotor","YFP first",1571.8,2556.4
" Dual-promotor","YFP first",1585.7,1235.6
" Dual-promotor","YFP first",1645.5,2326.3
" Dual-promotor","YFP first",1669,1596.8
" Dual-promotor","YFP first",1682.9,1441.3
" Dual-promotor","YFP first",1704.9,1737.7
" Dual-promotor","YFP first",1749.5,1244.2
" Dual-promotor","YFP first",1788.2,2044
" Dual-promotor","YFP first",1847.3,1422.9
" Dual-promotor","YFP first",1863.7,3020.1
" Dual-promotor","YFP first",1908,3145.9
" Dual-promotor","YFP first",1934.2,1530.9
" Dual-promotor","YFP first",1999.3,1763.4
" Dual-promotor","YFP first",2117.2,2007.1
" Dual-promotor","YFP first",2130,2280.7
" Dual-promotor","YFP first",2594.7,3667.1
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
" Dual-promotor","YFP first",NA,NA
"2A-peptide","CFP first",107.36,124.57
"2A-peptide","CFP first",129.05,158.97
"2A-peptide","CFP first",132.55,160.52
"2A-peptide","CFP first",140.84,166.7
"2A-peptide","CFP first",144.45,166.72
"2A-peptide","CFP first",152.47,146.71
"2A-peptide","CFP first",164.21,177.82
"2A-peptide","CFP first",175.01,234.58
"2A-peptide","CFP first",175.97,192.59
"2A-peptide","CFP first",183.3,259.54
"2A-peptide","CFP first",186.41,213.69
"2A-peptide","CFP first",187.97,232.98
"2A-peptide","CFP first",198.52,249.92
"2A-peptide","CFP first",210.8,127.98
"2A-peptide","CFP first",216.83,247.34
"2A-peptide","CFP first",220.84,261.04
"2A-peptide","CFP first",224,223.65
"2A-peptide","CFP first",231.32,284.91
"2A-peptide","CFP first",235.2,275.96
"2A-peptide","CFP first",236.59,282.64
"2A-peptide","CFP first",240.34,260.99
"2A-peptide","CFP first",240.76,284.44
"2A-peptide","CFP first",242.48,239.54
"2A-peptide","CFP first",255.26,319.19
"2A-peptide","CFP first",258.49,306.62
"2A-peptide","CFP first",261.89,296.12
"2A-peptide","CFP first",263.6,330.54
"2A-peptide","CFP first",263.82,300.81
"2A-peptide","CFP first",274.2,346.22
"2A-peptide","CFP first",283.56,346.56
"2A-peptide","CFP first",286.56,339.02
"2A-peptide","CFP first",294.33,333.95
"2A-peptide","CFP first",297.92,316.65
"2A-peptide","CFP first",310.65,321.64
"2A-peptide","CFP first",316.8,373.92
"2A-peptide","CFP first",317.25,435.57
"2A-peptide","CFP first",319.38,325.71
"2A-peptide","CFP first",322.82,354.54
"2A-peptide","CFP first",327.15,427.41
"2A-peptide","CFP first",327.81,338.74
"2A-peptide","CFP first",329.61,338.62
"2A-peptide","CFP first",331.77,408.3
"2A-peptide","CFP first",333.34,424.96
"2A-peptide","CFP first",336.25,287.87
"2A-peptide","CFP first",342.42,408.14
"2A-peptide","CFP first",343.87,459.37
"2A-peptide","CFP first",348.68,408.22
"2A-peptide","CFP first",351.12,382.79
"2A-peptide","CFP first",354.64,422.86
"2A-peptide","CFP first",354.99,495.03
"2A-peptide","CFP first",356.4,376.55
"2A-peptide","CFP first",359.34,399.52
"2A-peptide","CFP first",366.86,494.7
"2A-peptide","CFP first",368.78,419.74
"2A-peptide","CFP first",371.53,451.83
"2A-peptide","CFP first",372.5,370.19
"2A-peptide","CFP first",377.86,434.89
"2A-peptide","CFP first",380,455.85
"2A-peptide","CFP first",380.03,520.84
"2A-peptide","CFP first",380.57,446.02
"2A-peptide","CFP first",381.08,471
"2A-peptide","CFP first",382.15,511.4
"2A-peptide","CFP first",382.61,560.33
"2A-peptide","CFP first",383.15,494.76
"2A-peptide","CFP first",384.25,394.25
"2A-peptide","CFP first",388.92,570.89
"2A-peptide","CFP first",390.13,466.64
"2A-peptide","CFP first",391.41,510.61
"2A-peptide","CFP first",392.59,397.12
"2A-peptide","CFP first",396.76,470.3
"2A-peptide","CFP first",398.47,441.04
"2A-peptide","CFP first",404.56,600.91
"2A-peptide","CFP first",408.99,547.79
