"","day","month","year","Time","Group","Analysis","S_phase"
"110",15,3,2022,"12:39:50","B","automated",10.11
"111",15,3,2022,"13:10:44","C","manual",30
"112",15,3,2022,"13:10:44","C","automated",36
"113",15,3,2022,"13:10:57","A","manual",30
"114",15,3,2022,"13:10:57","A","automated",36
"115",15,3,2022,"14:01:07","A","manual",38.7
"116",15,3,2022,"14:01:07","A","automated",41.8
"117",15,3,2022,"16:58:58","A","manual",46.55
"118",15,3,2022,"16:58:58","A","automated",30.86
"119",15,3,2022,"17:13:16","A","manual",38
"120",15,3,2022,"17:13:16","A","automated",33
"121",15,3,2022,"18:28:04","A","manual",41.5
"122",15,3,2022,"18:28:04","A","automated",43
"123",15,3,2022,"19:33:58","A","manual",39.8
"124",15,3,2022,"19:33:58","A","automated",42.7
"125",15,3,2022,"21:45:49","B","manual",39
"126",15,3,2022,"21:45:49","B","automated",35.4
"127",15,3,2022,"22:23:20","B","manual",38.9
"128",15,3,2022,"22:23:20","B","automated",41.3
"129",15,3,2022,"22:36:46","A","manual",34.9
"130",15,3,2022,"22:36:46","A","automated",43.6
"131",15,3,2022,"23:21:46","B","manual",40
"132",15,3,2022,"23:21:46","B","automated",59.9
"133",15,3,2022,"23:39:57","A","manual",35.2
"134",15,3,2022,"23:39:57","A","automated",35.5
"135",24,3,2022,"12:39:26","C","manual",34.4
"136",24,3,2022,"12:39:26","C","automated",33.3
"137",24,3,2022,"13:21:22","C","manual",41.1
"138",24,3,2022,"13:21:22","C","automated",38.3
"139",24,3,2022,"13:26:35","D","manual",39.5
"140",24,3,2022,"13:26:35","D","automated",44.4
"141",24,3,2022,"14:12:27","C","manual",43
"142",24,3,2022,"14:12:27","C","automated",43
"143",25,3,2022,"12:17:56","D","manual",44
"144",25,3,2022,"12:17:56","D","automated",42
"145",25,3,2022,"13:05:20","C","manual",43.5
"146",25,3,2022,"13:05:20","C","automated",46.2
"147",25,3,2022,"14:00:39","C","manual",49.66
"148",25,3,2022,"14:00:39","C","automated",47.37
"149",25,3,2022,"22:04:14","C","manual",44
"150",25,3,2022,"22:04:14","C","automated",45
"151",26,3,2022,"19:50:31","C","manual",43.62
"152",26,3,2022,"19:50:31","C","automated",40.71
"153",26,3,2022,"20:52:35","D","manual",60.43
"154",26,3,2022,"20:52:35","D","automated",37.5
"155",27,3,2022,"15:20:55","D","manual",27.9
"156",27,3,2022,"15:20:55","D","automated",30.2
"157",27,3,2022,"15:33:44","D","manual",28
"158",27,3,2022,"15:33:44","D","automated",38.9
"159",27,3,2022,"15:50:17","C","manual",50
"160",27,3,2022,"15:50:17","C","automated",52
"161",27,3,2022,"18:11:04","D","manual",32
"162",27,3,2022,"18:11:04","D","automated",15
"163",27,3,2022,"22:45:32","D","manual",59
"164",27,3,2022,"22:45:32","D","automated",61
"165",27,3,2022,"23:02:38","C","manual",29
"166",27,3,2022,"23:02:38","C","automated",34
"167",27,3,2022,"23:03:58","D","manual",40.77
"168",27,3,2022,"23:03:58","D","automated",27.92
"169",28,3,2022,"0:02:53","C","manual",43.9
"170",28,3,2022,"0:02:53","C","automated",45.1
"171",12,3,2023,"21:44:11","A","manual",47
"172",12,3,2023,"21:44:11","A","automated",46
"173",13,3,2023,"12:13:38","A","manual",32.2
"174",13,3,2023,"12:13:38","A","automated",33.1
"175",13,3,2023,"12:24:58","A","manual",31
"176",13,3,2023,"12:24:58","A","automated",32
"177",13,3,2023,"14:47:19","A","manual",39.7
"178",13,3,2023,"14:47:19","A","automated",42.6
"179",13,3,2023,"16:07:58","A","manual",23.3
"180",13,3,2023,"16:07:58","A","automated",21.7
"181",14,3,2023,"13:26:16","A","manual",41
"182",14,3,2023,"13:26:16","A","automated",55
"183",14,3,2023,"14:08:26","B","manual",27
"184",14,3,2023,"14:08:26","B","automated",26
"185",14,3,2023,"14:31:15","B","manual",30.6
"186",14,3,2023,"14:31:15","B","automated",28.9
"187",14,3,2023,"15:51:08","A","manual",68.6
"188",14,3,2023,"15:51:08","A","automated",61
"189",14,3,2023,"17:37:26","A","manual",42
"190",14,3,2023,"17:37:26","A","automated",44.5
"191",14,3,2023,"18:24:11","B","manual",39.6
"192",14,3,2023,"18:24:11","B","automated",47.9
"193",14,3,2023,"18:45:59","B","manual",35.9
