 ,Label,Mean,Slice
66,YFP:Cell-02:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t17,233.46,17
67,YFP:Cell-03:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t17,274.50,17
68,YFP:Cell-04:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t17,310.17,17
69,YFP:Cell-01:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t18,193.73,18
70,YFP:Cell-02:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t18,228.09,18
71,YFP:Cell-03:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t18,270.15,18
72,YFP:Cell-04:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t18,304.05,18
73,YFP:Cell-01:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t19,180.36,19
74,YFP:Cell-02:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t19,219.52,19
75,YFP:Cell-03:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t19,260.77,19
76,YFP:Cell-04:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t19,292.60,19
77,YFP:Cell-01:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t20,172.31,20
78,YFP:Cell-02:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t20,210.74,20
79,YFP:Cell-03:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t20,248.07,20
80,YFP:Cell-04:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t20,278.38,20
81,YFP:Cell-01:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t21,178.02,21
82,YFP:Cell-02:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t21,207.17,21
83,YFP:Cell-03:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t21,234.34,21
84,YFP:Cell-04:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t21,266.80,21
85,YFP:Cell-01:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t22,187.79,22
86,YFP:Cell-02:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t22,210.40,22
87,YFP:Cell-03:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t22,232.80,22
88,YFP:Cell-04:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t22,261.02,22
89,YFP:Cell-01:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t23,193.35,23
90,YFP:Cell-02:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t23,215.97,23
91,YFP:Cell-03:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t23,239.89,23
92,YFP:Cell-04:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t23,266.31,23
93,YFP:Cell-01:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t24,190.06,24
94,YFP:Cell-02:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t24,218.27,24
95,YFP:Cell-03:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t24,247.13,24
96,YFP:Cell-04:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t24,272.58,24
97,YFP:Cell-01:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t25,184.14,25
98,YFP:Cell-02:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t25,220.73,25
99,YFP:Cell-03:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t25,251.04,25
100,YFP:Cell-04:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t25,276.83,25
101,YFP:Cell-01:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t26,176.14,26
102,YFP:Cell-02:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t26,218.49,26
103,YFP:Cell-03:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t26,249.63,26
104,YFP:Cell-04:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t26,281.30,26
105,YFP:Cell-01:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t27,177.01,27
106,YFP:Cell-02:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t27,216.34,27
107,YFP:Cell-03:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t27,245.06,27
108,YFP:Cell-04:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t27,281.87,27
109,YFP:Cell-01:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t28,187.03,28
110,YFP:Cell-02:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t28,213.69,28
111,YFP:Cell-03:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t28,240.40,28
112,YFP:Cell-04:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t28,276.77,28
113,YFP:Cell-01:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t29,193.16,29
114,YFP:Cell-02:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t29,218.83,29
115,YFP:Cell-03:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t29,240.87,29
116,YFP:Cell-04:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t29,272.68,29
117,YFP:Cell-01:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t30,191.95,30
118,YFP:Cell-02:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t30,223.13,30
119,YFP:Cell-03:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t30,242.45,30
120,YFP:Cell-04:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t30,269.38,30
121,YFP:Cell-01:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t31,185.93,31
