BCY_YFP,BCY_CFP,BYC_YFP,BYC_CFP,TCY_YFP,TCY_CFP,TYC_YFP,TYC_CFP,IYC_YFP,IYC_CFP,ICY_YFP,ICY_CFP
376.46,765.47,376.46,765.47,384.25,394.25,405.22,487.74,904.81,453.09,382.29,1880.1
378.21,306.46,378.21,306.46,388.92,570.89,409.57,508.97,906.48,398.33,330.09,1919.1
382.25,679.47,382.25,679.47,390.13,466.64,409.8,468.95,909.17,331.11,348.43,1921.4
385.85,567.4,385.85,567.4,391.41,510.61,410.48,466.86,911.05,395.8,455.07,1929
389.45,671.49,389.45,671.49,392.59,397.12,411.59,465.32,912.62,395.73,448.94,1931.1
391,372.2,391,372.2,396.76,470.3,413.23,454.54,916.97,408.92,308.93,2020.8
391.51,772.06,391.51,772.06,398.47,441.04,413.27,561.77,919.54,272.87,480.78,2032.4
391.93,314.97,391.93,314.97,404.56,600.91,413.83,474.08,924.17,315.89,445.1,2043.6
392.44,806.39,392.44,806.39,408.99,547.79,413.96,497.18,926.31,461.61,309.78,2056.7
392.62,204.29,392.62,204.29,415.08,434.01,428.81,482.04,927.62,447.9,517.32,2064
392.89,529.39,392.89,529.39,415.98,486.58,429.15,501.8,933.23,414.35,492.52,2078.2
394.22,565.63,394.22,565.63,419.29,485.6,429.79,490.75,934.52,229.93,433.16,2079.8
396.57,310.25,396.57,310.25,427.1,578.11,431.26,476.78,938.42,350.02,474.46,2083.9
402.1,890.66,402.1,890.66,428.11,514.22,431.61,463.95,948.95,378.98,520.65,2088.3
402.16,619.68,402.16,619.68,430.09,447.3,433.45,536.72,949.29,355.35,510.15,2091.1
406.17,197.38,406.17,197.38,431.58,661.33,438.72,431.53,950.57,287.24,579.64,2098.3
406.78,637.04,406.78,637.04,432.14,609.89,439.29,532.75,958.54,324.53,361.33,2100.6
409.09,888.94,409.09,888.94,432.38,431.97,440.14,484,959.63,341.52,561.77,2113
410.3,787.35,410.3,787.35,433.36,614.48,440.7,470.52,961.47,301.03,512.26,2118.1
411.02,591.33,411.02,591.33,436.59,575.4,441.92,507.01,963.23,366.58,337.35,2121.5
412.47,533.11,412.47,533.11,438.97,536.13,442.21,500.68,964.15,220.04,512.09,2123.7
413.79,968.99,413.79,968.99,439.89,559.46,444.2,510.45,974.06,451.82,290.56,2140.7
415.8,534.03,415.8,534.03,439.92,577.59,447.2,524.74,981,292.17,389.81,2161.6
416.62,1153,416.62,1153,442.38,574.27,447.64,580.09,994.63,278.78,331.03,2165.9
419.67,600.72,419.67,600.72,447.54,529.51,447.69,554.3,995.7,318.07,537.01,2168.2
421.58,679.23,421.58,679.23,448.24,565.97,450.65,589.19,1006.6,233.01,504.77,2189.9
422.84,891.59,422.84,891.59,451.1,570.58,453.31,364.81,1007.1,356.36,374.4,2192.2
425.96,905.85,425.96,905.85,453.75,454.85,454.37,554.45,1011.1,282.72,295.71,2206.3
426.38,461.31,426.38,461.31,455.47,552.06,454.45,539.63,1016.7,533.69,402.62,2242.7
427.45,435.73,427.45,435.73,457.66,622.05,454.64,516.88,1020.7,469.73,538.83,2266.1
428.91,899.55,428.91,899.55,458.8,417.88,455.49,587.6,1047.4,411.5,468.41,2284.4
429.24,223.23,429.24,223.23,458.87,610.68,457.16,556.92,1047.8,526.98,369.04,2292.6
431.25,668.25,431.25,668.25,459.75,591.18,457.41,530.95,1050.2,496.08,520.7,2296
432.32,628.18,432.32,628.18,461.2,510.38,458.18,515.97,1053,500.78,640.64,2302.8
438.37,775.34,438.37,775.34,461.26,532.82,459.88,506.63,1054.3,254.35,345.68,2308.5
439.63,625.85,439.63,625.85,466.67,559.09,460.01,470.79,1054.3,448.94,472.11,2316.8
440.52,631.05,440.52,631.05,467.2,705.96,460.68,560.81,1057.6,526,511.82,2328.7
449.18,515.18,449.18,515.18,468.68,519.85,466.08,542.47,1065,450.76,440.59,2329.3
450.85,850.28,450.85,850.28,474.7,485.94,468.8,532.69,1073.4,413.55,349.57,2331.3
451.03,429.01,451.03,429.01,475.7,559.18,469.32,539.25,1074.2,418.1,549.37,2335
456.59,483.14,456.59,483.14,476.03,623.92,470.1,593.81,1076.1,370.1,450.93,2340.4
456.76,330.27,456.76,330.27,478.84,466.43,471.83,569.94,1088.4,218.3,583.24,2344.4
460.15,782.64,460.15,782.64,479.53,626.72,475.23,469.97,1091.1,417.93,606.09,2373.9
461.32,675.46,461.32,675.46,481.22,510.85,476.56,578.26,1091.2,447.12,479.72,2393.6
467.3,657.78,467.3,657.78,481.54,649.85,480.68,640.36,1096.3,487.62,421.21,2415.3
467.65,555.6,467.65,555.6,482.61,531.46,482.31,686.28,1098.8,500.9,603.47,2417.6
