 ,Label,Mean,Slice
66,CFP:Cell-02:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t17,5.27,17
67,CFP:Cell-03:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t17,5.90,17
68,CFP:Cell-04:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t17,6.45,17
69,CFP:Cell-01:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t18,5.24,18
70,CFP:Cell-02:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t18,5.47,18
71,CFP:Cell-03:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t18,6.06,18
72,CFP:Cell-04:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t18,6.82,18
73,CFP:Cell-01:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t19,6.37,19
74,CFP:Cell-02:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t19,6.09,19
75,CFP:Cell-03:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t19,6.67,19
76,CFP:Cell-04:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t19,7.66,19
77,CFP:Cell-01:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t20,7.48,20
78,CFP:Cell-02:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t20,6.71,20
79,CFP:Cell-03:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t20,7.59,20
80,CFP:Cell-04:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t20,8.72,20
81,CFP:Cell-01:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t21,7.40,21
82,CFP:Cell-02:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t21,7.25,21
83,CFP:Cell-03:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t21,8.67,21
84,CFP:Cell-04:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t21,9.68,21
85,CFP:Cell-01:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t22,6.62,22
86,CFP:Cell-02:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t22,7.20,22
87,CFP:Cell-03:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t22,9.60,22
88,CFP:Cell-04:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t22,10.66,22
89,CFP:Cell-01:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t23,5.91,23
90,CFP:Cell-02:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t23,6.82,23
91,CFP:Cell-03:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t23,9.45,23
92,CFP:Cell-04:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t23,10.72,23
93,CFP:Cell-01:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t24,5.86,24
94,CFP:Cell-02:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t24,6.46,24
95,CFP:Cell-03:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t24,8.79,24
96,CFP:Cell-04:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t24,10.38,24
97,CFP:Cell-01:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t25,6.38,25
98,CFP:Cell-02:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t25,6.42,25
99,CFP:Cell-03:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t25,8.25,25
100,CFP:Cell-04:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t25,9.96,25
101,CFP:Cell-01:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t26,7.19,26
102,CFP:Cell-02:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t26,6.53,26
103,CFP:Cell-03:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t26,8.22,26
104,CFP:Cell-04:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t26,9.61,26
105,CFP:Cell-01:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t27,7.93,27
106,CFP:Cell-02:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t27,6.96,27
107,CFP:Cell-03:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t27,8.80,27
108,CFP:Cell-04:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t27,9.74,27
109,CFP:Cell-01:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t28,7.39,28
110,CFP:Cell-02:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t28,7.39,28
111,CFP:Cell-03:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t28,9.18,28
112,CFP:Cell-04:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t28,9.94,28
113,CFP:Cell-01:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t29,6.46,29
114,CFP:Cell-02:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t29,7.22,29
115,CFP:Cell-03:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t29,9.37,29
116,CFP:Cell-04:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t29,10.54,29
117,CFP:Cell-01:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t30,6.33,30
118,CFP:Cell-02:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t30,7.09,30
119,CFP:Cell-03:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t30,9.30,30
120,CFP:Cell-04:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t30,11.07,30
121,CFP:Cell-01:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t31,6.60,31
122,CFP:Cell-02:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t31,6.70,31
123,CFP:Cell-03:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t31,8.97,31
124,CFP:Cell-04:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t31,11.11,31
125,CFP:Cell-01:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t32,7.35,32
126,CFP:Cell-02:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t32,6.94,32
127,CFP:Cell-03:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t32,8.68,32
128,CFP:Cell-04:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t32,10.62,32
129,CFP:Cell-01:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t33,8.27,33
130,CFP:Cell-02:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t33,7.59,33
131,CFP:Cell-03:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t33,8.81,33
132,CFP:Cell-04:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t33,10.12,33
133,CFP:Cell-01:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t34,8.93,34
134,CFP:Cell-02:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t34,8.17,34
135,CFP:Cell-03:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t34,9.50,34
136,CFP:Cell-04:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t34,10.10,34
137,CFP:Cell-01:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t35,7.91,35
138,CFP:Cell-02:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t35,7.93,35
139,CFP:Cell-03:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t35,10.34,35
140,CFP:Cell-04:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t35,10.61,35
141,CFP:Cell-01:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t36,6.75,36
142,CFP:Cell-02:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t36,7.21,36
143,CFP:Cell-03:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t36,10.74,36
144,CFP:Cell-04:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t36,11.42,36
145,CFP:Cell-01:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t37,6.28,37
146,CFP:Cell-02:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t37,6.91,37
147,CFP:Cell-03:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t37,10.70,37
148,CFP:Cell-04:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t37,11.43,37
149,CFP:Cell-01:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t38,6.67,38
150,CFP:Cell-02:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t38,7.13,38
151,CFP:Cell-03:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t38,9.81,38
152,CFP:Cell-04:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t38,11.49,38
153,CFP:Cell-01:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t39,7.55,39
154,CFP:Cell-02:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t39,7.64,39
155,CFP:Cell-03:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t39,8.68,39
156,CFP:Cell-04:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t39,11.43,39
157,CFP:Cell-01:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t40,8.20,40
158,CFP:Cell-02:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t40,8.42,40
159,CFP:Cell-03:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t40,8.15,40
160,CFP:Cell-04:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t40,10.87,40
161,CFP:Cell-01:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t41,7.97,41
162,CFP:Cell-02:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t41,8.12,41
163,CFP:Cell-03:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t41,8.45,41
164,CFP:Cell-04:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t41,10.20,41
165,CFP:Cell-01:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t42,6.98,42
166,CFP:Cell-02:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t42,7.21,42
167,CFP:Cell-03:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t42,9.50,42
168,CFP:Cell-04:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t42,9.97,42
169,CFP:Cell-01:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t43,6.25,43
170,CFP:Cell-02:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t43,6.72,43
171,CFP:Cell-03:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t43,10.89,43
172,CFP:Cell-04:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t43,10.04,43
173,CFP:Cell-01:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t44,6.10,44
174,CFP:Cell-02:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t44,6.89,44
175,CFP:Cell-03:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t44,11.46,44
176,CFP:Cell-04:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t44,10.18,44
177,CFP:Cell-01:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t45,6.79,45
178,CFP:Cell-02:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t45,7.67,45
179,CFP:Cell-03:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t45,10.42,45
180,CFP:Cell-04:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t45,10.80,45
181,CFP:Cell-01:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t46,8.28,46
