"Time","id","unique_id","Sample","Value"
126,"1","cell_06","cell_06",0.6696571
128,"1","cell_06","cell_06",0.6705983
130,"1","cell_06","cell_06",0.6732751
132,"1","cell_06","cell_06",0.6682646
134,"1","cell_06","cell_06",0.6770051
136,"1","cell_06","cell_06",0.6752983
138,"1","cell_06","cell_06",0.6670159
140,"1","cell_06","cell_06",0.6780455
142,"1","cell_06","cell_06",0.6691081
144,"1","cell_06","cell_06",0.6712291
146,"1","cell_06","cell_06",0.6671392
148,"1","cell_06","cell_06",0.6976829
150,"1","cell_06","cell_06",0.7495433
152,"1","cell_06","cell_06",0.8219879
154,"1","cell_06","cell_06",0.8823485
156,"1","cell_06","cell_06",0.9324381
158,"1","cell_06","cell_06",0.9443353
160,"1","cell_06","cell_06",0.9504298
162,"1","cell_06","cell_06",0.9675333
164,"1","cell_06","cell_06",0.9779583
166,"1","cell_06","cell_06",0.9633533
168,"1","cell_06","cell_06",0.9712077
170,"1","cell_06","cell_06",0.980649
172,"1","cell_06","cell_06",0.9822405
174,"1","cell_06","cell_06",0.977301
176,"1","cell_06","cell_06",0.9917511
178,"1","cell_06","cell_06",0.9775796
180,"1","cell_06","cell_06",0.9803711
182,"1","cell_06","cell_06",0.9826183
184,"1","cell_06","cell_06",0.987232
186,"1","cell_06","cell_06",0.985819
188,"1","cell_06","cell_06",0.980836
190,"1","cell_06","cell_06",0.976064
192,"1","cell_06","cell_06",0.9786131
194,"1","cell_06","cell_06",0.9872374
196,"1","cell_06","cell_06",0.9884542
198,"1","cell_06","cell_06",0.9823523
200,"1","cell_06","cell_06",0.9841543
202,"1","cell_06","cell_06",0.9817288
204,"1","cell_06","cell_06",0.9969307
206,"1","cell_06","cell_06",0.9842179
208,"1","cell_06","cell_06",0.9705049
210,"1","cell_06","cell_06",0.9914571
212,"1","cell_06","cell_06",0.9838401
214,"1","cell_06","cell_06",0.9762893
216,"1","cell_06","cell_06",0.9801477
218,"1","cell_06","cell_06",0.9850536
220,"1","cell_06","cell_06",0.9721701
222,"1","cell_06","cell_06",0.9867595
224,"1","cell_06","cell_06",0.9694063
226,"1","cell_06","cell_06",0.9768374
228,"1","cell_06","cell_06",0.9858714
230,"1","cell_06","cell_06",0.9801157
232,"1","cell_06","cell_06",0.9848077
234,"1","cell_06","cell_06",0.9796389
236,"1","cell_06","cell_06",0.988262
238,"1","cell_06","cell_06",0.9934716
240,"1","cell_06","cell_06",0.9879213
